nupdates,total_timesteps,policy_entropy,explained_variance,fps,value_loss
1,80,1.386291265487671,-104.12065124511719,55,0.004401876591145992
100,8000,1.3862924575805664,-0.008062243461608887,1148,0.0505531020462513
200,16000,1.3862888813018799,-0.5173438787460327,1153,0.0044732834212481976
300,24000,1.3861207962036133,-0.056180357933044434,1152,0.033195652067661285
400,32000,1.3862394094467163,-0.08084166049957275,1172,0.006257125176489353
500,40000,1.3856351375579834,-0.27581775188446045,1175,0.001287262188270688
600,48000,1.3839725255966187,0.03257489204406738,1176,0.0009564523352310061
700,56000,1.384434461593628,0.1918855905532837,1183,0.0013810794334858656
800,64000,1.3725907802581787,-0.34872376918792725,1186,0.00016032981511671096
900,72000,1.376137375831604,0.04351973533630371,1179,0.020248722285032272
1000,80000,1.376822829246521,0.08781176805496216,1177,0.0030887587927281857
1100,88000,1.3706213235855103,0.7078568339347839,1183,0.00029364333022385836
1200,96000,1.3741605281829834,-0.0004481077194213867,1191,0.05947896093130112
1300,104000,1.3835546970367432,-0.12682640552520752,1193,0.011652139946818352
1400,112000,1.3852612972259521,-0.013195514678955078,1196,0.009116056375205517
1500,120000,1.3849223852157593,0.054122745990753174,1191,0.03728466480970383
1600,128000,1.3862009048461914,0.013490915298461914,1187,0.030274461954832077
1700,136000,1.3856688737869263,0.0018108487129211426,1188,0.04904435575008392
1800,144000,1.385918140411377,0.2146662473678589,1186,0.001427553012035787
1900,152000,1.3859403133392334,0.03924703598022461,1186,0.00782041810452938
2000,160000,1.386116862297058,0.1676168441772461,1187,0.0019585464615374804
2100,168000,1.3852152824401855,-0.02366161346435547,1187,0.03201643005013466
2200,176000,1.385634422302246,0.03643620014190674,1188,0.01312134601175785
2300,184000,1.3858586549758911,0.11288344860076904,1190,0.030411798506975174
2400,192000,1.3851597309112549,0.08799201250076294,1192,0.03100948967039585
2500,200000,1.384916067123413,0.16858351230621338,1194,0.00905579887330532
2600,208000,1.3847968578338623,0.41936516761779785,1193,0.0015122287441045046
2700,216000,1.3858712911605835,0.11620181798934937,1194,0.014363464899361134
2800,224000,1.384202241897583,0.11061161756515503,1194,0.009926657192409039
2900,232000,1.385223627090454,0.15404701232910156,1195,0.022967789322137833
3000,240000,1.385382056236267,0.15125364065170288,1196,0.043697290122509
3100,248000,1.3859363794326782,0.1424018144607544,1198,0.029242027550935745
3200,256000,1.3858743906021118,0.2252163290977478,1197,0.01283230446279049
3300,264000,1.3853635787963867,0.2768819332122803,1199,0.022654926404356956
3400,272000,1.3847873210906982,0.20333808660507202,1201,0.040069032460451126
3500,280000,1.3847144842147827,0.8326682597398758,1202,0.0001906611432787031
3600,288000,1.3856151103973389,0.3152744174003601,1201,0.01604277454316616
3700,296000,1.3853514194488525,0.2577049136161804,1201,0.0010735103860497475
3800,304000,1.3859813213348389,0.359003484249115,1203,0.014864429831504822
3900,312000,1.385318398475647,0.3974563479423523,1203,0.03881383687257767
4000,320000,1.3854076862335205,0.4616237282752991,1205,0.010919289663434029
4100,328000,1.3852806091308594,0.7955182790756226,1205,0.00020045103156007826
4200,336000,1.3861069679260254,-0.0354081392288208,1204,0.002762004267424345
4300,344000,1.3858745098114014,0.10180342197418213,1205,0.02996380627155304
4400,352000,1.384966254234314,0.09320032596588135,1204,0.015069360844790936
4500,360000,1.3856651782989502,0.5020765364170074,1203,0.010961673222482204
4600,368000,1.384891152381897,0.3697810769081116,1204,0.0024577700532972813
4700,376000,1.38431978225708,0.6178529560565948,1203,0.03825666382908821
4800,384000,1.3859312534332275,0.13234156370162964,1205,0.017059732228517532
4900,392000,1.3844636678695679,0.7643815875053406,1204,0.0016432313714176416
5000,400000,1.3854085206985474,0.44719547033309937,1204,0.03967631980776787
5100,408000,1.3848899602890015,0.7818074971437454,1202,0.011521480046212673
5200,416000,1.3856011629104614,0.8582016825675964,1201,0.006790922023355961
5300,424000,1.3857452869415283,0.739975243806839,1203,0.007831488735973835
5400,432000,1.3859745264053345,0.48193544149398804,1202,0.03536105901002884
5500,440000,1.3851540088653564,0.8280520439147949,1202,0.009574176743626595
5600,448000,1.3839706182479858,0.7658992111682892,1203,0.01978423073887825
5700,456000,1.383497953414917,0.853119358420372,1204,0.006328897085040808
5800,464000,1.382782220840454,0.8976233303546906,1204,0.005738946609199047
5900,472000,1.373302698135376,0.6039139032363892,1205,0.02555975876748562
6000,480000,1.3807522058486938,0.7855590432882309,1205,0.014600311405956745
6100,488000,1.3827621936798096,0.8991432264447212,1205,0.016719013452529907
6200,496000,1.383293867111206,0.36044609546661377,1205,0.02539379894733429
6300,504000,1.3845021724700928,0.6182224452495575,1205,0.014706900343298912
6400,512000,1.3824063539505005,0.877063974738121,1206,0.005622874479740858
6500,520000,1.380776047706604,0.9367807507514954,1207,0.003869670908898115
6600,528000,1.3782849311828613,0.8558430969715118,1208,0.0065504745580255985
6700,536000,1.377828598022461,0.9104214385151863,1209,0.011095231398940086
6800,544000,1.3797779083251953,0.8795309811830521,1210,0.011118520051240921
6900,552000,1.3661582469940186,0.926393635571003,1210,0.0074681625701487064
7000,560000,1.366334319114685,0.9004399105906487,1210,0.01121029444038868
7100,568000,1.356001615524292,0.6774937808513641,1212,0.015081016346812248
7200,576000,1.3536412715911865,0.8600750863552094,1212,0.010440720245242119
7300,584000,1.3670737743377686,0.8324176371097565,1213,0.01335960440337658
7400,592000,1.3537037372589111,0.9177561774849892,1213,0.007326837629079819
7500,600000,1.3571628332138062,0.8794873654842377,1214,0.0070214346051216125
7600,608000,1.352471947669983,0.9576273038983345,1214,0.007523383013904095
7700,616000,1.3457748889923096,0.9147157967090607,1215,0.012837206944823265
7800,624000,1.3577594757080078,0.9753837212920189,1216,0.0039298804476857185
7900,632000,1.3560082912445068,0.928764596581459,1218,0.010013376362621784
8000,640000,1.3510472774505615,0.6983498632907867,1218,0.011140850372612476
8100,648000,1.364459753036499,0.9734571985900402,1217,0.00315878470428288
8200,656000,1.36474609375,0.9620396010577679,1217,0.00522263627499342
8300,664000,1.3577358722686768,0.992671238258481,1216,0.001356963301077485
8400,672000,1.352130651473999,0.9764186199754477,1216,0.003837843192741275
8500,680000,1.353914499282837,0.9452393651008606,1215,0.003266558749601245
8600,688000,1.3547760248184204,0.9441419914364815,1216,0.009412671439349651
8700,696000,1.3527766466140747,0.9781745541840792,1216,0.002298656152561307
8800,704000,1.3456975221633911,0.9469119682908058,1217,0.005745333153754473
8900,712000,1.3456385135650635,0.9720864687114954,1217,0.004220481030642986
9000,720000,1.3563021421432495,0.9636279456317425,1218,0.0022758387494832277
9100,728000,1.3607254028320312,0.9243409186601639,1217,0.010195005685091019
9200,736000,1.3548246622085571,0.9712956119328737,1217,0.006177864037454128
9300,744000,1.3541511297225952,0.9675480984151363,1218,0.004962189123034477
9400,752000,1.3504209518432617,0.9315794259309769,1218,0.010881847701966763
9500,760000,1.358417272567749,0.9803770929574966,1218,0.0031190146692097187
9600,768000,1.3537975549697876,0.9655407033860683,1220,0.0028333107475191355
9700,776000,1.3530008792877197,0.979491401463747,1220,0.0044062817469239235
9800,784000,1.35944402217865,0.9674031771719456,1220,0.004518758971244097
9900,792000,1.3638484477996826,0.9756071828305721,1219,0.001095331972464919
10000,800000,1.365120530128479,0.7380362749099731,1220,0.008657155558466911
10100,808000,1.3641047477722168,0.8580223917961121,1221,0.015705352649092674
10200,816000,1.3620243072509766,0.9892092347145081,1221,0.0017251999815925956
10300,824000,1.3637926578521729,0.8966710120439529,1221,0.007161776535212994
10400,832000,1.3537501096725464,0.9278242215514183,1221,0.007536652497947216
10500,840000,1.3528447151184082,0.9753290861845016,1222,0.0019374381517991424
10600,848000,1.3525540828704834,0.982712535187602,1222,0.001602374017238617
10700,856000,1.3399207592010498,0.9724484998732805,1221,0.00495233666151762
10800,864000,1.339811086654663,0.9719378966838121,1222,0.0032764426432549953
10900,872000,1.3389849662780762,0.9800779763609171,1222,0.0030154662672430277
11000,880000,1.3479223251342773,0.9456232637166977,1222,0.004817705135792494
11100,888000,1.3528406620025635,0.9850636031478643,1223,0.0015864312881603837
11200,896000,1.3350560665130615,0.9571842066943645,1224,0.005436007399111986
11300,904000,1.34975004196167,0.7916617840528488,1225,0.01157686673104763
11400,912000,1.342172622680664,0.94187843054533,1226,0.005659882910549641
11500,920000,1.3392592668533325,0.9889177335426211,1226,0.001898168004117906
11600,928000,1.3334062099456787,0.97074756026268,1228,0.0036535183899104595
11700,936000,1.3438663482666016,0.9310257732868195,1228,0.010949937626719475
11800,944000,1.3438204526901245,0.9727710746228695,1228,0.0036349515430629253
11900,952000,1.3549784421920776,0.9906714418902993,1229,0.0014755397569388151
12000,960000,1.3491456508636475,0.8931102231144905,1230,0.008570031262934208
12100,968000,1.3567795753479004,0.7170170545578003,1229,0.034460123628377914
12200,976000,1.3515241146087646,0.9639808908104897,1230,0.005206068512052298
12300,984000,1.350676417350769,0.9679893143475056,1231,0.0039402032271027565
12400,992000,1.3407537937164307,0.9952351562678814,1231,0.0008663369226269424
12500,1000000,1.3503081798553467,0.9910975564271212,1231,0.001330737373791635
12600,1008000,1.3527638912200928,0.984211940318346,1231,0.002401622012257576
12700,1016000,1.352394700050354,0.952138140797615,1232,0.007778736297041178
12800,1024000,1.3515253067016602,0.9630535915493965,1232,0.0036698647309094667
12900,1032000,1.3536626100540161,0.9823192190378904,1233,0.0024166202638298273
13000,1040000,1.3609516620635986,0.9953877264633775,1232,0.00037596249603666365
13100,1048000,1.3579330444335938,0.9789205249398947,1232,0.002605075715109706
13200,1056000,1.3607028722763062,0.9817125536501408,1233,0.00130549562163651
13300,1064000,1.352949619293213,0.9273993000388145,1234,0.004017730243504047
13400,1072000,1.3566875457763672,0.9942986406385899,1235,0.0005114877130836248
13500,1080000,1.3514951467514038,0.9648565873503685,1236,0.00451677804812789
13600,1088000,1.3499776124954224,0.9986609377665445,1237,0.00016065684030763805
13700,1096000,1.3534400463104248,0.6969803273677826,1237,0.032851334661245346
13800,1104000,1.3490142822265625,0.9844551375135779,1238,0.0010033553699031472
13900,1112000,1.357187271118164,0.9957986027002335,1238,0.0005178114515729249
14000,1120000,1.3461802005767822,0.9927058052271605,1238,0.001006987178698182
14100,1128000,1.360393762588501,0.986064225435257,1238,0.0013602350372821093
14200,1136000,1.360364317893982,0.9902150519192219,1238,0.0011026656720787287
14300,1144000,1.3577839136123657,0.9768852386623621,1238,0.0033575843553990126
14400,1152000,1.3357017040252686,0.9942155405879021,1240,0.000925298489164561
14500,1160000,1.3598361015319824,0.971186637878418,1239,0.002456881571561098
14600,1168000,1.3607242107391357,0.9928892133757472,1240,0.001211633556522429
14700,1176000,1.3590342998504639,0.9642413668334484,1239,0.001899976865388453
14800,1184000,1.3490774631500244,0.9106476753950119,1239,0.011331537738442421
