#{"t_start": 1522802220.2930627, "env_id": "BreakoutNoFrameskip-v0"}
r,l,t
0.0,127,13.335469
1.0,176,15.428945
2.0,224,18.269419
3.0,248,21.329067
0.0,127,22.885291
1.0,153,24.651877
3.0,250,27.948693
2.0,220,30.892028
2.0,188,33.424783
0.0,127,34.860019
4.0,321,39.397647
0.0,127,41.050289
5.0,350,45.678977
4.0,322,49.943112
0.0,131,51.44174
2.0,222,54.337605
0.0,127,55.991615
2.0,222,58.697495
1.0,157,60.668543
2.0,203,62.990261
4.0,298,66.747396
0.0,125,68.357317
0.0,129,69.912821
4.0,299,73.787461
2.0,202,76.253023
0.0,125,77.840222
1.0,176,80.017005
1.0,154,81.796402
1.0,149,83.689745
2.0,199,86.179661
4.0,265,89.466155
0.0,127,91.1073
0.0,127,92.670937
1.0,173,94.768656
0.0,127,96.266659
1.0,176,98.325407
1.0,155,100.189316
1.0,157,101.874904
0.0,124,103.309878
4.0,322,107.071243
1.0,157,108.837016
0.0,127,110.359414
2.0,198,112.711501
3.0,234,115.585761
4.0,324,119.834476
1.0,157,121.762685
3.0,269,124.992746
1.0,173,127.159377
1.0,153,129.06856
1.0,175,131.238278
1.0,175,133.44323
0.0,123,135.055371
0.0,123,136.410563
4.0,319,140.035103
0.0,127,141.693189
2.0,202,144.292668
0.0,124,146.006416
0.0,122,147.480729
3.0,230,150.133731
0.0,129,151.75653
4.0,299,155.692609
1.0,175,157.988334
1.0,172,160.217681
2.0,224,163.231031
0.0,129,164.702579
0.0,129,166.282763
1.0,174,168.113541
4.0,320,172.151912
0.0,125,173.432975
1.0,167,175.790724
0.0,127,177.463065
4.0,298,181.441379
0.0,129,183.056114
0.0,120,184.451478
2.0,224,187.379767
0.0,125,188.89084
0.0,127,190.267791
4.0,295,193.62652
0.0,125,195.087369
3.0,256,198.269516
0.0,129,199.831931
2.0,220,202.686449
3.0,250,205.908738
1.0,157,207.867481
2.0,221,210.777678
4.0,301,214.733006
3.0,270,217.821384
3.0,270,220.850027
1.0,155,222.588549
0.0,127,224.04178
3.0,248,227.13273
2.0,222,230.203766
1.0,157,232.172269
2.0,198,234.715644
2.0,202,237.350429
0.0,129,239.08678
3.0,233,242.036249
0.0,129,243.531461
4.0,299,247.421751
3.0,270,250.546364
0.0,125,252.017329
4.0,281,255.577506
2.0,188,258.122936
0.0,127,259.904395
2.0,198,262.343995
4.0,283,265.888817
2.0,202,268.497703
0.0,127,269.981183
2.0,195,272.353974
0.0,129,273.973729
4.0,301,277.56506
3.0,250,280.956034
0.0,127,282.540058
1.0,176,284.980362
0.0,126,286.550241
1.0,176,288.714642
0.0,127,290.329794
3.0,245,293.290252
0.0,127,294.704994
1.0,173,296.754948
0.0,127,298.485296
0.0,125,300.1304
3.0,234,303.052073
1.0,170,305.293538
4.0,299,308.881778
0.0,127,310.413601
0.0,127,312.068439
0.0,125,313.668721
1.0,158,315.553767
3.0,254,318.772475
2.0,200,321.453629
1.0,173,323.591452
2.0,202,326.02397
3.0,232,329.043817
4.0,280,332.9424
1.0,155,334.881414
0.0,127,336.262808
0.0,127,337.654589
0.0,127,339.122805
4.0,325,343.267995
1.0,174,345.454208
0.0,129,346.934439
0.0,127,348.486103
0.0,129,350.158512
2.0,222,353.047117
2.0,225,355.349531
2.0,202,357.756279
0.0,127,359.122573
2.0,200,361.588923
2.0,201,364.066838
0.0,127,365.850327
2.0,204,368.126725
2.0,200,370.178807
0.0,126,371.535883
3.0,248,374.570422
1.0,157,376.157084
5.0,334,380.032911
2.0,222,382.718003
3.0,251,385.967416
2.0,200,388.40119
4.0,322,392.354928
0.0,122,393.790947
4.0,299,397.842228
0.0,127,399.379253
0.0,129,400.924042
1.0,174,403.206594
3.0,252,406.117562
0.0,125,407.537324
0.0,127,408.922873
0.0,127,410.472125
4.0,277,413.959742
0.0,127,415.483337
2.0,224,418.200035
0.0,129,419.878891
0.0,122,421.399952
0.0,129,422.967343
2.0,204,425.401054
1.0,175,427.621219
8.0,375,432.115071
2.0,224,434.940738
0.0,127,436.477069
2.0,199,438.767363
0.0,129,440.277685
2.0,198,442.529671
0.0,127,443.877015
0.0,130,445.555799
0.0,129,447.163949
3.0,248,450.553274
3.0,232,453.770875
2.0,222,456.760653
2.0,202,459.128219
0.0,127,460.770041
0.0,127,462.314023
5.0,373,466.730793
4.0,297,470.299448
2.0,202,472.629265
5.0,331,476.288951
0.0,129,477.71202
3.0,251,480.826123
7.0,430,486.132416
2.0,200,488.415039
2.0,198,490.954328
0.0,127,492.467005
3.0,230,495.303798
2.0,199,497.806624
0.0,129,499.061255
2.0,204,501.842696
0.0,129,503.514943
2.0,200,505.86438
3.0,252,509.158282
0.0,127,510.509791
1.0,156,512.636621
0.0,125,514.201359
0.0,129,515.682403
2.0,204,518.553938
2.0,204,520.689026
3.0,250,523.51246
0.0,129,524.718955
0.0,127,526.312239
0.0,117,527.610387
2.0,202,529.920889
3.0,248,533.052698
7.0,445,538.312692
3.0,248,541.243889
0.0,129,542.608895
2.0,200,545.051271
3.0,255,548.103648
5.0,348,552.299173
3.0,244,555.612005
0.0,123,557.073017
2.0,202,559.624185
3.0,250,562.935508
1.0,176,564.988454
2.0,202,567.486152
0.0,129,569.175451
5.0,350,573.511145
0.0,129,574.93051
0.0,129,576.372102
3.0,248,579.075543
0.0,129,580.731857
1.0,173,582.693628
0.0,129,584.3437
2.0,224,587.036543
0.0,125,588.439882
2.0,204,591.087688
4.0,297,594.865431
2.0,208,597.330688
3.0,252,600.216562
0.0,129,601.626625
2.0,200,603.794898
0.0,129,605.546465
0.0,125,606.960666
0.0,129,608.527332
0.0,127,609.94445
2.0,198,612.275937
5.0,329,616.156926
0.0,129,617.430739
3.0,229,619.868319
2.0,202,622.141518
0.0,129,623.543975
0.0,125,625.073036
0.0,127,626.549392
0.0,125,628.049531
0.0,127,629.577332
4.0,299,633.235106
3.0,245,636.261965
2.0,200,638.577538
2.0,202,641.264467
2.0,202,643.890786
0.0,127,645.429113
4.0,297,649.422082
3.0,250,652.521736
6.0,382,657.518552
0.0,125,659.002472
4.0,302,662.825533
0.0,118,664.063215
2.0,205,666.681849
2.0,202,668.857481
4.0,275,672.131958
2.0,202,674.602234
0.0,127,676.029382
4.0,297,679.711952
2.0,200,682.400723
3.0,252,685.693222
0.0,125,687.338139
0.0,127,688.795513
2.0,200,691.328186
4.0,298,695.217155
3.0,250,698.213832
0.0,129,699.624661
3.0,251,702.766739
0.0,123,704.247298
0.0,127,705.793171
5.0,350,710.075513
0.0,127,711.531826
2.0,202,713.812632
3.0,250,717.106264
2.0,224,719.942841
3.0,223,722.498038
1.0,172,724.294135
3.0,250,727.285416
0.0,127,728.815224
2.0,199,730.988771
2.0,200,733.523886
0.0,126,734.956578
3.0,246,738.222954
0.0,127,739.576838
1.0,173,741.552567
0.0,129,742.976449
0.0,127,744.297758
3.0,248,747.436791
0.0,127,748.684526
0.0,129,750.181851
0.0,129,751.755434
4.0,301,755.088426
9.0,403,760.136213
5.0,347,764.076996
9.0,393,769.231846
0.0,125,770.80453
4.0,299,774.533456
0.0,127,775.942049
0.0,127,777.208006
9.0,423,782.402765
4.0,318,785.916883
4.0,297,789.318743
2.0,202,791.384443
2.0,198,793.750427
8.0,354,797.662938
0.0,127,799.316815
3.0,231,802.251916
4.0,299,806.297395
0.0,129,807.897584
4.0,299,811.561658
4.0,299,815.512066
0.0,128,817.141333
0.0,127,818.542689
2.0,200,820.833308
1.0,155,822.570384
0.0,127,824.081763
6.0,382,829.071507
0.0,129,830.555628
0.0,129,832.137112
0.0,127,833.632325
0.0,127,835.089131
0.0,129,836.309579
0.0,125,837.755172
2.0,198,840.201797
5.0,326,844.179329
3.0,250,847.258476
0.0,127,848.785045
0.0,129,850.178371
0.0,129,851.659419
2.0,202,854.278586
2.0,198,856.751208
2.0,202,859.453321
3.0,252,862.700743
0.0,127,864.403383
2.0,204,866.836324
0.0,125,868.353118
3.0,250,871.503847
3.0,248,874.560185
1.0,155,876.195048
2.0,204,878.961343
2.0,198,881.37515
0.0,125,882.925498
2.0,200,885.454704
2.0,202,887.788351
0.0,119,889.24848
0.0,127,890.920149
5.0,329,895.12873
1.0,172,897.081335
2.0,202,899.478704
4.0,299,903.172948
0.0,127,904.799168
0.0,129,906.254642
3.0,248,909.175772
5.0,350,913.581989
4.0,299,917.167055
4.0,299,920.940278
5.0,327,924.899089
1.0,157,926.925074
0.0,129,928.390232
3.0,250,931.706719
0.0,125,933.135572
3.0,249,936.188258
0.0,127,937.617532
0.0,127,939.133349
0.0,129,940.494672
2.0,198,942.957646
0.0,127,944.696027
0.0,127,946.169005
3.0,247,949.290797
0.0,127,950.705164
0.0,127,952.244724
2.0,202,954.398701
3.0,249,957.44883
3.0,228,960.205637
2.0,202,962.496563
0.0,125,963.826697
1.0,175,966.039433
0.0,127,967.518391
5.0,326,971.53032
2.0,202,973.926948
3.0,249,976.887868
3.0,248,980.065064
1.0,155,981.979424
2.0,198,984.731291
5.0,347,989.046675
2.0,202,991.594607
0.0,127,993.178126
1.0,171,995.175147
2.0,200,997.482359
5.0,371,1002.097311
1.0,172,1003.829973
11.0,485,1009.569668
3.0,253,1012.565732
2.0,200,1015.005807
2.0,204,1017.243674
0.0,129,1018.752754
0.0,129,1020.294389
0.0,126,1021.490195
0.0,120,1022.744234
2.0,202,1024.931987
0.0,124,1026.134451
5.0,352,1029.841561
3.0,273,1032.969026
4.0,299,1036.502197
0.0,127,1037.808175
2.0,202,1040.26675
0.0,125,1041.791042
2.0,224,1044.552484
3.0,252,1047.58068
0.0,129,1049.234109
2.0,204,1051.541109
4.0,282,1054.902143
5.0,348,1059.193344
5.0,330,1062.777174
0.0,129,1064.234649
2.0,204,1066.496779
0.0,127,1067.657209
0.0,129,1069.111583
3.0,272,1072.485602
0.0,127,1073.86332
3.0,230,1076.425108
2.0,202,1078.953206
2.0,203,1081.473879
0.0,129,1082.894305
0.0,125,1084.599418
4.0,320,1088.625678
3.0,246,1091.697408
5.0,348,1095.739044
0.0,118,1096.942903
3.0,250,1100.336606
4.0,280,1103.953957
0.0,119,1105.393157
1.0,175,1107.525391
2.0,200,1109.866194
0.0,125,1111.26232
4.0,299,1114.77592
0.0,127,1116.267774
0.0,127,1117.66497
0.0,127,1119.130011
3.0,245,1122.266943
2.0,198,1124.596685
3.0,249,1127.726685
4.0,323,1131.528597
0.0,129,1133.177269
2.0,200,1135.617849
2.0,195,1138.185038
3.0,252,1140.9344
2.0,222,1143.365762
9.0,405,1147.77062
0.0,129,1149.097009
0.0,125,1150.347887
0.0,129,1151.713015
3.0,252,1154.285828
0.0,127,1155.773041
2.0,202,1158.32842
1.0,156,1160.173167
5.0,350,1164.366512
0.0,127,1165.87012
0.0,129,1167.39176
0.0,127,1168.613317
5.0,347,1173.411968
1.0,153,1175.221632
0.0,129,1176.693364
0.0,125,1178.307706
3.0,229,1181.14247
2.0,202,1183.645933
4.0,278,1187.140511
3.0,271,1190.703792
0.0,129,1192.219034
7.0,414,1197.289234
2.0,202,1199.49536
3.0,268,1202.814751
0.0,127,1204.183072
0.0,129,1205.742972
0.0,127,1207.313056
5.0,352,1211.026087
2.0,202,1213.587269
4.0,298,1217.300069
0.0,125,1218.690804
0.0,129,1220.21688
0.0,129,1221.53848
2.0,202,1224.126339
0.0,127,1225.699896
0.0,129,1227.267059
3.0,253,1230.441159
6.0,401,1235.478837
0.0,129,1237.04091
4.0,299,1240.936666
0.0,127,1242.482566
10.0,446,1248.220234
0.0,127,1249.667061
3.0,250,1252.912295
0.0,127,1254.520749
0.0,127,1256.027971
0.0,127,1257.622368
6.0,401,1261.93164
3.0,231,1264.824342
1.0,174,1266.927333
3.0,250,1269.767284
5.0,348,1273.922169
0.0,129,1275.327758
5.0,350,1278.975461
3.0,228,1281.785659
2.0,204,1284.247045
2.0,219,1286.523905
2.0,202,1288.913936
3.0,251,1291.915481
0.0,122,1292.986873
0.0,129,1294.232609
3.0,250,1297.241931
1.0,178,1299.354553
0.0,125,1300.76996
2.0,191,1303.119239
3.0,250,1306.282921
0.0,129,1308.023928
4.0,299,1311.833478
6.0,380,1316.349999
2.0,199,1318.595641
2.0,204,1320.851709
0.0,125,1322.379713
0.0,129,1323.7124
4.0,299,1327.119978
0.0,127,1328.513739
3.0,228,1331.239314
4.0,294,1334.457199
5.0,352,1338.158958
5.0,347,1342.200776
1.0,154,1343.804438
0.0,127,1345.285205
0.0,127,1346.765643
0.0,129,1348.184822
2.0,198,1350.712311
3.0,252,1353.822565
1.0,173,1356.049221
4.0,302,1360.092093
7.0,428,1365.392963
0.0,127,1366.779
0.0,123,1368.153877
2.0,204,1370.441446
4.0,299,1374.03312
0.0,127,1375.589962
3.0,274,1378.912233
3.0,249,1381.717647
1.0,155,1383.467564
9.0,405,1388.252555
2.0,203,1390.583716
1.0,172,1392.277459
1.0,175,1394.255077
2.0,182,1396.250228
3.0,249,1399.25757
1.0,155,1401.075745
3.0,243,1403.93102
1.0,153,1405.721115
4.0,264,1408.940765
2.0,202,1411.412764
3.0,248,1414.334621
1.0,176,1416.341387
4.0,302,1419.817271
0.0,129,1421.260999
0.0,127,1422.796941
2.0,202,1425.2263
2.0,200,1427.472198
1.0,155,1429.412941
5.0,328,1433.39511
2.0,219,1435.542653
4.0,259,1438.288361
2.0,199,1440.494757
0.0,127,1441.890274
1.0,172,1443.787791
0.0,123,1444.997568
0.0,129,1446.357048
0.0,129,1447.686948
0.0,125,1448.840859
2.0,200,1451.076805
1.0,152,1452.714488
5.0,352,1457.014178
4.0,299,1460.233737
2.0,204,1462.229127
5.0,349,1465.914222
0.0,129,1467.366873
5.0,351,1471.441653
3.0,248,1474.156652
5.0,373,1478.449125
