total_timesteps,fps,nupdates,explained_variance,policy_entropy,value_loss
80,75,1,-20.51577377319336,2.8903708457946777,0.004995869006961584
8000,1426,100,-0.20180845260620117,2.8903703689575195,0.001372164231725037
16000,1600,200,0.0957866907119751,2.8903703689575195,0.0007387652294710279
24000,1666,300,0.18897712230682373,2.8903708457946777,0.000596221536397934
32000,1707,400,0.1554727554321289,2.8903703689575195,0.000583585468120873
40000,1722,500,0.17685341835021973,2.8903708457946777,0.0009802449494600296
48000,1733,600,0.4931212067604065,2.890367269515991,0.00045422674156725407
56000,1744,700,-0.0043135881423950195,2.8903493881225586,0.00042519764974713326
64000,1753,800,-0.3597891330718994,2.8903393745422363,0.0007094168104231358
72000,1775,900,-0.3328787088394165,2.890320301055908,0.0006955286371521652
80000,1779,1000,-0.2628265619277954,2.8902626037597656,0.000498266308568418
88000,1769,1100,-0.3057534694671631,2.890227794647217,0.0005388142890296876
96000,1770,1200,0.10968345403671265,2.890165328979492,0.00023592049547005445
104000,1774,1300,-1.4348654747009277,2.8901336193084717,0.00045219124876894057
112000,1762,1400,-1.397230625152588,2.890146255493164,0.00029437278863042593
120000,1755,1500,-1.3416190147399902,2.8900158405303955,0.0002473641070537269
128000,1753,1600,-0.30174362659454346,2.889981269836426,0.00021838783868588507
136000,1757,1700,0.0543135404586792,2.8900504112243652,0.00025714642833918333
144000,1762,1800,-1.361191987991333,2.890018939971924,0.00029626209288835526
152000,1759,1900,0.3012934923171997,2.890101671218872,0.00014028855366632342
160000,1757,2000,-0.6209403276443481,2.890174388885498,0.00016682824934832752
168000,1762,2100,-1.565368413925171,2.8900628089904785,0.00020992867939639837
176000,1766,2200,-0.1532677412033081,2.890073776245117,0.00010181045217905194
184000,1772,2300,-0.12433040142059326,2.890057325363159,0.0001254431699635461
192000,1770,2400,-1.050729751586914,2.890150547027588,0.00010537321213632822
200000,1767,2500,-0.8486899137496948,2.890108585357666,0.00016275570669677109
208000,1763,2600,-0.297848105430603,2.890136241912842,0.00011349688429618254
216000,1761,2700,0.07915127277374268,2.890145778656006,6.079826925997622e-05
224000,1756,2800,-0.056357741355895996,2.8901591300964355,8.033683116082102e-05
232000,1755,2900,-0.9296290874481201,2.8901336193084717,0.00011874913616338745
240000,1754,3000,-0.27356088161468506,2.890089511871338,0.00012024336319882423
248000,1752,3100,-0.7466592788696289,2.890010118484497,7.16565627953969e-05
256000,1751,3200,-0.4362114667892456,2.890045642852783,9.253804455511272e-05
264000,1748,3300,-0.9913583993911743,2.8901383876800537,0.00012831138155888766
272000,1744,3400,-1.8712122440338135,2.890103816986084,0.00010672160715330392
280000,1739,3500,-1.7055509090423584,2.8901383876800537,8.709396206540987e-05
288000,1741,3600,-2.0610036849975586,2.890136241912842,0.00010020233457908034
296000,1742,3700,-0.7979282140731812,2.890150308609009,8.803188393358141e-05
304000,1747,3800,0.07014262676239014,2.8900952339172363,7.610694592585787e-05
312000,1747,3900,-0.7339122295379639,2.8901352882385254,8.929520845413208e-05
320000,1748,4000,-0.882013201713562,2.890206813812256,9.623268124414608e-05
328000,1750,4100,-0.0035892724990844727,2.8902082443237305,6.62249221932143e-05
336000,1748,4200,-2.604590892791748,2.890226364135742,5.390493242884986e-05
344000,1749,4300,-0.6389862298965454,2.8902194499969482,4.8210313252639025e-05
352000,1751,4400,-1.0330140590667725,2.890246629714966,4.2328316339990124e-05
360000,1749,4500,-0.692130446434021,2.890245199203491,6.673571624560282e-05
368000,1748,4600,-0.22239041328430176,2.890270233154297,8.475486538372934e-05
376000,1747,4700,-0.39782798290252686,2.8902854919433594,5.117668115417473e-05
384000,1747,4800,-1.7625389099121094,2.8902692794799805,7.902338984422386e-05
392000,1747,4900,-0.3241605758666992,2.890289306640625,8.042385161388665e-05
400000,1746,5000,-0.5422557592391968,2.8902995586395264,8.233670087065548e-05
408000,1746,5100,-0.9180469512939453,2.890288829803467,4.358537989901379e-05
416000,1745,5200,-0.06209063529968262,2.8902993202209473,2.4406093871220946e-05
424000,1746,5300,-0.4780009984970093,2.8902859687805176,5.8321882534073666e-05
432000,1746,5400,-0.10281264781951904,2.8902747631073,5.2292416512500495e-05
440000,1747,5500,-0.6958576440811157,2.8902950286865234,4.354379416326992e-05
448000,1750,5600,-0.7491710186004639,2.8902971744537354,6.17474433965981e-05
456000,1750,5700,-0.5316299200057983,2.8903121948242188,4.7361263568745926e-05
464000,1750,5800,-0.8734647035598755,2.8903114795684814,4.327010901761241e-05
472000,1751,5900,-2.8992183208465576,2.890312910079956,2.8888180167996325e-05
480000,1750,6000,-1.9297354221343994,2.890317440032959,6.347681483021006e-05
488000,1752,6100,-1.2341315746307373,2.89031982421875,4.022893335786648e-05
496000,1752,6200,-0.6388301849365234,2.8903298377990723,4.323877874412574e-05
504000,1753,6300,-1.0876026153564453,2.890310764312744,7.449633994838223e-05
512000,1752,6400,-1.1864452362060547,2.8902904987335205,4.96884822496213e-05
520000,1753,6500,-0.77824866771698,2.890289306640625,4.6171007852535695e-05
528000,1750,6600,-0.23434162139892578,2.8903069496154785,2.0255825802451e-05
536000,1751,6700,-2.0397303104400635,2.890319347381592,3.516216020216234e-05
544000,1751,6800,-0.6138536930084229,2.8903098106384277,5.083237920189276e-05
552000,1751,6900,-1.7653422355651855,2.890310764312744,5.0080321670975536e-05
560000,1753,7000,-0.23738455772399902,2.890305757522583,5.136762047186494e-05
568000,1756,7100,-1.6471991539001465,2.8903086185455322,7.053233275655657e-05
