#{"t_start": 1522284228.4502947, "env_id": "MontezumaRevengeNoFrameskip-v0"}
r,l,t
0.0,995,19.936949
0.0,937,28.529586
0.0,687,35.156197
0.0,456,39.188826
0.0,418,43.00204
0.0,722,49.591514
0.0,465,53.599028
0.0,477,57.796352
0.0,548,62.646777
0.0,429,66.54147
0.0,882,74.539652
0.0,543,79.473596
0.0,860,87.179896
0.0,811,94.509445
0.0,457,98.79965
0.0,534,103.569107
0.0,738,110.109335
0.0,724,116.416758
0.0,1021,125.390872
0.0,554,130.237205
0.0,397,133.601002
0.0,639,139.065872
0.0,612,144.891959
0.0,646,150.860791
0.0,612,156.229806
0.0,704,162.40663
0.0,569,167.388666
0.0,455,171.41711
0.0,1156,181.571601
0.0,323,184.380084
0.0,697,190.467884
0.0,404,194.005469
0.0,873,201.630148
0.0,652,207.350771
0.0,319,210.206423
0.0,238,212.507335
0.0,800,220.129029
0.0,1493,233.261386
0.0,331,236.137408
0.0,855,244.070576
0.0,415,247.809247
0.0,820,255.252465
0.0,338,258.331466
0.0,331,261.260428
0.0,1114,270.846595
0.0,251,272.961614
0.0,387,276.509778
0.0,522,281.355743
0.0,541,286.386514
0.0,390,289.869252
0.0,416,293.610417
0.0,1069,303.294927
0.0,446,306.994342
0.0,351,310.363491
0.0,1473,324.010469
0.0,663,330.686854
0.0,699,337.011533
0.0,305,339.598793
0.0,343,342.755822
0.0,570,348.090013
0.0,778,354.744482
0.0,761,362.28504
0.0,255,364.425017
0.0,666,370.604275
0.0,526,375.592054
0.0,702,381.838663
0.0,783,388.648021
0.0,300,391.412709
0.0,322,393.976418
0.0,380,397.055548
0.0,755,404.097437
0.0,590,409.556978
0.0,187,411.254831
0.0,352,414.740604
0.0,351,417.832841
0.0,365,421.015558
0.0,278,423.266203
0.0,459,427.281338
0.0,601,432.78968
0.0,467,437.141902
0.0,508,441.743739
0.0,580,447.005865
0.0,201,448.775465
0.0,371,452.071943
0.0,297,454.7786
0.0,801,462.339831
0.0,443,466.386631
0.0,487,470.555033
0.0,765,477.316625
0.0,496,481.502568
0.0,308,484.280903
0.0,371,487.73605
0.0,461,491.880366
0.0,335,494.733732
0.0,326,497.559078
0.0,690,503.672449
0.0,585,508.613532
0.0,314,511.33131
400.0,3797,545.977932
0.0,1115,555.648048
0.0,582,560.664464
0.0,383,564.310692
0.0,970,573.354663
0.0,413,576.923294
0.0,323,579.534693
0.0,521,584.149845
0.0,301,586.82669
0.0,812,594.311083
0.0,843,601.811484
0.0,177,603.512588
0.0,508,608.024654
0.0,1188,618.3247
0.0,544,623.105955
0.0,317,625.878071
0.0,608,631.781326
0.0,602,637.31925
0.0,693,643.508204
0.0,1373,656.172273
0.0,778,663.650052
0.0,568,669.266369
0.0,237,671.692123
0.0,259,674.009412
0.0,755,680.935201
0.0,294,683.598707
0.0,221,685.46329
0.0,654,691.268938
0.0,470,695.640701
0.0,564,700.315547
0.0,937,708.768556
0.0,279,711.48548
0.0,366,714.959254
0.0,730,721.856756
0.0,602,727.009729
0.0,351,730.202493
0.0,738,736.839277
0.0,455,740.961017
0.0,594,746.604332
0.0,688,753.057658
0.0,642,758.528435
0.0,417,762.249442
0.0,229,764.266774
0.0,325,767.017895
0.0,1236,778.441562
0.0,527,783.077207
0.0,594,788.63177
0.0,734,795.091857
0.0,343,798.051117
0.0,378,801.741561
0.0,509,806.65398
0.0,521,811.181809
0.0,847,818.852827
0.0,198,820.683474
0.0,426,824.603414
0.0,419,828.424099
0.0,531,832.892163
0.0,767,839.694784
0.0,689,845.612962
0.0,738,852.473851
0.0,264,854.748533
0.0,254,856.752994
0.0,640,862.160534
0.0,338,864.995459
0.0,332,867.87539
0.0,404,871.591899
0.0,1083,881.04629
0.0,531,885.627396
0.0,403,889.122358
0.0,291,891.673882
0.0,476,895.790803
0.0,657,901.23857
0.0,663,907.176934
0.0,461,911.267312
0.0,883,919.564524
0.0,674,925.434097
0.0,199,927.067629
0.0,430,931.105975
0.0,573,936.285916
0.0,591,941.66791
0.0,428,945.4352
0.0,977,954.196438
0.0,1087,964.062474
0.0,424,967.98681
0.0,1059,977.410864
0.0,470,981.558129
0.0,417,985.217613
0.0,373,988.33643
0.0,606,993.806695
0.0,832,1001.414223
0.0,1114,1011.503413
0.0,410,1015.517766
0.0,440,1019.428217
0.0,549,1024.411618
0.0,285,1026.842793
0.0,459,1030.814284
0.0,266,1033.066388
0.0,337,1035.979814
0.0,485,1040.235508
0.0,754,1046.691796
0.0,359,1049.748666
0.0,415,1053.277711
0.0,371,1056.436973
0.0,591,1061.80529
0.0,526,1066.446252
0.0,240,1068.575892
0.0,512,1073.214217
0.0,566,1078.090619
0.0,857,1085.540933
0.0,304,1088.205743
0.0,612,1093.681573
0.0,333,1096.603229
0.0,780,1103.971696
0.0,416,1107.838566
0.0,670,1113.475585
0.0,785,1120.804151
0.0,335,1123.937825
0.0,456,1128.134567
0.0,403,1131.600272
0.0,580,1137.130632
0.0,364,1140.493445
0.0,907,1148.592875
0.0,1241,1160.095995
0.0,397,1163.518664
0.0,465,1167.613179
0.0,507,1171.972619
0.0,632,1177.53073
0.0,694,1183.553564
0.0,1128,1193.884661
0.0,488,1198.431649
0.0,2335,1219.338821
0.0,665,1225.54565
0.0,723,1232.471914
0.0,633,1238.410717
0.0,325,1241.259012
0.0,388,1244.552212
0.0,952,1253.175363
0.0,362,1256.259688
0.0,549,1261.175036
0.0,289,1263.704894
0.0,607,1269.237914
0.0,450,1273.143396
0.0,368,1276.387071
0.0,425,1280.285931
0.0,370,1283.644126
0.0,555,1288.495859
0.0,883,1296.135711
0.0,1049,1305.772069
0.0,473,1309.836889
0.0,252,1311.755631
0.0,325,1314.46879
0.0,335,1317.316705
0.0,1389,1329.941102
0.0,277,1332.487455
0.0,368,1336.037048
0.0,307,1338.515399
0.0,219,1340.521707
0.0,502,1344.945979
0.0,1136,1354.760401
0.0,547,1359.474239
0.0,374,1362.698667
0.0,239,1364.70622
0.0,498,1369.148308
0.0,732,1375.992439
0.0,537,1380.915896
0.0,536,1385.785117
0.0,423,1389.288778
0.0,445,1393.145712
0.0,513,1397.808627
0.0,664,1403.756855
0.0,231,1405.562219
0.0,538,1410.430835
0.0,304,1412.880602
0.0,662,1418.474653
0.0,457,1422.54693
0.0,1045,1431.987947
0.0,317,1434.910023
0.0,879,1442.789211
0.0,545,1447.781952
0.0,376,1451.157799
0.0,282,1453.770216
0.0,292,1456.319599
0.0,518,1460.776177
0.0,218,1462.745884
0.0,515,1467.609691
0.0,541,1472.537139
0.0,587,1478.463784
0.0,207,1480.283126
0.0,373,1484.061466
0.0,609,1489.471533
0.0,375,1492.951665
0.0,429,1496.657971
0.0,420,1500.104028
0.0,176,1501.544483
0.0,528,1506.224331
0.0,510,1511.002494
0.0,393,1514.839323
0.0,549,1519.896089
0.0,471,1524.242524
0.0,540,1528.997276
0.0,503,1533.665001
0.0,391,1537.371384
0.0,362,1540.544259
0.0,629,1545.773223
0.0,491,1550.273162
0.0,1401,1563.682174
0.0,507,1568.77537
0.0,584,1574.283292
0.0,351,1577.291584
0.0,369,1580.601073
0.0,790,1587.913068
100.0,2228,1608.626077
0.0,323,1611.525457
0.0,546,1616.654797
0.0,691,1622.985646
0.0,232,1625.000943
0.0,354,1628.274096
0.0,925,1636.525414
0.0,559,1641.989018
0.0,422,1645.974721
0.0,600,1651.269878
0.0,370,1654.520611
0.0,678,1660.480202
0.0,408,1664.105837
0.0,1029,1673.662136
0.0,523,1678.58724
0.0,940,1686.941236
0.0,519,1691.581815
0.0,1358,1703.841614
0.0,263,1705.872769
0.0,318,1708.686167
0.0,441,1712.658666
0.0,897,1720.768412
0.0,1469,1734.522886
0.0,380,1737.754134
0.0,689,1744.277835
0.0,281,1746.725892
0.0,496,1751.444737
0.0,639,1757.253748
0.0,794,1764.305247
0.0,400,1767.764529
0.0,619,1773.482272
0.0,858,1780.922008
0.0,615,1786.204635
0.0,336,1789.526443
0.0,267,1792.041648
0.0,288,1794.670518
0.0,536,1799.859542
0.0,343,1803.119564
0.0,330,1806.024072
0.0,851,1813.947727
0.0,277,1816.239762
0.0,278,1818.829976
0.0,420,1822.505521
0.0,358,1825.71265
0.0,609,1831.297905
