nupdates,policy_entropy,total_timesteps,fps,explained_variance,value_loss
1,2.8903708457946777,80,39,-20.51577377319336,0.004995869006961584
100,2.8903703689575195,8000,1136,-0.20180630683898926,0.0013721624854952097
200,2.8903703689575195,16000,1332,0.09578609466552734,0.0007387643563561141
300,2.8903708457946777,24000,1440,0.18897652626037598,0.0005962216528132558
400,2.8903703689575195,32000,1493,0.15547704696655273,0.0005835852352902293
500,2.8903703689575195,40000,1519,0.1768597960472107,0.0009802606655284762
600,2.8903675079345703,48000,1551,0.4931543469429016,0.0004542758106254041
700,2.8903491497039795,56000,1564,-0.004333853721618652,0.0004252603685017675
800,2.8903393745422363,64000,1584,-0.3588857650756836,0.0007094846805557609
900,2.890320301055908,72000,1604,-0.33383476734161377,0.0006957625737413764
1000,2.8902628421783447,80000,1619,-0.26385927200317383,0.0004985108971595764
1100,2.890227794647217,88000,1629,-0.30759453773498535,0.0005374156753532588
1200,2.8901658058166504,96000,1636,0.11059725284576416,0.00023601160501129925
1300,2.8901314735412598,104000,1643,-1.42698335647583,0.000450163206551224
1400,2.8901443481445312,112000,1645,-1.4085328578948975,0.000297462654998526
1500,2.8900108337402344,120000,1651,-1.1763522624969482,0.0002115143433911726
1600,2.8899765014648438,128000,1656,-0.7646750211715698,0.0002879513776861131
1700,2.8899734020233154,136000,1664,-0.7107170820236206,0.00015095675189513713
1800,2.8899641036987305,144000,1666,-0.6408029794692993,0.00015671683649998158
1900,2.8899986743927,152000,1664,-1.2293882369995117,0.00014433641626965255
2000,2.890130043029785,160000,1668,-0.4188499450683594,0.00013761228183284402
2100,2.890143632888794,168000,1672,-0.6168241500854492,0.00011566122702788562
2200,2.8901798725128174,176000,1677,-0.8466780185699463,0.00020764031796716154
2300,2.890183448791504,184000,1681,-0.09057772159576416,0.0002655034186318517
2400,2.8902828693389893,192000,1688,-0.9528632164001465,6.930092058610171e-05
2500,2.8902673721313477,200000,1689,0.07799559831619263,0.00016184840933419764
2600,2.890228748321533,208000,1693,-0.042403459548950195,0.00014299945905804634
2700,2.8901495933532715,216000,1699,-0.3742455244064331,7.666951569262892e-05
2800,2.8901753425598145,224000,1701,-0.5292738676071167,8.002674439921975e-05
2900,2.8901636600494385,232000,1698,-0.7998758554458618,9.083286568056792e-05
3000,2.8902220726013184,240000,1697,-0.766555666923523,7.190436008386314e-05
3100,2.8901710510253906,248000,1699,-0.30595719814300537,0.00023322654305957258
3200,2.890151262283325,256000,1702,-0.483554482460022,0.00011106360761914402
3300,2.890183925628662,264000,1703,-0.39354968070983887,0.00010304561874363571
3400,2.8901734352111816,272000,1705,-1.370300531387329,9.400253475178033e-05
3500,2.8901877403259277,280000,1706,-0.09969496726989746,5.4853258916409686e-05
3600,2.8901805877685547,288000,1708,-0.015747904777526855,0.00011106346209999174
3700,2.8902645111083984,296000,1711,-0.7046334743499756,7.072767039062455e-05
3800,2.890233278274536,304000,1713,-0.46637070178985596,7.410389662254602e-05
3900,2.8902413845062256,312000,1714,-0.48586368560791016,0.00013062743528280407
4000,2.890263795852661,320000,1716,-2.2402405738830566,8.889078890206292e-05
4100,2.890275239944458,328000,1720,-0.6592556238174438,8.196170529117808e-05
4200,2.8903000354766846,336000,1719,-0.0913083553314209,7.230948540382087e-05
4300,2.8902573585510254,344000,1720,-0.6364507675170898,5.162016168469563e-05
4400,2.890244245529175,352000,1717,-0.13317644596099854,5.035373760620132e-05
4500,2.8902530670166016,360000,1716,-1.1756715774536133,6.789701001252979e-05
4600,2.8902199268341064,368000,1716,-0.7967016696929932,0.00010261421266477555
4700,2.890211582183838,376000,1717,-0.029706478118896484,2.2815587726654485e-05
4800,2.890181064605713,384000,1720,0.016613006591796875,5.865333878318779e-05
4900,2.890205144882202,392000,1720,-1.5121564865112305,3.806406675721519e-05
5000,2.8901963233947754,400000,1719,0.03791385889053345,4.865852679358795e-05
5100,2.890228271484375,408000,1719,-0.5645816326141357,0.000120590950245969
5200,2.890228748321533,416000,1719,0.08346164226531982,4.033219738630578e-05
5300,2.8902132511138916,424000,1719,0.1330357789993286,4.1399958718102425e-05
5400,2.890265703201294,432000,1718,-1.9489986896514893,7.134984480217099e-05
5500,2.890267848968506,440000,1720,-0.005584359169006348,5.42502457392402e-05
5600,2.890260696411133,448000,1722,-1.2840266227722168,4.903227818431333e-05
5700,2.8902575969696045,456000,1723,0.1264481544494629,4.543728573480621e-05
5800,2.8902640342712402,464000,1722,-0.7306922674179077,5.258416058495641e-05
5900,2.8902361392974854,472000,1721,-0.7637835741043091,8.296962914755568e-05
6000,2.8902676105499268,480000,1721,-1.790858507156372,6.43917519482784e-05
6100,2.890287399291992,488000,1720,0.4504144787788391,2.0826690160902217e-05
6200,2.890292167663574,496000,1720,-0.8151836395263672,3.3639946195762604e-05
6300,2.890317916870117,504000,1720,-0.23271751403808594,4.107443965040147e-05
6400,2.890319347381592,512000,1722,-0.49709200859069824,4.8131107178051025e-05
6500,2.8903191089630127,520000,1721,-0.010340213775634766,4.570385135593824e-05
6600,2.8903110027313232,528000,1721,-1.7320613861083984,6.643908272963017e-05
6700,2.890289783477783,536000,1721,-0.4862605333328247,4.40772928413935e-05
6800,2.8902788162231445,544000,1719,-0.5117920637130737,3.874167668982409e-05
6900,2.8902859687805176,552000,1717,-0.4899991750717163,3.715155980898999e-05
7000,2.890312910079956,560000,1716,0.1571914553642273,3.826736065093428e-05
7100,2.8903236389160156,568000,1717,-0.8580857515335083,5.683453127858229e-05
7200,2.890317440032959,576000,1716,-0.3073253631591797,3.935083077521995e-05
7300,2.890319347381592,584000,1716,-0.471671462059021,3.929241211153567e-05
7400,2.890324354171753,592000,1717,-0.3823632001876831,4.691343201557174e-05
7500,2.890331745147705,600000,1718,-0.6329524517059326,3.782700514420867e-05
7600,2.8903260231018066,608000,1715,-1.4221811294555664,4.079165228176862e-05
7700,2.890312910079956,616000,1715,-0.608246922492981,4.2644591303542256e-05
7800,2.8903093338012695,624000,1714,-0.6824944019317627,7.138615910662338e-05
7900,2.8903141021728516,632000,1713,-1.330880880355835,5.2315219363663346e-05
8000,2.8903167247772217,640000,1714,-0.7347997426986694,2.476683039276395e-05
8100,2.89031982421875,648000,1715,-2.1508419513702393,4.228323814459145e-05
8200,2.890307903289795,656000,1715,-1.5195600986480713,4.585495116771199e-05
8300,2.8902993202209473,664000,1717,-1.6119134426116943,4.0810722566675395e-05
