value_loss,explained_variance,total_timesteps,nupdates,policy_entropy,fps
0.005068469792604446,-150.8216552734375,80,1,2.889596462249756,41
0.0012309483718127012,0.09601080417633057,8000,100,2.887985944747925,1108
0.0005669222446158528,0.2681676745414734,16000,200,2.887918710708618,1263
7.623997225891799e-05,-0.10994911193847656,24000,300,2.8878958225250244,1374
0.00016373922699131072,-3.3740267753601074,32000,400,2.8880648612976074,1400
0.0001061359653249383,-0.28783130645751953,40000,500,2.888033628463745,1418
0.00023257409338839352,-0.25562477111816406,48000,600,2.8880562782287598,1445
6.316037615761161e-05,-0.45713233947753906,56000,700,2.88810396194458,1465
3.5984310670755804e-05,0.6601698398590088,64000,800,2.8883891105651855,1470
7.982969691511244e-05,-0.2834123373031616,72000,900,2.8884048461914062,1481
5.022374534746632e-05,0.38618165254592896,80000,1000,2.888615131378174,1469
3.803114304901101e-05,0.19670259952545166,88000,1100,2.8887860774993896,1489
3.612326327129267e-05,-0.01259148120880127,96000,1200,2.8891496658325195,1485
4.4114101910963655e-05,0.09016448259353638,104000,1300,2.889340877532959,1485
3.0216313462005928e-05,-0.09216189384460449,112000,1400,2.889496088027954,1486
3.326237128931098e-05,-0.2261214256286621,120000,1500,2.8896896839141846,1490
