explained_variance,value_loss,nupdates,fps,total_timesteps,policy_entropy
-20.51577377319336,0.004995869006961584,1,37,80,2.8903708457946777
-0.20180892944335938,0.0013721641153097153,100,1151,8000,2.8903703689575195
0.09578675031661987,0.0007387654623016715,200,1384,16000,2.8903703689575195
0.18897676467895508,0.0005962223513051867,300,1518,24000,2.8903708457946777
0.15547263622283936,0.0005835862830281258,400,1586,32000,2.8903703689575195
0.17685478925704956,0.000980244716629386,500,1619,40000,2.8903706073760986
0.49311816692352295,0.00045422889525070786,600,1629,48000,2.890367269515991
-0.004331231117248535,0.0004251893551554531,700,1635,56000,2.8903493881225586
-0.35892772674560547,0.0007089272257871926,800,1642,64000,2.8903393745422363
-0.3335920572280884,0.0006958873709663749,900,1662,72000,2.890320301055908
-0.2655644416809082,0.0004998709773644805,1000,1670,80000,2.8902628421783447
-0.3095715045928955,0.0005383318639360368,1100,1666,88000,2.890227794647217
0.10909467935562134,0.00023625383619219065,1200,1670,96000,2.8901658058166504
-1.4462249279022217,0.00045131868682801723,1300,1667,104000,2.890134334564209
-1.3966169357299805,0.000294494500849396,1400,1660,112000,2.890143871307373
-1.3133676052093506,0.00024743188987486064,1500,1667,120000,2.8900160789489746
-0.3620353937149048,0.00020221745944581926,1600,1666,128000,2.8899893760681152
-0.03275144100189209,0.00026895332848653197,1700,1662,136000,2.890050172805786
-0.23488712310791016,0.00014646262570749968,1800,1665,144000,2.8900961875915527
-2.8641788959503174,0.00015547564544249326,1900,1672,152000,2.8901031017303467
-0.5247951745986938,0.000201271686819382,2000,1675,160000,2.890127182006836
-1.0148017406463623,8.432710455963388e-05,2100,1679,168000,2.890216112136841
-0.6400370597839355,0.00017567889881320298,2200,1685,176000,2.890152931213379
0.09754544496536255,9.055472764885053e-05,2300,1686,184000,2.8901214599609375
-0.24646341800689697,9.440201392862946e-05,2400,1682,192000,2.890026569366455
-1.2612292766571045,0.0001370772224618122,2500,1683,200000,2.889997959136963
0.023693859577178955,8.931431511882693e-05,2600,1689,208000,2.890026807785034
-2.123785972595215,0.00013254143414087594,2700,1687,216000,2.890104055404663
-1.8649556636810303,9.489894000580534e-05,2800,1687,224000,2.890077829360962
-0.9672849178314209,0.00012149757094448432,2900,1692,232000,2.890085220336914
-0.15886664390563965,8.947141759563237e-05,3000,1694,240000,2.890092372894287
-1.690640926361084,0.0001485714892623946,3100,1695,248000,2.8901469707489014
-0.046088337898254395,7.583176920888945e-05,3200,1696,256000,2.89013934135437
-0.40673816204071045,7.062486838549376e-05,3300,1691,264000,2.890181303024292
-0.6340364217758179,0.00016651835176162422,3400,1687,272000,2.89015531539917
