#{"t_start": 1519354496.8855438, "env_id": "BreakoutNoFrameskip-v0"}
r,l,t
1.0,155,7.561048
0.0,125,11.459594
2.0,221,18.497062
3.0,248,26.601068
0.0,125,30.528936
0.0,127,34.45401
0.0,125,38.368954
0.0,127,42.382493
0.0,129,47.12641
0.0,132,51.985309
3.0,252,62.190832
1.0,173,68.148727
0.0,129,72.459856
0.0,119,76.431639
3.0,228,84.265235
2.0,195,90.990718
0.0,127,95.133853
1.0,155,100.286648
1.0,154,105.327341
0.0,127,109.688514
3.0,272,119.815831
0.0,129,124.064367
0.0,127,128.130057
1.0,157,133.423883
2.0,186,139.632796
2.0,207,146.763055
3.0,250,155.342408
0.0,127,159.514976
2.0,224,167.175944
1.0,173,172.900197
2.0,223,180.503082
1.0,176,186.466567
1.0,176,192.383574
0.0,127,196.490203
0.0,125,200.509413
0.0,128,204.63177
2.0,200,211.36363
2.0,201,218.079281
0.0,127,222.265244
2.0,202,229.029049
2.0,204,236.032252
0.0,127,240.141038
0.0,129,244.336749
0.0,129,248.484146
4.0,301,258.765718
1.0,161,264.153395
3.0,251,272.719068
1.0,174,278.594221
3.0,232,286.642136
0.0,129,290.876193
0.0,127,294.994596
2.0,202,301.87921
1.0,168,307.530005
2.0,182,313.602
1.0,167,319.20371
0.0,127,323.335211
0.0,127,327.37973
2.0,238,335.512624
0.0,129,339.675757
2.0,208,346.674573
2.0,202,353.419916
0.0,123,357.408367
1.0,160,362.748948
0.0,129,366.937686
1.0,154,371.9825
2.0,203,378.873021
2.0,200,385.614727
5.0,347,397.724435
6.0,361,410.314243
3.0,251,419.073928
0.0,125,423.021962
0.0,125,427.083482
1.0,172,432.874308
2.0,202,439.68084
0.0,127,443.853231
0.0,127,448.032372
0.0,126,452.11614
4.0,321,463.36838
4.0,283,473.199164
3.0,249,481.701926
1.0,155,486.775738
2.0,200,493.579632
0.0,129,497.761761
3.0,249,506.338638
2.0,222,513.953507
1.0,170,519.677896
2.0,199,526.43631
4.0,302,537.034626
3.0,250,545.616874
0.0,137,550.145191
2.0,202,556.867427
3.0,234,564.830184
0.0,125,569.000977
0.0,129,573.194998
2.0,222,580.703568
2.0,220,588.242954
0.0,129,592.480349
1.0,153,597.825531
2.0,227,605.549276
3.0,248,614.082085
3.0,251,622.650008
4.0,278,632.2628
1.0,159,637.58921
2.0,200,644.358786
2.0,202,651.29436
0.0,125,655.404112
2.0,199,662.166776
1.0,155,667.316047
3.0,248,675.815365
0.0,127,679.939865
2.0,184,686.128224
2.0,202,693.002489
2.0,220,700.427028
0.0,125,704.417731
1.0,173,710.220616
3.0,232,718.233022
2.0,183,724.419449
4.0,319,735.450186
1.0,155,740.583267
1.0,173,746.384473
1.0,175,752.219161
0.0,129,756.486493
1.0,177,762.371608
2.0,200,769.360378
2.0,204,776.251657
0.0,129,780.376986
1.0,156,785.487463
2.0,200,792.257188
0.0,129,796.438857
0.0,129,800.60763
2.0,224,808.258256
4.0,284,818.031588
0.0,127,822.182109
2.0,223,829.825849
0.0,127,833.856208
0.0,127,837.993535
1.0,173,843.748242
2.0,203,850.557975
2.0,199,857.297054
1.0,173,863.188873
1.0,155,868.273888
0.0,127,872.469708
1.0,171,878.197917
0.0,127,882.426966
2.0,224,890.295068
0.0,129,894.542324
0.0,129,898.751254
1.0,175,904.601005
2.0,188,910.987315
2.0,202,917.911324
0.0,127,921.970935
5.0,331,933.613682
2.0,224,941.345173
2.0,226,949.30861
3.0,245,959.062001
0.0,127,963.282817
0.0,127,967.178521
2.0,224,974.52187
1.0,153,979.417264
1.0,175,985.006996
0.0,129,988.992378
1.0,176,994.694565
0.0,129,998.704646
0.0,129,1002.73816
1.0,173,1008.369049
4.0,321,1019.143518
5.0,327,1030.12272
2.0,202,1036.635785
0.0,129,1040.688914
3.0,252,1049.058753
3.0,245,1057.203625
2.0,202,1063.891076
1.0,157,1068.911684
0.0,125,1072.754056
2.0,202,1079.340748
0.0,125,1083.187878
3.0,245,1091.265041
1.0,175,1097.029778
0.0,129,1100.973162
3.0,269,1109.892191
0.0,134,1114.118409
0.0,127,1118.034773
0.0,129,1122.112928
3.0,248,1130.255599
0.0,129,1134.308581
0.0,129,1138.38854
0.0,129,1142.396384
0.0,131,1146.469778
4.0,298,1156.384421
0.0,129,1160.391114
0.0,127,1164.400926
0.0,123,1168.209455
0.0,129,1172.317368
4.0,297,1182.153078
1.0,173,1187.715073
0.0,127,1191.701777
4.0,298,1201.939036
2.0,204,1208.584638
0.0,125,1212.561626
4.0,279,1221.851344
0.0,127,1225.73984
3.0,250,1233.887695
0.0,122,1237.728576
0.0,123,1241.517659
2.0,202,1247.983125
0.0,120,1251.769343
4.0,278,1260.930283
0.0,129,1264.980811
0.0,125,1268.890421
0.0,125,1272.680461
0.0,127,1276.536899
2.0,227,1283.974159
0.0,123,1287.858701
1.0,172,1293.285694
1.0,173,1298.864678
0.0,129,1302.819909
0.0,129,1306.835485
9.0,404,1320.297088
2.0,202,1326.97324
2.0,204,1333.569119
0.0,127,1337.42123
3.0,252,1345.778747
0.0,127,1349.738726
2.0,202,1356.223533
0.0,129,1360.251119
2.0,202,1366.804058
0.0,129,1370.745566
5.0,332,1381.664695
0.0,129,1385.645842
0.0,127,1389.521403
4.0,322,1400.310424
2.0,224,1407.653739
0.0,127,1411.550703
3.0,240,1419.380983
0.0,129,1423.363818
0.0,127,1427.362193
0.0,127,1431.354942
3.0,270,1440.229901
10.0,453,1455.574563
2.0,198,1461.921824
0.0,127,1465.962457
5.0,352,1477.769113
0.0,127,1481.620936
0.0,129,1485.708249
0.0,129,1489.640745
2.0,198,1496.17681
3.0,248,1504.31437
2.0,202,1510.767479
0.0,129,1514.796266
2.0,198,1521.219733
3.0,250,1529.432175
0.0,123,1533.253487
4.0,302,1543.311527
0.0,127,1547.164332
3.0,244,1555.20643
4.0,276,1564.371125
4.0,298,1574.332574
0.0,125,1578.18388
4.0,301,1588.09064
0.0,127,1592.065482
0.0,127,1595.902966
4.0,276,1605.133984
2.0,202,1611.642597
2.0,204,1618.261674
3.0,248,1626.457493
