nupdates,policy_entropy,total_timesteps,avg reward,explained_variance,fps,value_loss
1,1.7917592525482178,80,-0.003516492372727953,-3.8388991355895996,74,3.6993773392168805e-05
100,1.7917591333389282,8000,0.13111459927222313,0.03154224157333374,1536,0.04952455684542656
200,1.7917587757110596,16000,0.14045185913564637,0.19597285985946655,1724,0.01914335787296295
300,1.7917581796646118,24000,0.31921166060492395,0.025434672832489014,1770,0.0365484282374382
400,1.7917518615722656,32000,0.43788775578141215,0.8478721678256989,1768,0.00044352150871418417
500,1.7917053699493408,40000,0.762199991941452,0.0693138837814331,1782,0.041182003915309906
600,1.7916284799575806,48000,1.118630116432905,-0.052401065826416016,1794,0.05202601104974747
700,1.7913728952407837,56000,1.1633667148649693,0.3950423002243042,1805,0.06073695421218872
800,1.7906713485717773,64000,1.077119879424572,0.9245746359229088,1803,0.0014915328938513994
900,1.7908624410629272,72000,1.343837870657444,0.9763495344668627,1814,0.003340542782098055
1000,1.7863476276397705,80000,1.299085484445095,0.8915195092558861,1814,0.00911369826644659
1100,1.7818717956542969,88000,0.7776616546325386,0.974057013168931,1823,0.003185597714036703
1200,1.7840917110443115,96000,0.7321943966671824,0.6872936487197876,1817,0.02870846726000309
1300,1.7869317531585693,104000,0.5282390393316746,0.4884055256843567,1826,0.024566588923335075
1400,1.7600815296173096,112000,1.4011526979506015,0.7446624040603638,1833,0.031201094388961792
1500,1.7835355997085571,120000,1.1491851761937142,0.7814722955226898,1837,0.02159930393099785
1600,1.7249181270599365,128000,1.259594664722681,0.989235807210207,1840,0.0022103050723671913
1700,1.7795616388320923,136000,0.924108930816874,0.7952780574560165,1840,0.061440855264663696
1800,1.7831484079360962,144000,0.812991802021861,0.5566685497760773,1846,0.04523845389485359
1900,1.7802776098251343,152000,1.0604804635047913,0.7450448572635651,1850,0.03053509257733822
2000,1.7663934230804443,160000,0.9452891875058412,0.5074483752250671,1854,0.05077539011836052
2100,1.7743604183197021,168000,0.9942646570503711,0.5634632706642151,1855,0.10342975705862045
2200,1.7796968221664429,176000,0.7986992139369249,0.6805537641048431,1857,0.039699167013168335
2300,1.7537708282470703,184000,1.4719575971364975,0.887089416384697,1863,0.037901055067777634
2400,1.7409698963165283,192000,1.4343590401113033,0.8440145254135132,1866,0.03139933943748474
2500,1.7279514074325562,200000,0.7634459540713578,0.9305700436234474,1865,0.024080919101834297
2600,1.6971988677978516,208000,0.9117839398793877,0.9469013102352619,1867,0.015462877228856087
2700,1.7076495885849,216000,0.9704822657164186,0.9151822105050087,1870,0.040116086602211
2800,1.6972169876098633,224000,1.0620873167761602,0.9844240015372634,1873,0.006519578397274017
2900,1.6668192148208618,232000,1.589268059656024,0.8033408671617508,1874,0.045988600701093674
3000,1.6969420909881592,240000,1.629982990399003,0.9306101277470589,1876,0.03603744134306908
3100,1.6792700290679932,248000,1.289997694734484,0.9521242268383503,1877,0.03542705252766609
3200,1.719238042831421,256000,1.1749115862883628,0.9013840034604073,1879,0.026473870500922203
3300,1.6419522762298584,264000,1.6003258761018515,0.8671860843896866,1880,0.0505802147090435
3400,1.6168094873428345,272000,1.7031738586723804,0.980185866355896,1883,0.013089950196444988
3500,1.6834335327148438,280000,1.0427967204712332,0.9065994694828987,1886,0.03029283508658409
3600,1.6328376531600952,288000,1.5441953971982003,0.981101730838418,1888,0.012823261320590973
3700,1.62786066532135,296000,1.2544399976730347,0.9446051456034184,1888,0.025015750899910927
3800,1.6621469259262085,304000,1.2062921678647398,0.8264886140823364,1890,0.06506635248661041
3900,1.5807158946990967,312000,2.072623158246279,0.9339449405670166,1892,0.020731952041387558
4000,1.639425277709961,320000,1.30933653768152,0.9737948309630156,1895,0.01588447019457817
4100,1.6791753768920898,328000,0.7519718028604985,0.9017870426177979,1897,0.017622869461774826
4200,1.5708404779434204,336000,1.6836276367306708,0.9416159205138683,1898,0.0313057079911232
4300,1.637830138206482,344000,1.4108050901908427,0.9353082850575447,1900,0.02749902941286564
4400,1.6175464391708374,352000,1.2786885204724967,0.9778307620435953,1899,0.01220345962792635
4500,1.5836753845214844,360000,1.5818590842187406,0.9675434082746506,1899,0.010285677388310432
4600,1.5531941652297974,368000,1.529158502072096,0.9950996353290975,1896,0.004168725572526455
4700,1.60708749294281,376000,1.2417110269889235,0.9745724555104971,1896,0.009504975751042366
4800,1.6708507537841797,384000,1.175859222561121,0.8680108934640884,1895,0.04670175537467003
4900,1.6092822551727295,392000,1.492471719160676,0.9512340575456619,1897,0.02432563155889511
5000,1.601614236831665,400000,1.1448199639096857,0.9519738554954529,1897,0.01793975569307804
5100,1.5847513675689697,408000,1.5839068923145532,0.9591087996959686,1900,0.014443489722907543
5200,1.5762560367584229,416000,1.3976972055344958,0.9747083522379398,1900,0.011800496838986874
5300,1.5638303756713867,424000,1.4480708971619607,0.9796757437288761,1902,0.010058963671326637
5400,1.6117403507232666,432000,1.2461046082898974,0.9686815813183784,1903,0.009665952995419502
5500,1.5943005084991455,440000,1.657615984417498,0.9852703679352999,1902,0.005325521342456341
5600,1.5745131969451904,448000,1.3808259731158614,0.9846799615770578,1903,0.010005345568060875
5700,1.4995214939117432,456000,1.9779544677585363,0.9800971392542124,1904,0.014033091254532337
5800,1.5989627838134766,464000,1.4894101157784463,0.947432104498148,1905,0.012608545832335949
5900,1.5934282541275024,472000,1.2447957535274328,0.9853934654965997,1905,0.008756634779274464
6000,1.6027637720108032,480000,1.2472961775492877,0.9827339760959148,1905,0.01016477681696415
6100,1.6345527172088623,488000,0.9988938694819808,0.9778701886534691,1903,0.007231411524116993
6200,1.625340461730957,496000,1.2411821637302638,0.9787358958274126,1902,0.006578496191650629
6300,1.6432278156280518,504000,0.8823932467028499,0.9807386863976717,1901,0.009760343469679356
6400,1.6559817790985107,512000,0.8898729785112665,0.9817088674753904,1901,0.009109764359891415
6500,1.6457440853118896,520000,1.3099429707974195,0.9415448904037476,1901,0.020732447504997253
6600,1.6162967681884766,528000,1.4028112147003413,0.9544050171971321,1901,0.020011374726891518
6700,1.6450811624526978,536000,1.249188812240027,0.9844455840066075,1902,0.006173748057335615
6800,1.6045446395874023,544000,1.4126815837342293,0.9787054695188999,1903,0.011429596692323685
6900,1.5584354400634766,552000,1.4563874265179038,0.9687587134540081,1903,0.019727250561118126
7000,1.4785090684890747,560000,2.0651182807981967,0.9565064609050751,1904,0.020815782248973846
7100,1.5349693298339844,568000,1.2091314729768783,0.9621820822358131,1904,0.021461058408021927
7200,1.5622087717056274,576000,1.5452513448894023,0.9569564126431942,1905,0.023329338058829308
7300,1.6745688915252686,584000,0.7851221733726561,0.9045450985431671,1904,0.029248815029859543
7400,1.677124261856079,592000,1.067316849436611,0.9199431240558624,1904,0.025643188506364822
7500,1.6602861881256104,600000,1.0687544265761972,0.9596930742263794,1904,0.013215871527791023
7600,1.5838432312011719,608000,1.420961089245975,0.9845959963276982,1906,0.015556713566184044
7700,1.5910289287567139,616000,1.7993220414966344,0.986449658870697,1907,0.009336941875517368
7800,1.5588061809539795,624000,1.8249566756188869,0.9894977752119303,1907,0.007209570147097111
7900,1.611077904701233,632000,1.5104569265618921,0.9696303065866232,1907,0.019271250814199448
8000,1.6404346227645874,640000,1.266128890356049,0.947574071586132,1906,0.018468543887138367
8100,1.6341865062713623,648000,1.2749286075122654,0.9738997016102076,1906,0.01113954558968544
8200,1.6561787128448486,656000,0.7560462339781224,0.9514771699905396,1905,0.014209365472197533
8300,1.6839802265167236,664000,1.1661883715540171,0.9087327420711517,1906,0.01762625202536583
8400,1.654939889907837,672000,1.7520429829135538,0.9673062115907669,1906,0.01584337279200554
8500,1.6761938333511353,680000,1.3411085355561227,0.9791802447289228,1907,0.015083561651408672
8600,1.6341289281845093,688000,1.8896163376513868,0.963060948997736,1908,0.015413421206176281
