fps,policy_entropy,nupdates,total_timesteps,value_loss,avg reward,explained_variance
70,1.7917592525482178,1,80,3.6993962567066774e-05,-0.003516492372727953,-3.8388991355895996
1407,1.7917591333389282,100,8000,0.049524568021297455,0.13111460066247674,0.031542181968688965
1627,1.7917587757110596,200,16000,0.01914336159825325,0.14045186791336164,0.19597285985946655
1689,1.7917581796646118,300,24000,0.0365484282374382,0.31921133268624546,0.0254327654838562
1705,1.7917520999908447,400,32000,0.00044352986151352525,0.4378868110477924,0.8478674590587616
1729,1.7917053699493408,500,40000,0.041181907057762146,0.7621986217796802,0.06930267810821533
1750,1.7916284799575806,600,48000,0.052026402205228806,1.1185944348573684,-0.05240523815155029
1779,1.7913730144500732,700,56000,0.06073666363954544,1.1633081406354904,0.3949556350708008
1791,1.7906725406646729,800,64000,0.0014980807900428772,1.077240838110447,0.9241488873958588
1805,1.7908604145050049,900,72000,0.0033406498841941357,1.3441263273358346,0.97632697224617
1808,1.786391019821167,1000,80000,0.009066702798008919,1.299134011566639,0.8926337584853172
1810,1.7779624462127686,1100,88000,0.0039088851772248745,0.8834910390898585,0.973141998052597
1812,1.7676528692245483,1200,96000,0.004916493780910969,1.567106944322586,0.9798753205686808
1820,1.7790377140045166,1300,104000,0.019726727157831192,0.8607088223099708,0.6479750573635101
1830,1.7828474044799805,1400,112000,0.10455314815044403,1.7244238182902336,0.5967612564563751
1840,1.7546100616455078,1500,120000,0.07282032817602158,2.9212013304233553,0.8788534551858902
1844,1.780914545059204,1600,128000,0.01911843754351139,1.4949574545025826,0.774174228310585
1850,1.7683016061782837,1700,136000,0.06469827145338058,1.3635355539619922,0.4278497099876404
1858,1.75320303440094,1800,144000,0.0030129249207675457,1.3269674509763718,0.9767424948513508
1855,1.7426944971084595,1900,152000,0.011997604742646217,1.2321228452026844,0.9296767115592957
1859,1.7679061889648438,2000,160000,0.013060173019766808,1.2644364193081856,0.8894635066390038
1862,1.777313232421875,2100,168000,0.07732506096363068,1.0328557835891843,0.4442565441131592
1866,1.7763324975967407,2200,176000,0.01653340272605419,1.0848582558333875,0.7789532989263535
1872,1.7750498056411743,2300,184000,0.0032843765802681446,1.4157754108309746,0.969889173284173
1874,1.7776473760604858,2400,192000,0.0036934069357812405,1.0467222139239312,0.9838777780532837
1879,1.7838767766952515,2500,200000,0.0033125653862953186,0.7379499547183513,0.9480439834296703
1878,1.7827332019805908,2600,208000,0.03412190079689026,0.6091025870293378,0.5551411211490631
1878,1.7679967880249023,2700,216000,0.06522804498672485,1.0456745073199272,0.7523934245109558
1879,1.7651386260986328,2800,224000,0.011924495920538902,1.0739589156582952,0.9681903086602688
1881,1.7705379724502563,2900,232000,0.0038264431059360504,0.8088614688254893,0.9703330285847187
1882,1.7506916522979736,3000,240000,0.04497567564249039,1.7954737104475498,0.8930537179112434
1881,1.7461071014404297,3100,248000,0.0542449951171875,1.3622081791982055,0.8695677518844604
1884,1.7421531677246094,3200,256000,0.033509161323308945,1.2644403766840697,0.8514508605003357
1885,1.7339054346084595,3300,264000,0.042176198214292526,1.45574389398098,0.8502446115016937
1888,1.7322759628295898,3400,272000,0.021794062107801437,1.6287182284519077,0.961246594786644
1892,1.7030913829803467,3500,280000,0.017457935959100723,1.3272857002913951,0.9383022300899029
1895,1.724938988685608,3600,288000,0.02980683371424675,1.3762271471321583,0.8823082745075226
1896,1.7198880910873413,3700,296000,0.038562774658203125,1.4035294286906719,0.934911236166954
1896,1.7501821517944336,3800,304000,0.007410409860312939,0.9927923232316971,0.969753535464406
1899,1.7558610439300537,3900,312000,0.0261971615254879,1.1225805895403027,0.9145845398306847
1900,1.744982123374939,4000,320000,0.014103671535849571,2.0074310641735793,0.9773047640919685
1900,1.7281677722930908,4100,328000,0.017493631690740585,1.1623960942029954,0.942708034068346
1900,1.7097394466400146,4200,336000,0.04656613618135452,1.299440424889326,0.8706879168748856
1901,1.6533479690551758,4300,344000,0.017569292336702347,1.2879885144531726,0.9511573873460293
1897,1.7088344097137451,4400,352000,0.00463803019374609,0.933859818871133,0.9850843343883753
1899,1.7107324600219727,4500,360000,0.025848660618066788,1.4795959308743476,0.954704686999321
1898,1.6907516717910767,4600,368000,0.03652453422546387,1.3049259439110756,0.8753430470824242
1896,1.6616042852401733,4700,376000,0.02809787727892399,1.6358022125437857,0.9565206319093704
1894,1.669533133506775,4800,384000,0.03129187226295471,1.4558162357658149,0.9227226451039314
1895,1.6845805644989014,4900,392000,0.014231632463634014,1.0436280792579056,0.9373809546232224
1893,1.545653223991394,5000,400000,0.004951374139636755,1.6997635706327856,0.9912669146433473
1893,1.6445932388305664,5100,408000,0.012654927559196949,1.0018430534750222,0.9280830100178719
1894,1.615185022354126,5200,416000,0.009097110480070114,1.3006856130436062,0.9771587662398815
