#{"t_start": 1523832066.0621545, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
85.0,261,13.774583
205.0,557,19.461193
155.0,387,22.860005
60.0,266,25.268126
55.0,364,28.589338
135.0,523,33.064606
155.0,493,37.022216
195.0,741,43.291453
35.0,263,45.772643
110.0,504,50.526035
180.0,650,56.234634
30.0,360,59.073767
185.0,843,66.079952
185.0,601,71.3654
210.0,630,77.181859
390.0,961,85.469024
130.0,521,89.822357
125.0,409,93.345287
245.0,462,97.185439
35.0,307,99.900303
165.0,679,105.373945
105.0,329,108.243033
60.0,401,111.979752
80.0,397,115.830982
100.0,476,120.271826
320.0,921,128.465675
180.0,485,132.520697
205.0,713,138.97357
30.0,296,141.758573
180.0,520,146.545516
65.0,292,149.028277
140.0,654,154.469357
120.0,580,159.66929
135.0,570,164.249232
155.0,613,169.213438
80.0,468,173.092584
210.0,598,178.181759
155.0,631,183.859637
165.0,606,189.195341
105.0,557,194.304983
210.0,634,200.505841
180.0,590,206.075274
155.0,605,211.584185
190.0,590,216.827532
110.0,465,221.005813
155.0,591,226.356959
210.0,612,231.891617
275.0,760,238.268399
460.0,745,243.898306
180.0,596,248.732145
210.0,618,253.662262
185.0,601,258.488208
105.0,478,262.788166
210.0,613,267.811787
240.0,729,274.28896
135.0,585,279.225909
135.0,586,284.152936
155.0,603,289.225763
155.0,592,294.528971
155.0,597,299.547614
180.0,642,305.097899
180.0,624,310.451222
210.0,625,315.931757
165.0,600,320.959877
135.0,588,326.095077
210.0,642,331.541134
185.0,602,336.884758
155.0,594,341.955444
155.0,589,347.22423
475.0,780,353.973225
210.0,649,359.566417
185.0,611,365.280327
210.0,594,370.767873
135.0,589,376.551254
155.0,596,382.080939
355.0,598,387.811831
210.0,630,393.555022
155.0,600,398.892497
180.0,598,404.280159
50.0,281,406.80764
105.0,489,411.345915
355.0,607,416.863186
180.0,607,422.223325
240.0,741,428.788599
180.0,633,434.444691
180.0,622,440.024808
210.0,629,445.723755
210.0,612,450.947746
155.0,585,455.87158
180.0,603,461.098979
485.0,1420,473.8647
180.0,610,478.959085
180.0,669,484.575385
105.0,487,488.820061
210.0,621,494.306194
210.0,634,500.000632
180.0,595,505.160758
290.0,818,512.442014
210.0,619,517.988871
75.0,313,520.720215
75.0,309,523.624447
210.0,645,529.419083
180.0,593,534.741602
210.0,623,540.003486
210.0,624,545.367496
165.0,598,550.477356
185.0,602,555.570857
355.0,600,560.959625
155.0,599,566.057087
75.0,318,568.87187
105.0,485,572.965496
180.0,635,578.466313
330.0,819,585.763521
120.0,576,590.477448
410.0,644,595.903128
210.0,634,601.245652
210.0,636,606.696838
210.0,638,612.248459
