fps,avg reward,nupdates,total_timesteps,policy_entropy,explained_variance,value_loss
31,-0.003516492372727953,1,80,1.7917592525482178,-3.8388991355895996,3.6993773392168805e-05
1067,0.11718878204701469,100,8000,1.7917591333389282,0.08157074451446533,0.04413028433918953
1312,0.22287703505717218,200,16000,1.7917591333389282,0.06765562295913696,0.05224023014307022
1427,0.2636809503659606,300,24000,1.7917566299438477,0.5380566716194153,0.0005946834571659565
1501,0.45526310354471206,400,32000,1.7917543649673462,-0.10554158687591553,0.0195345189422369
1561,0.7741361241787672,500,40000,1.791733980178833,-0.22120189666748047,0.05358065292239189
1609,0.9644545041024685,600,48000,1.79123854637146,0.31879615783691406,0.03109627030789852
1648,1.2671126313507557,700,56000,1.7914161682128906,0.7675119638442993,0.01141866110265255
1652,0.953486779332161,800,64000,1.7904798984527588,0.9419979490339756,0.0012895420659333467
1658,1.218670978397131,900,72000,1.7895429134368896,-0.04854869842529297,0.0471092090010643
1673,0.805384636297822,1000,80000,1.7891899347305298,0.7911131083965302,0.0081870062276721
1688,1.6874786749482156,1100,88000,1.7873176336288452,0.8483377248048782,0.0315956175327301
1710,0.9595097612589598,1200,96000,1.7860972881317139,0.5003580152988434,0.040792737156152725
1720,1.5538595467805862,1300,104000,1.7840793132781982,0.7101639807224274,0.02238481305539608
1721,1.6051922783255577,1400,112000,1.771014928817749,0.6008585691452026,0.044701043516397476
1722,1.9389376893639565,1500,120000,1.7476999759674072,0.7054468989372253,0.030646484345197678
1729,2.0716711580753326,1600,128000,1.6823511123657227,0.273526132106781,0.27264204621315
1735,1.7462872698903085,1700,136000,1.7144511938095093,0.8699769824743271,0.008746245875954628
1743,1.0753475196659565,1800,144000,1.7598251104354858,0.5780750811100006,0.06723169982433319
1749,1.8037737742066384,1900,152000,1.7626606225967407,0.643651157617569,0.028261298313736916
1752,1.035017368197441,2000,160000,1.782043695449829,0.3108781576156616,0.042122676968574524
1761,1.0023093722760676,2100,168000,1.7790120840072632,0.9576486423611641,0.0015004053711891174
1762,1.523469451069832,2200,176000,1.7675669193267822,0.9310725033283234,0.004230528138577938
1758,1.1154387801885606,2300,184000,1.775896430015564,0.6059605479240417,0.03461398184299469
1754,0.8374060794711113,2400,192000,1.7810089588165283,0.5540706515312195,0.030799124389886856
1752,1.1024245768785477,2500,200000,1.773010492324829,0.8884397223591805,0.005169740878045559
1755,1.172552902251482,2600,208000,1.7664772272109985,0.2605353593826294,0.06289307028055191
1758,1.7924818471074104,2700,216000,1.742037057876587,0.304984450340271,0.06346230208873749
1759,1.0153781451284885,2800,224000,1.7725423574447632,0.7803047150373459,0.01822657324373722
1758,0.8733599837869406,2900,232000,1.7836154699325562,0.7602657526731491,0.03283694386482239
1755,1.083811679854989,3000,240000,1.76760733127594,0.6791039407253265,0.08558657020330429
1757,0.8429733972996474,3100,248000,1.7810615301132202,0.8163406252861023,0.02093726210296154
1761,0.8790934603661299,3200,256000,1.7838871479034424,0.6304522156715393,0.036796484142541885
1761,0.8263660656288266,3300,264000,1.7841110229492188,0.9827409740537405,0.0026510644238442183
1765,1.008254325762391,3400,272000,1.7862184047698975,0.4492989778518677,0.09066495299339294
1771,1.1274910300970078,3500,280000,1.7886995077133179,0.9578512869775295,0.009928533807396889
1774,1.0035628009587527,3600,288000,1.784147024154663,0.7482236325740814,0.04284007102251053
1778,1.3230065666139126,3700,296000,1.7866594791412354,0.6595471203327179,0.059446413069963455
1778,0.8984271930530667,3800,304000,1.784899353981018,0.8168514519929886,0.046369768679142
1778,1.2244184413459152,3900,312000,1.7529962062835693,0.9753337558358908,0.015121092088520527
1778,1.1823601577430964,4000,320000,1.7394382953643799,0.9667240157723427,0.013061176054179668
1777,1.305227553844452,4100,328000,1.7266947031021118,0.9651627391576767,0.016441568732261658
1773,1.2047688640654086,4200,336000,1.7620899677276611,0.8402337431907654,0.05989524722099304
1770,0.9885510114952922,4300,344000,1.773016333580017,0.931712917983532,0.015904780477285385
1768,1.244618065096438,4400,352000,1.7567001581192017,0.8679056614637375,0.05193590372800827
1767,1.187262618727982,4500,360000,1.7656787633895874,0.970217302441597,0.008362253196537495
1767,1.45898307710886,4600,368000,1.756333351135254,0.9176355078816414,0.027600158005952835
1767,1.3298555102199316,4700,376000,1.747199296951294,0.7277253568172455,0.07473563402891159
1766,1.5752253122627735,4800,384000,1.700585126876831,0.972673375159502,0.009266572073101997
1766,1.2945989299565555,4900,392000,1.7074311971664429,0.9027149453759193,0.042061686515808105
1766,1.21673692924669,5000,400000,1.6453235149383545,0.9825645256787539,0.00862675067037344
1770,2.049068393558264,5100,408000,1.5345499515533447,0.9523260742425919,0.0374041423201561
1776,1.2338108411058784,5200,416000,1.643855333328247,0.9603061489760876,0.015006559900939465
