Hyperparams
learning_rate=0.0005

exploration = args.explore #Exploration method. Choose between: greedy, random, e-greedy, boltzmann, bayesian.
y = .99 #Discount factor.
num_episodes = 10000 #Total number of episodes to train network for.
tau = 0.001 #Amount to update target network at each step.
batch_size = 32 #Size of training batch
# MODIFY 1 -> .1 to .1 to .01
startE = .2 #Starting chance of random action
endE = 0.1 #Final chance of random action
# MODIFY 200,000 to 300,000
anneling_steps = 300000 #How many steps of training to reduce startE to endE.
pre_train_steps = 50000 #Number of steps used before training updates begin.

Episode, Mean Reward, Total Steps, t
100,65.6,6609,0.2
200,65.52,13161,0.2
300,68.53,20014,0.2
400,63.93,26407,0.2
500,63.75,32782,0.2
600,62.07,38989,0.2
700,69.26,45915,0.2
800,70.22,52937,0.19902133333335953
900,82.13,61150,0.1962836666667661
1000,85.58,69708,0.19343100000017577
1100,78.59,77567,0.1908113333335792
1200,72.92,84859,0.18838066666697756
1300,70.63,91922,0.18602633333370722
1400,61.69,98091,0.1839700000004289
1500,61.59,104250,0.18191700000048383
1600,59.61,110211,0.179930000000537
1700,64.64,116675,0.17777533333392798
1800,67.96,123471,0.17551000000065525
1900,66.66,130137,0.1732880000007147
2000,74.55,137592,0.1708030000007812
2100,72.1,144802,0.16839966666751216
2200,76.64,152466,0.16584500000091384
2300,81.02,160568,0.16314433333431944
2400,80.45,168613,0.16046266666772452
2500,82.34,176847,0.1577180000011313
2600,88.93,185740,0.15475366666787727
2700,88.3,194570,0.15181033333462268
2800,86.35,203205,0.14893200000136636
2900,95.73,212778,0.14574100000145174
3000,97.43,222521,0.14249333333487196
3100,96.07,232128,0.1392910000016243
3200,95.54,241682,0.13610633333504285
3300,98.3,251512,0.13282966666846385
3400,101.8,261692,0.1294363333352213
3500,95.64,271256,0.1262483333353066
3600,102.51,281507,0.12283133333530774
3700,104.04,291911,0.11936333333525614
3800,103.08,302219,0.11592733333520502
3900,107.57,312976,0.11234166666848501
4000,107.46,323722,0.10875966666843172
4100,106.29,334351,0.105216666668379
4200,109.05,345256,0.10158166666832492
4300,111.73,356429,0.09999966666830139
4400,96.95,366124,0.09999966666830139
4500,103.92,376516,0.09999966666830139
4600,105.36,387052,0.09999966666830139
4700,110.17,398069,0.09999966666830139
4800,116.85,409754,0.09999966666830139
4900,113.17,421071,0.09999966666830139
5000,102.84,431355,0.09999966666830139
5100,107.54,442109,0.09999966666830139
5200,112.46,453355,0.09999966666830139
5300,109.83,464338,0.09999966666830139
5400,102.54,474592,0.09999966666830139
5500,117.7,486362,0.09999966666830139
5600,113.47,497709,0.09999966666830139
5700,113.97,509106,0.09999966666830139
5800,117.99,520905,0.09999966666830139
5900,115.92,532497,0.09999966666830139
6000,119.91,544488,0.09999966666830139
6100,128.68,557356,0.09999966666830139
6200,122.23,569579,0.09999966666830139
6300,141.84,583763,0.09999966666830139
6400,136.41,597404,0.09999966666830139
6500,140.12,611416,0.09999966666830139
6600,147.75,626191,0.09999966666830139
6700,145.48,640739,0.09999966666830139
6800,143.89,655128,0.09999966666830139
6900,146.53,669781,0.09999966666830139
7000,160.36,685817,0.09999966666830139
7100,139.73,699790,0.09999966666830139
7200,158.55,715645,0.09999966666830139
7300,150.59,730704,0.09999966666830139
7400,141.57,744861,0.09999966666830139
7500,162.3,761091,0.09999966666830139
7600,167.91,777882,0.09999966666830139
7700,162.76,794158,0.09999966666830139
7800,155.15,809673,0.09999966666830139
7900,168.05,826478,0.09999966666830139
8000,172.78,843756,0.09999966666830139
8100,158.94,859650,0.09999966666830139
8200,147.28,874378,0.09999966666830139
8300,165.26,890904,0.09999966666830139
8400,161.12,907016,0.09999966666830139
8500,167.55,923771,0.09999966666830139
8600,164.5,940221,0.09999966666830139
8700,168.67,957088,0.09999966666830139
8800,163.94,973482,0.09999966666830139
8900,169.79,990461,0.09999966666830139
9000,157.52,1006213,0.09999966666830139
9100,173.51,1023564,0.09999966666830139
9200,169.45,1040509,0.09999966666830139
9300,172.21,1057730,0.09999966666830139
9400,164.2,1074150,0.09999966666830139
9500,167.58,1090908,0.09999966666830139
9600,170.0,1107908,0.09999966666830139
9700,171.94,1125102,0.09999966666830139
9800,169.21,1142023,0.09999966666830139
9900,163.38,1158361,0.09999966666830139
