steps,episodes,mean 100 episode reward,% time spent exploring
3626,100,0.3,99
6400,200,0.2,99
10137,300,0.4,98
13539,400,0.3,98
16569,500,0.2,98
20110,600,0.3,98
23080,700,0.2,97
26316,800,0.2,97
29620,900,0.3,97
33117,1000,0.3,96
36229,1100,0.2,96
39203,1200,0.2,96
42631,1300,0.3,95
46065,1400,0.3,95
49223,1500,0.2,95
52835,1600,0.3,94
56083,1700,0.2,94
59865,1800,0.4,94
63215,1900,0.3,93
66850,2000,0.3,93
70167,2100,0.3,93
74253,2200,0.5,92
77888,2300,0.3,92
81783,2400,0.4,91
85373,2500,0.4,91
88671,2600,0.3,91
92359,2700,0.4,90
95677,2800,0.3,90
99257,2900,0.3,90
102820,3000,0.3,89
106469,3100,0.3,89
109595,3200,0.2,89
113462,3300,0.4,88
117173,3400,0.4,88
121172,3500,0.4,88
124541,3600,0.3,87
128210,3700,0.4,87
131926,3800,0.4,86
136014,3900,0.4,86
139473,4000,0.3,86
143497,4100,0.4,85
147497,4200,0.4,85
151478,4300,0.4,85
155230,4400,0.4,84
158986,4500,0.4,84
162897,4600,0.4,83
167144,4700,0.5,83
170791,4800,0.4,83
174864,4900,0.4,82
179006,5000,0.5,82
182949,5100,0.4,81
186670,5200,0.4,81
191093,5300,0.5,81
195660,5400,0.5,80
200186,5500,0.5,80
204700,5600,0.6,79
209386,5700,0.6,79
213739,5800,0.5,78
217891,5900,0.5,78
222106,6000,0.5,78
226222,6100,0.5,77
230632,6200,0.5,77
234668,6300,0.4,76
239086,6400,0.6,76
243157,6500,0.5,75
247537,6600,0.6,75
252526,6700,0.7,74
257757,6800,0.7,74
263223,6900,0.8,73
268124,7000,0.7,73
272070,7100,0.4,73
276750,7200,0.6,72
281100,7300,0.5,72
286060,7400,0.6,71
291599,7500,0.8,71
296887,7600,0.7,70
302651,7700,0.9,70
307288,7800,0.6,69
312827,7900,0.8,69
317518,8000,0.6,68
322874,8100,0.8,68
328327,8200,0.8,67
333228,8300,0.7,67
338024,8400,0.7,66
343410,8500,0.8,66
348438,8600,0.7,65
353077,8700,0.6,65
359552,8800,1.0,64
364641,8900,0.7,63
369481,9000,0.6,63
373599,9100,0.5,63
381095,9200,1.3,62
385988,9300,0.7,61
392208,9400,1.0,61
397585,9500,0.8,60
403556,9600,1.0,60
409050,9700,0.8,59
415904,9800,1.1,58
421273,9900,0.8,58
427032,10000,0.9,57
433999,10100,1.2,57
439961,10200,1.0,56
446174,10300,1.0,55
453037,10400,1.1,55
459918,10500,1.2,54
466472,10600,1.1,53
472568,10700,1.0,53
479028,10800,1.1,52
485103,10900,0.9,51
492774,11000,1.4,51
499147,11100,1.0,50
506258,11200,1.2,49
513374,11300,1.3,49
520463,11400,1.2,48
526778,11500,1.1,47
534368,11600,1.4,47
542818,11700,1.6,46
550436,11800,1.3,45
558549,11900,1.5,44
566247,12000,1.4,43
575685,12100,1.9,43
584357,12200,1.7,42
592035,12300,1.4,41
599747,12400,1.5,40
608480,12500,1.7,39
617143,12600,1.7,38
625766,12700,1.7,38
633562,12800,1.5,37
642368,12900,1.7,36
650610,13000,1.6,35
660552,13100,2.0,34
670989,13200,2.2,33
681005,13300,2.1,32
691077,13400,2.1,31
703044,13500,2.6,30
713470,13600,2.2,29
723919,13700,2.2,28
735001,13800,2.4,27
746257,13900,2.5,26
758963,14000,2.9,24
771129,14100,2.8,23
784280,14200,3.0,22
799442,14300,3.5,20
813433,14400,3.3,19
829375,14500,3.9,17
844471,14600,3.5,16
860393,14700,4.0,14
878852,14800,4.9,12
896788,14900,4.5,11
915950,15000,5.0,9
935331,15100,4.9,7
956518,15200,5.9,5
980622,15300,6.9,2
1003291,15400,6.1,1
1028580,15500,7.2,1
1052091,15600,6.7,1
1076219,15700,7.4,1
1102137,15800,7.5,1
1124823,15900,6.9,1
1149913,16000,7.1,1
1174245,16100,7.3,1
1199234,16200,7.3,1
1223292,16300,8.2,1
1247727,16400,7.8,1
1272938,16500,9.2,1
1296572,16600,8.0,1
1321285,16700,7.9,1
1345494,16800,7.9,1
1370220,16900,7.8,1
1395694,17000,8.7,1
1419891,17100,8.8,1
1446106,17200,8.7,1
1472586,17300,9.6,1
1496586,17400,7.6,1
1524474,17500,10.0,1
1550811,17600,9.0,1
1577407,17700,9.8,1
1607231,17800,11.6,1
1632413,17900,8.0,1
1656051,18000,8.1,1
1682540,18100,9.8,1
1710092,18200,10.9,1
1735564,18300,8.3,1
1762286,18400,10.0,1
1788730,18500,9.8,1
1815590,18600,9.8,1
1841317,18700,9.1,1
1867907,18800,9.9,1
1894196,18900,9.6,1
1918721,19000,10.0,1
1945401,19100,9.3,1
