#{"t_start": 1520158911.0694466, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
2.0,224,4.171385
3.0,248,5.152526
4.0,316,6.620575
2.0,224,7.53813
0.0,129,8.011386
0.0,125,8.461168
0.0,127,8.923627
1.0,155,9.419374
2.0,204,10.103225
1.0,156,10.578107
0.0,127,11.046323
0.0,127,11.635526
0.0,129,12.273631
2.0,222,13.320088
0.0,127,13.932953
2.0,224,14.78109
0.0,129,15.361621
0.0,129,15.866775
0.0,127,16.356945
1.0,173,17.178731
4.0,301,18.164233
0.0,129,18.738385
1.0,155,19.45909
2.0,222,20.307327
1.0,155,20.858823
1.0,155,21.407921
0.0,129,22.021008
2.0,201,22.947613
3.0,232,24.050039
1.0,178,24.827569
2.0,221,25.698487
1.0,155,26.295042
1.0,173,27.037804
2.0,206,27.9601
4.0,277,29.323149
1.0,175,30.071992
2.0,205,31.04013
0.0,127,31.557317
2.0,203,32.458847
0.0,129,33.033477
3.0,250,34.068139
0.0,129,34.544942
2.0,223,35.393362
2.0,200,36.21675
1.0,157,36.992614
0.0,129,37.546114
1.0,153,38.150603
0.0,127,38.656586
1.0,155,39.312271
0.0,129,39.834209
0.0,129,40.44466
0.0,127,40.993847
0.0,129,41.53919
4.0,321,43.038206
2.0,225,43.923829
1.0,175,44.630164
2.0,204,45.50052
1.0,157,46.25842
0.0,127,46.921778
0.0,129,47.458424
3.0,255,48.611679
0.0,123,49.396605
0.0,123,50.394073
0.0,129,51.410615
1.0,171,52.677025
5.0,329,55.526552
0.0,129,56.646607
3.0,236,58.42054
1.0,173,59.793315
6.0,382,63.185843
3.0,250,65.266032
0.0,127,66.328115
0.0,129,67.409749
4.0,299,70.050448
0.0,129,71.231174
1.0,151,72.42674
0.0,127,73.568218
0.0,125,74.605602
0.0,125,75.57583
1.0,175,76.984948
2.0,203,78.591593
0.0,127,79.50616
3.0,238,81.320199
0.0,125,82.349044
1.0,155,83.624932
0.0,129,84.644876
1.0,173,86.06529
3.0,253,88.206257
1.0,176,89.7103
0.0,129,90.786431
2.0,224,92.585187
1.0,157,93.99468
1.0,176,95.494862
2.0,202,96.955833
1.0,155,98.056371
2.0,221,99.865166
1.0,172,101.163013
3.0,249,102.879896
0.0,125,103.766836
0.0,125,104.578975
1.0,171,105.690088
0.0,129,106.673994
0.0,125,107.67554
1.0,151,108.902899
3.0,268,110.864674
4.0,261,113.080473
0.0,125,114.148854
2.0,201,115.824203
0.0,127,116.708112
2.0,190,118.301536
1.0,175,119.640861
2.0,204,121.314668
0.0,127,122.392072
0.0,127,123.335956
1.0,173,124.804809
0.0,127,125.795988
2.0,224,127.537028
0.0,127,128.640265
0.0,127,129.636737
0.0,129,130.785184
1.0,155,132.059543
0.0,127,133.049732
0.0,129,134.065209
1.0,173,135.430047
2.0,205,137.823202
2.0,200,139.219678
1.0,153,140.313204
2.0,220,141.834764
2.0,203,143.492622
0.0,125,144.368757
1.0,173,145.842211
0.0,129,146.757597
0.0,127,147.675825
0.0,127,148.621687
0.0,123,149.644033
3.0,230,151.559739
0.0,125,152.557917
6.0,377,155.824579
1.0,155,157.124584
2.0,185,158.728576
1.0,174,160.153605
2.0,204,161.916856
1.0,173,163.414429
2.0,200,165.130837
0.0,127,166.118039
2.0,205,167.604539
1.0,177,168.896637
