episodes,% time spent exploring,steps,mean 100 episode reward
100,99,3118,0.2
200,99,6566,0.3
300,99,9661,0.2
400,98,13022,0.3
500,98,16304,0.2
600,98,19310,0.2
700,97,22471,0.2
800,97,25825,0.3
900,97,28965,0.2
1000,96,32238,0.3
1100,96,35703,0.3
1200,96,38976,0.2
1300,95,42619,0.4
1400,95,46169,0.3
1500,95,49757,0.3
1600,94,53071,0.2
1700,94,56885,0.4
1800,93,60850,0.4
1900,93,64409,0.3
2000,93,67819,0.3
2100,92,71931,0.4
2200,92,75735,0.4
2300,92,79121,0.3
2400,91,82917,0.4
2500,91,86560,0.3
2600,91,90207,0.4
2700,90,94071,0.4
2800,90,98009,0.4
2900,89,102163,0.4
3000,89,105556,0.3
3100,89,109168,0.3
3200,88,113099,0.4
3300,88,116536,0.3
3400,88,120577,0.4
3500,87,124067,0.3
3600,87,128081,0.4
3700,86,132394,0.5
3800,86,136359,0.4
3900,86,140431,0.4
4000,85,144618,0.5
4100,85,148628,0.4
4200,84,152558,0.4
4300,84,156535,0.4
4400,84,160627,0.5
4500,83,164507,0.4
4600,83,168704,0.5
4700,82,172741,0.4
4800,82,177051,0.5
4900,82,181601,0.5
5000,81,185842,0.5
5100,81,190477,0.6
5200,80,195037,0.6
5300,80,199762,0.6
5400,79,204339,0.6
5500,79,208938,0.6
5600,78,213542,0.6
5700,78,218006,0.5
5800,78,221984,0.4
5900,77,226279,0.5
6000,77,231017,0.6
6100,76,235811,0.6
6200,76,240150,0.5
6300,75,245136,0.7
6400,75,249361,0.5
6500,74,254198,0.6
6600,74,258626,0.6
6700,73,262876,0.5
6800,73,267005,0.5
6900,73,271677,0.6
7000,72,275687,0.4
7100,72,280713,0.7
7200,71,284875,0.5
7300,71,289641,0.6
7400,70,294064,0.5
7500,70,298909,0.6
7600,69,304373,0.8
7700,69,308646,0.5
7800,68,313166,0.6
7900,68,317790,0.6
8000,68,322975,0.7
8100,67,327635,0.6
8200,67,332432,0.6
8300,66,337236,0.6
8400,66,342368,0.7
8500,65,347148,0.6
8600,65,352065,0.6
8700,64,356411,0.5
8800,64,361233,0.6
8900,63,366524,0.8
9000,63,371406,0.7
9100,62,376369,0.6
9200,62,382282,0.9
9300,61,387612,0.8
9400,61,393205,0.8
9500,60,398232,0.7
9600,60,403559,0.8
9700,59,409202,0.8
9800,58,414881,0.9
9900,58,420444,0.8
10000,57,426424,0.9
10100,57,432716,1.0
10200,56,439836,1.3
10300,55,445342,0.9
10400,55,452703,1.2
10500,54,459831,1.2
10600,53,466256,1.0
10700,53,473536,1.3
10800,52,480379,1.1
10900,51,486403,1.0
11000,51,492230,0.9
11100,50,499909,1.4
11200,49,506036,1.0
11300,49,513310,1.3
11400,48,521143,1.4
11500,47,527573,1.1
11600,47,534337,1.1
11700,46,542642,1.5
11800,45,549139,1.1
11900,44,557680,1.6
12000,43,566427,1.7
12100,43,574729,1.6
12200,42,583686,1.8
12300,41,590907,1.3
12400,40,597931,1.3
12500,39,606717,1.7
12600,38,616261,1.9
12700,38,626170,2.0
12800,36,636456,2.2
12900,36,646008,2.0
13000,35,655733,2.0
13100,33,667646,2.6
13200,32,678851,2.4
13300,31,689399,2.3
13400,30,702916,3.1
13500,29,715017,2.6
13600,27,728091,3.0
13700,26,740186,2.8
13800,25,752971,2.9
13900,24,765547,2.8
14000,22,778834,3.2
14100,21,794130,3.7
14200,19,809701,3.8
14300,18,824260,3.6
14400,16,840666,3.9
14500,15,857722,4.2
14600,12,879718,5.6
14700,10,900178,5.3
14800,8,919369,4.9
14900,6,939942,5.2
