% time spent exploring,steps,mean 100 episode reward,episodes
99,3582,0.3,100
99,7165,0.3,200
98,10569,0.2,300
98,13773,0.2,400
98,16794,0.2,500
98,19599,0.1,600
97,22968,0.3,700
97,26347,0.3,800
97,29444,0.2,900
96,32572,0.2,1000
96,35780,0.2,1100
96,39000,0.2,1200
95,42705,0.4,1300
95,46259,0.3,1400
95,49648,0.3,1500
94,53175,0.3,1600
94,56433,0.3,1700
94,59647,0.2,1800
93,63606,0.4,1900
93,67068,0.3,2000
92,70943,0.4,2100
92,74639,0.4,2200
92,78153,0.3,2300
91,81517,0.3,2400
91,84935,0.3,2500
91,88614,0.4,2600
90,91939,0.3,2700
90,96307,0.5,2800
90,100060,0.4,2900
89,103877,0.4,3000
89,107917,0.4,3100
88,111922,0.5,3200
88,116243,0.5,3300
88,120397,0.5,3400
87,123889,0.4,3500
87,128000,0.4,3600
86,131859,0.4,3700
86,136450,0.6,3800
86,140764,0.5,3900
85,144748,0.4,4000
85,149018,0.5,4100
84,153315,0.5,4200
84,156740,0.3,4300
84,160250,0.3,4400
83,164334,0.4,4500
83,168301,0.4,4600
82,172573,0.5,4700
82,177453,0.6,4800
81,182238,0.6,4900
81,186899,0.6,5000
81,191345,0.5,5100
80,196204,0.6,5200
80,200461,0.5,5300
79,205040,0.6,5400
79,209369,0.5,5500
78,213380,0.4,5600
78,217851,0.5,5700
77,222576,0.6,5800
77,226661,0.4,5900
77,231922,0.8,6000
76,237078,0.7,6100
76,241879,0.6,6200
75,246265,0.5,6300
75,251274,0.7,6400
74,255750,0.5,6500
74,260172,0.5,6600
73,265633,0.8,6700
73,270472,0.6,6800
72,275296,0.6,6900
72,280143,0.6,7000
71,283909,0.4,7100
71,288273,0.5,7200
70,293379,0.8,7300
70,297247,0.4,7400
70,301632,0.5,7500
69,306143,0.6,7600
69,310417,0.5,7700
68,314839,0.5,7800
68,319514,0.6,7900
67,324104,0.6,8000
67,329413,0.8,8100
66,334797,0.8,8200
66,339728,0.6,8300
65,344817,0.7,8400
65,350010,0.8,8500
64,355144,0.7,8600
64,359798,0.6,8700
63,365070,0.8,8800
63,369668,0.6,8900
62,374514,0.7,9000
62,380509,1.0,9100
61,384948,0.6,9200
61,389830,0.7,9300
60,395044,0.8,9400
60,400721,0.8,9500
59,405492,0.6,9600
59,410549,0.7,9700
58,415928,0.8,9800
58,421899,0.9,9900
57,427208,0.8,10000
57,433402,1.0,10100
56,438631,0.7,10200
55,444838,1.0,10300
55,450202,0.8,10400
54,456873,1.1,10500
54,463053,1.0,10600
53,469440,1.0,10700
52,475740,1.0,10800
52,482435,1.1,10900
51,490113,1.4,11000
50,496842,1.2,11100
50,502583,0.9,11200
49,510193,1.3,11300
48,516455,1.0,11400
48,521810,0.8,11500
47,528089,1.0,11600
47,533925,0.9,11700
46,541519,1.4,11800
45,549480,1.5,11900
44,556878,1.3,12000
44,564255,1.2,12100
43,571836,1.4,12200
42,580184,1.6,12300
41,588203,1.5,12400
40,596499,1.5,12500
40,604220,1.4,12600
39,612700,1.7,12700
38,621809,1.8,12800
37,630352,1.8,12900
36,638990,1.6,13000
35,647436,1.6,13100
35,656053,1.7,13200
34,665019,1.7,13300
33,676554,2.4,13400
32,685888,1.9,13500
30,697073,2.4,13600
29,707852,2.3,13700
28,718377,2.2,13800
27,728625,2.2,13900
26,740497,2.6,14000
25,752712,2.8,14100
24,764952,2.7,14200
22,778411,3.1,14300
21,792546,3.3,14400
20,807741,3.6,14500
18,822360,3.5,14600
17,837441,3.7,14700
15,854709,4.3,14800
13,872425,4.4,14900
11,890706,4.5,15000
10,909078,4.5,15100
8,928967,5.0,15200
6,948696,5.1,15300
3,970506,5.7,15400
1,991825,5.9,15500
1,1014867,6.2,15600
1,1039710,6.8,15700
1,1065402,7.0,15800
1,1088693,6.5,15900
1,1112966,7.2,16000
1,1136553,7.0,16100
1,1161424,7.5,16200
1,1184486,6.6,16300
1,1210854,7.9,16400
1,1233876,6.4,16500
1,1259605,7.5,16600
1,1282557,6.9,16700
1,1307710,7.8,16800
1,1331209,6.8,16900
1,1354696,7.2,17000
1,1378937,7.1,17100
1,1402574,6.7,17200
1,1428594,7.6,17300
1,1453359,7.5,17400
1,1478176,7.4,17500
1,1503178,7.4,17600
1,1527553,7.0,17700
1,1552916,8.1,17800
1,1578273,8.4,17900
1,1605042,8.8,18000
1,1630593,8.5,18100
1,1658180,9.1,18200
1,1685404,9.2,18300
1,1713037,10.1,18400
1,1741399,10.3,18500
1,1769097,9.9,18600
1,1794558,9.3,18700
1,1823134,9.7,18800
1,1852415,11.0,18900
1,1880154,10.2,19000
1,1909044,10.4,19100
1,1938638,10.6,19200
1,1968800,10.8,19300
1,1997301,10.8,19400
1,2026952,11.8,19500
1,2058268,12.1,19600
1,2089388,11.9,19700
1,2122052,12.2,19800
1,2151603,12.0,19900
1,2182182,12.4,20000
1,2212716,12.5,20100
1,2242096,11.7,20200
1,2271980,12.0,20300
1,2303488,12.4,20400
1,2335312,14.5,20500
1,2367539,14.1,20600
1,2396541,10.8,20700
1,2426963,12.0,20800
1,2458276,13.4,20900
1,2487140,10.7,21000
1,2520585,12.8,21100
1,2556026,14.9,21200
1,2587258,12.5,21300
1,2617288,12.6,21400
1,2650646,13.7,21500
1,2684787,13.8,21600
1,2717312,13.5,21700
1,2751200,13.3,21800
1,2780764,12.6,21900
1,2814571,14.5,22000
1,2844668,12.6,22100
1,2877591,13.8,22200
1,2909022,12.3,22300
1,2943772,14.1,22400
1,2976765,13.2,22500
1,3006334,10.1,22600
1,3038561,13.4,22700
1,3073408,13.8,22800
1,3103219,12.3,22900
1,3137051,13.1,23000
1,3171934,13.7,23100
1,3201275,11.0,23200
1,3237285,15.6,23300
1,3267930,11.5,23400
1,3302877,14.8,23500
1,3338070,14.2,23600
1,3372138,13.0,23700
1,3401733,11.8,23800
1,3429674,12.0,23900
1,3463798,14.1,24000
1,3496253,13.1,24100
