Bayesian
Episode Number, Mean Reward, Total Steps, e
100,15.03,1515,1
200,14.58,2973,1
300,14.4,4413,1
400,14.72,5885,1
500,14.4,7325,1
600,14.38,8763,1
700,15.31,10294,1
800,15.62,11856,1
900,15.89,13445,1
1000,14.32,14877,1
1100,14.82,16359,1
1200,15.6,17919,1
1300,17.17,19636,1
1400,15.2,21156,1
1500,16.04,22760,1
1600,14.31,24191,1
1700,15.18,25709,1
1800,15.38,27247,1
1900,15.12,28759,1
2000,14.54,30213,1
2100,14.0,31613,1
2200,14.32,33045,1
2300,15.05,34550,1
2400,15.11,36061,1
2500,14.08,37469,1
2600,15.5,39019,1
2700,14.43,40462,1
2800,15.13,41975,1
2900,14.71,43446,1
3000,14.49,44895,1
3100,14.09,46304,1
3200,14.93,47797,1
3300,15.27,49324,1
3400,18.55,51179,0.9964660000000292
3500,17.28,52907,0.9912820000000719
3600,18.33,54740,0.9857830000001173
3700,18.0,56540,0.9803830000001619
3800,19.25,58465,0.9746080000002095
3900,20.43,60508,0.9684790000002601
4000,19.65,62473,0.9625840000003087
4100,25.81,65054,0.9548410000003726
4200,27.34,67788,0.9466390000004403
4300,26.68,70456,0.9386350000005064
4400,28.92,73348,0.929959000000578
4500,30.16,76364,0.9209110000006526
4600,34.42,79806,0.9105850000007378
4700,34.36,83242,0.9002770000008229
4800,30.17,86259,0.8912260000008976
4900,33.02,89561,0.8813200000009793
5000,33.79,92940,0.871183000001063
5100,39.0,96840,0.8594830000011595
5200,35.32,100372,0.848887000001247
5300,35.41,103913,0.8382640000013346
5400,33.38,107251,0.8282500000014172
5500,31.9,110441,0.8186800000014962
5600,36.54,114095,0.8077180000015867
5700,30.67,117162,0.7985170000016626
5800,36.11,120773,0.787684000001752
5900,32.15,123988,0.7780390000018316
6000,34.4,127428,0.7677190000019167
6100,37.8,131208,0.7563790000020103
6200,37.26,134934,0.7452010000021025
6300,32.61,138195,0.7354180000021833
6400,33.21,141516,0.7254550000022655
6500,33.17,144833,0.7155040000023476
6600,33.27,148160,0.70552300000243
6700,30.15,151175,0.6964780000025046
6800,31.75,154350,0.6869530000025832
6900,32.45,157595,0.6772180000026635
7000,33.65,160960,0.6671230000027468
7100,31.79,164139,0.6575860000028255
7200,32.21,167360,0.6479230000029053
7300,30.29,170389,0.6388360000029802
7400,31.78,173567,0.6293020000030589
7500,29.05,176472,0.6205870000031308
7600,34.43,179915,0.6102580000032161
7700,33.12,183227,0.600322000003298
7800,34.39,186666,0.5900050000033832
7900,33.88,190054,0.579841000003467
8000,33.34,193388,0.5698390000035496
8100,28.64,196252,0.5612470000036205
8200,32.65,199517,0.5514520000037013
8300,32.43,202760,0.5417230000037816
8400,33.42,206102,0.5316970000038643
8500,38.43,209945,0.5201680000039595
8600,36.15,213560,0.509323000004049
8700,39.7,217530,0.49741300000414723
8800,37.85,221315,0.48605800000424093
8900,35.87,224902,0.47529700000432973
9000,44.52,229354,0.46194100000443994
9100,45.41,233895,0.44831800000455235
9200,44.45,238340,0.4349830000046624
9300,47.91,243131,0.420610000004781
9400,51.12,248243,0.40527400000490754
9500,53.53,253596,0.38921500000504006
9600,59.88,259584,0.3712510000051883
9700,61.17,265701,0.3529000000053397
9800,73.39,273040,0.3308830000055214
9900,80.06,281046,0.3068650000057196


e-greedy

100,21.37,2151,1
200,22.0,4351,1
300,20.31,6382,1
400,22.84,8666,1
500,21.29,10795,1
600,24.23,13218,1
700,22.3,15448,1
800,23.08,17756,1
900,22.46,20002,1
1000,21.2,22122,1
1100,23.62,24484,1
1200,22.0,26684,1
1300,23.39,29023,1
1400,20.72,31095,1
1500,21.71,33266,1
1600,22.83,35549,1
1700,22.88,37837,1
1800,21.19,39956,1
1900,22.28,42184,1
2000,21.64,44348,1
2100,23.27,46675,1
2200,22.23,48898,1
2300,22.37,51135,0.9965980000000281
2400,21.39,53274,0.990181000000081
2500,20.02,55276,0.9841750000001306
2600,20.31,57307,0.9780820000001809
2700,21.57,59464,0.9716110000002343
2800,22.38,61702,0.9648970000002897
2900,22.23,63925,0.9582280000003447
3000,21.27,66052,0.9518470000003973
3100,21.46,68198,0.9454090000004505
3200,20.26,70224,0.9393310000005006
3300,21.47,72371,0.9328900000005538
3400,22.99,74670,0.9259930000006107
3500,22.17,76887,0.9193420000006656
3600,22.39,79126,0.912625000000721
3700,22.42,81368,0.9058990000007765
3800,21.4,83508,0.8994790000008295
3900,22.44,85752,0.892747000000885
4000,23.24,88076,0.8857750000009426
4100,23.38,90414,0.8787610000010004
4200,22.73,92687,0.8719420000010567
4300,23.19,95006,0.8649850000011141
4400,25.46,97552,0.8573470000011771
4500,24.2,99972,0.850087000001237
4600,25.43,102515,0.8424580000013
4700,28.11,105326,0.8340250000013696
4800,27.05,108031,0.8259100000014366
4900,26.59,110690,0.8179330000015024
5000,27.69,113459,0.8096260000015709
5100,28.88,116347,0.8009620000016424
5200,27.42,119089,0.7927360000017103
5300,28.15,121904,0.78429100000178
5400,27.37,124641,0.7760800000018477
5500,26.73,127314,0.7680610000019139
5600,26.68,129982,0.76005700000198
5700,26.65,132647,0.7520620000020459
5800,28.89,135536,0.7433950000021174
5900,29.57,138493,0.7345240000021906
6000,30.11,141504,0.7254910000022652
6100,29.05,144409,0.7167760000023371
6200,29.69,147378,0.7078690000024106
6300,30.36,150414,0.6987610000024858
6400,29.73,153387,0.6898420000025594
6500,27.68,156155,0.6815380000026279
6600,35.78,159733,0.6708040000027164
6700,31.87,162920,0.6612430000027953
6800,34.96,166416,0.6507550000028819
6900,31.48,169564,0.6413110000029598
7000,32.35,172799,0.6316060000030399
7100,34.09,176208,0.6213790000031243
7200,33.27,179535,0.6113980000032067
7300,32.44,182779,0.601666000003287
7400,34.98,186277,0.5911720000033736
7500,33.21,189598,0.5812090000034558
7600,35.77,193175,0.5704780000035443
7700,34.86,196661,0.5600200000036306
7800,34.72,200133,0.5496040000037166
7900,36.0,203733,0.5388040000038057
8000,34.59,207192,0.5284270000038913
8100,38.76,211068,0.5167990000039873
8200,34.17,214485,0.5065480000040719
8300,38.76,218361,0.4949200000041678
