total_timesteps,avg reward,fps,policy_entropy,value_loss,nupdates,explained_variance
80,0.4724554058164358,34,2.1972222328186035,0.023157309740781784,1,-30.79102897644043
8000,0.4054968312382698,1268,2.197221279144287,0.0008501621196046472,100,-0.41487133502960205
16000,0.0051359887198486835,1574,2.1971640586853027,0.00055843306472525,200,-0.60893714427948
24000,0.19159981766715645,1709,2.1972146034240723,0.0007140458328649402,300,0.2475261688232422
32000,0.16529553662985563,1786,2.197211742401123,0.0008440368692390621,400,0.26626056432724
40000,-0.012276432709768414,1843,2.1971211433410645,0.00035209706402383745,500,0.29657381772994995
48000,0.039142905875633,1881,2.197176694869995,0.0007260345155373216,600,-0.45983195304870605
56000,-0.09287805054336787,1883,2.1970417499542236,0.0003989614197053015,700,-0.4186868667602539
64000,0.0071463868138380345,1903,2.1966798305511475,0.0005085155135020614,800,-0.8788312673568726
72000,-0.07050142427906395,1924,2.1830732822418213,0.0003156809543725103,900,0.20770323276519775
80000,0.028970686439424752,1939,2.1965248584747314,0.00036914614611305296,1000,0.18781298398971558
88000,0.04434797553112731,1952,2.1968226432800293,0.0007241781568154693,1100,-0.16437792778015137
96000,-0.045382250333204865,1962,2.196434736251831,0.00014661367458757013,1200,0.4740968942642212
104000,0.010486933658830822,1970,2.196897268295288,0.0003350679180584848,1300,0.04229003190994263
112000,-0.02007411492813844,1969,2.1967685222625732,0.00023722001060377806,1400,-0.8236608505249023
120000,0.19703548029065132,1976,2.193673610687256,0.00014917418593540788,1500,0.06236541271209717
128000,-0.1279667981900275,1983,2.196991443634033,0.00012151625560363755,1600,0.5324881076812744
136000,-0.1119493206962943,1991,2.1971287727355957,0.00022063884534873068,1700,-0.5669445991516113
144000,-0.01007678501191549,1994,2.197004556655884,4.5404744014376774e-05,1800,0.5166127383708954
152000,0.0053341852297307925,1999,2.197200298309326,0.0002498956164345145,1900,-0.28730833530426025
160000,0.038646626879926774,1989,2.197141170501709,9.869328641798347e-05,2000,0.15960675477981567
168000,-0.007408792118076235,1987,2.1971795558929443,8.476716902805492e-05,2100,-2.7204530239105225
176000,0.000993503664903983,1991,2.196167469024658,8.394367614528164e-05,2200,0.34318608045578003
184000,-0.003190156505388586,1995,2.1972086429595947,0.00012351713667158037,2300,-0.6099903583526611
192000,-0.011749320810486097,1998,2.197197675704956,0.00014180679863784462,2400,0.011958062648773193
200000,-0.003892122404067777,2001,2.1971840858459473,2.2219888705876656e-05,2500,-4.049211025238037
208000,-0.007056391867990897,2005,2.1972012519836426,0.0001797458971850574,2600,0.04335665702819824
216000,0.00021107612938067177,1998,2.19718599319458,5.112849248689599e-05,2700,-1.3029751777648926
224000,0.002464416463044472,2001,2.1971726417541504,6.045624104444869e-05,2800,-0.6743361949920654
232000,0.007896671793787391,2005,2.1966493129730225,7.738462591078132e-05,2900,-0.025972962379455566
240000,0.004469288138352567,2008,2.197204113006592,0.0001009682091535069,3000,0.20475518703460693
248000,0.0017604301467144979,2011,2.1971938610076904,0.00018026234465651214,3100,-1.3553526401519775
256000,-0.007449408494358068,2014,2.197178363800049,2.493963620509021e-05,3200,-0.06891739368438721
