#{"t_start": 1524077487.9279602, "env_id": "EnduroNoFrameskip-v0"}
r,l,t
0.0,3324,36.767312
0.0,3323,63.602434
0.0,3323,89.71982
0.0,3324,116.021997
0.0,3326,142.430608
0.0,3322,169.141059
0.0,3327,195.525034
0.0,3324,221.734099
0.0,3326,248.629876
0.0,3328,275.574956
0.0,3324,301.9193
0.0,3327,328.572799
0.0,3328,354.844041
0.0,3324,381.480263
0.0,3328,407.826096
0.0,3326,434.324601
0.0,3322,460.386648
0.0,3325,486.549143
0.0,3323,512.802046
0.0,3322,539.093356
0.0,3326,565.328813
0.0,3326,592.316438
0.0,3322,618.651921
0.0,3325,644.869581
0.0,3328,671.815476
0.0,3326,698.490122
0.0,3322,725.61624
0.0,3325,752.331236
0.0,3323,778.549409
0.0,3322,805.041121
0.0,3321,833.349433
0.0,3327,860.38316
0.0,3325,886.80082
0.0,3321,913.290174
0.0,3323,940.092946
0.0,3326,966.986199
0.0,3327,993.717312
0.0,3325,1020.294481
0.0,3324,1047.751387
0.0,3325,1074.58902
0.0,3323,1101.07111
0.0,3321,1127.072891
0.0,3322,1153.726229
0.0,3324,1180.027269
0.0,3327,1206.247458
0.0,3328,1232.894912
0.0,3328,1259.417162
0.0,3322,1286.473238
0.0,3326,1313.57061
0.0,3322,1339.932889
0.0,3325,1366.575321
0.0,3328,1392.855989
0.0,3322,1419.22874
0.0,3322,1446.453341
0.0,3322,1472.949108
0.0,3321,1500.012478
0.0,3323,1526.058686
0.0,3323,1552.089752
0.0,3327,1578.56356
0.0,3323,1604.973163
0.0,3322,1632.002952
0.0,3327,1658.642779
0.0,3324,1685.484598
0.0,3324,1712.435069
0.0,3322,1739.068083
0.0,3327,1765.713917
0.0,3325,1791.878193
0.0,3325,1818.26944
0.0,3328,1845.093944
0.0,3321,1872.451419
0.0,3325,1898.836881
0.0,3324,1925.130283
0.0,3324,1951.967042
0.0,3328,1978.69752
0.0,3325,2005.22907
0.0,3326,2031.554986
0.0,3323,2057.870275
0.0,3325,2084.218078
0.0,3328,2110.854795
0.0,3321,2137.351091
0.0,3326,2163.386391
0.0,3324,2190.055677
0.0,3327,2216.635545
0.0,3323,2243.399556
0.0,3325,2269.730191
0.0,3324,2296.327413
0.0,3326,2322.527443
0.0,3327,2348.911608
0.0,3322,2375.147153
0.0,3325,2401.902328
0.0,3326,2428.227543
0.0,3324,2454.869013
0.0,3323,2481.871505
0.0,3323,2508.099274
0.0,3323,2534.9737
0.0,3324,2561.312484
0.0,3322,2587.721385
0.0,3327,2614.459767
0.0,3325,2641.094627
0.0,3327,2668.217794
0.0,3328,2694.551726
0.0,3322,2721.22187
0.0,3328,2747.607067
0.0,3327,2774.474642
0.0,3326,2801.48894
0.0,3327,2827.804533
0.0,3323,2855.710613
0.0,3327,2882.447054
0.0,3325,2908.867192
0.0,3325,2935.418871
0.0,3325,2961.727195
0.0,3323,2988.09131
0.0,3326,3014.940022
0.0,3327,3042.551105
0.0,3327,3069.107904
0.0,3321,3096.481866
0.0,3325,3122.863031
0.0,3325,3149.590133
0.0,3324,3176.927231
0.0,3325,3203.880486
0.0,3327,3230.238006
0.0,3327,3256.550421
0.0,3325,3282.641029
0.0,3325,3308.90725
0.0,3326,3335.406821
0.0,3327,3361.63969
0.0,3321,3388.01295
0.0,3326,3414.009832
0.0,3321,3440.396543
0.0,3324,3467.383975
0.0,3326,3493.85551
0.0,3325,3520.130514
0.0,3323,3546.832912
0.0,3323,3572.913556
0.0,3323,3599.283064
0.0,3321,3625.268273
0.0,3321,3651.140969
0.0,3327,3678.152684
0.0,3326,3704.430055
0.0,3325,3730.965483
0.0,3322,3757.480338
0.0,3327,3784.60906
0.0,3323,3810.989046
0.0,3323,3837.162576
0.0,3322,3863.406188
0.0,3322,3890.031566
0.0,3323,3916.622651
0.0,3324,3942.855361
0.0,3322,3969.06173
0.0,3326,3995.246717
0.0,3322,4021.483121
0.0,3323,4047.932329
0.0,3328,4075.546751
0.0,3328,4101.755078
0.0,3321,4128.465883
0.0,3326,4154.637606
0.0,3322,4181.291309
0.0,3325,4207.780522
0.0,3326,4233.968016
0.0,3326,4260.269665
0.0,3325,4286.844279
0.0,3328,4313.516645
0.0,3324,4339.544199
0.0,3328,4365.848476
0.0,3324,4392.309619
0.0,3326,4418.732211
0.0,3326,4445.015216
0.0,3322,4471.617962
0.0,3325,4498.061614
0.0,3328,4524.248399
0.0,3325,4551.155531
0.0,3323,4577.786663
0.0,3328,4604.347755
0.0,3328,4630.757079
0.0,3324,4656.76165
0.0,3323,4683.711847
0.0,3326,4710.407206
0.0,3326,4736.687288
0.0,3323,4763.041868
0.0,3326,4790.352913
0.0,3323,4817.624533
0.0,3327,4845.269283
0.0,3325,4872.378133
0.0,3322,4899.122686
0.0,3327,4925.363388
0.0,3328,4952.228471
0.0,3324,4978.699899
0.0,3325,5005.892251
0.0,3328,5032.56626
0.0,3323,5059.446175
0.0,3328,5085.76491
0.0,3326,5112.47884
0.0,3323,5139.374764
0.0,3322,5165.760076
0.0,3321,5192.031731
0.0,3323,5218.643244
0.0,3321,5244.715039
0.0,3324,5270.714054
0.0,3322,5297.143236
0.0,3323,5323.919723
0.0,3326,5351.021213
0.0,3322,5377.45123
0.0,3326,5403.883869
0.0,3322,5430.97859
0.0,3322,5457.353185
0.0,3321,5483.535191
