fps,explained_variance,total_timesteps,value_loss,avg reward,policy_entropy,nupdates
49,-30.79102897644043,80,0.023157309740781784,0.4724554058164358,2.1972222328186035,1
1357,-0.4148726463317871,8000,0.000850160897243768,0.4054968487471342,2.197221279144287,100
1641,-0.6089422702789307,16000,0.0005584352184087038,0.00513485492701875,2.1971640586853027,200
1753,0.24752837419509888,24000,0.000714047288056463,0.1915991040877998,2.1972146034240723,300
1814,0.2662666440010071,32000,0.0008440304663963616,0.16529501038603484,2.197211980819702,400
1860,0.29657524824142456,40000,0.0003520910395309329,-0.01228461943101138,2.1971211433410645,500
1895,-0.4597964286804199,48000,0.0007260700804181397,0.039136869796493556,2.197176694869995,600
1888,-0.4188274145126343,56000,0.0003989826363977045,-0.09288256978616119,2.1970417499542236,700
1912,-0.8799711465835571,64000,0.0005077486275695264,0.0073438530263956634,2.1966805458068848,800
1924,-0.24167096614837646,72000,0.0006133517599664629,-0.4847392484545708,2.188568353652954,900
1924,0.2403419017791748,80000,0.0005131734069436789,-0.028650881885914713,2.1966071128845215,1000
1935,-1.4704835414886475,88000,0.0006656144978478551,-0.03768765233617159,2.196892261505127,1100
1938,-0.010522723197937012,96000,0.00018706107221078128,0.0028817815328579855,2.196432113647461,1200
1949,-0.7368476390838623,104000,0.00036352197639644146,-0.03783417627273593,2.1966609954833984,1300
1935,-0.8704177141189575,112000,0.00019434330170042813,0.02234716444509104,2.196460723876953,1400
1943,-1.2418432235717773,120000,0.0002440096577629447,-0.13527832692489028,2.1885294914245605,1500
1946,0.5067515969276428,128000,0.00018274100148119032,-0.07684884979389608,2.1969504356384277,1600
1955,-0.42577362060546875,136000,0.0003503083426039666,-0.06655455799773335,2.1969292163848877,1700
1961,-0.02820122241973877,144000,6.826997559983283e-05,0.031304711248958485,2.1968376636505127,1800
1969,-0.5245943069458008,152000,0.00037611229345202446,0.0044927354687388284,2.197018623352051,1900
1961,0.3110414147377014,160000,0.00014424807159230113,0.025436709351924946,2.196974515914917,2000
1965,-2.4528307914733887,168000,6.266522541409358e-05,-0.003903807881579269,2.1969263553619385,2100
1971,0.0872533917427063,176000,7.839565660106018e-05,0.04690218837931752,2.1959636211395264,2200
1976,-1.2797093391418457,184000,8.734409493627027e-05,0.015472070663236082,2.1970810890197754,2300
1981,-1.003929853439331,192000,0.00029036548221483827,0.01752587823430076,2.1970295906066895,2400
1981,-0.17498230934143066,200000,4.4179985707160085e-05,-0.014927755476674066,2.1971004009246826,2500
1981,-0.30697131156921387,208000,0.0002894035424105823,-0.009024167589086574,2.1970934867858887,2600
1975,-1.1954286098480225,216000,4.749971776618622e-05,-0.006092637753317831,2.19714617729187,2700
1977,-0.24273061752319336,224000,7.832816481823102e-05,-0.00640658650372643,2.197118043899536,2800
1980,0.1310531497001648,232000,7.368894875980914e-05,-0.0015358568007741269,2.196779251098633,2900
1984,-0.6240353584289551,240000,4.767749851453118e-05,-0.006937826954163029,2.1971993446350098,3000
1988,-0.10418558120727539,248000,0.0001450026175007224,-0.00291717249492649,2.19716477394104,3100
1987,-0.20705866813659668,256000,3.40247388521675e-05,0.0020381853042636066,2.197195529937744,3200
1991,-2.039170742034912,264000,0.0002270879631396383,0.016422383915050888,2.1971819400787354,3300
