learning rate,nupdates,policy_entropy,explained_variance,total_timesteps,fps,value_loss,avg reward
0.001,1,1.098589301109314,-311.0522766113281,80,41,0.04838508367538452,-0.5502645187079906
0.001,100,1.0986039638519287,-2.2347991466522217,8000,1285,0.0005040746182203293,-0.04845752272522077
0.001,200,1.0985755920410156,-0.610925555229187,16000,1552,0.00019699649419635534,-0.02796124330488965
0.001,300,1.0981134176254272,-2.3465707302093506,24000,1664,0.00035350362304598093,0.05615679975599051
0.001,400,1.0976372957229614,-1.6530120372772217,32000,1727,0.00021737106726504862,0.020478362572612242
0.001,500,1.0980634689331055,-0.3717050552368164,40000,1728,0.000262000277871266,0.12891310956329108
0.001,600,1.098388433456421,-2.014023542404175,48000,1759,0.00013496782048605382,-0.10924563119187951
0.001,700,1.098463535308838,-0.31874513626098633,56000,1782,0.00018693173478823155,0.1106244090013206
0.001,800,1.0944960117340088,-0.3684713840484619,64000,1804,0.0002930198679678142,-0.2647603265941143
0.001,900,1.0907593965530396,-0.8008432388305664,72000,1805,0.00028413531254045665,-0.19385932981967927
0.001,1000,1.0958800315856934,-0.29603612422943115,80000,1816,0.00019240693654865026,0.007193972593086073
0.001,1100,1.0976502895355225,-0.9961137771606445,88000,1829,0.00015858712140470743,-0.14645371986553074
0.001,1200,1.0978639125823975,-0.06939661502838135,96000,1837,6.958353333175182e-05,-0.034191468614153564
0.001,1300,1.0976533889770508,-0.796954870223999,104000,1831,6.983184721320868e-05,0.003652100321778562
0.001,1400,1.0983232259750366,-0.605535626411438,112000,1840,3.75618037651293e-05,-0.004856678134819959
0.001,1500,1.0984001159667969,-1.9665613174438477,120000,1845,6.472835957538337e-05,0.061432833503931764
0.001,1600,1.0976697206497192,-1.3103680610656738,128000,1851,4.667448956752196e-05,0.033273284486494956
0.001,1700,1.0982004404067993,-0.6292122602462769,136000,1841,3.78819604520686e-05,0.060146455699577925
0.001,1800,1.0978120565414429,-0.4925663471221924,144000,1848,2.6776260710903443e-05,-0.015996439321315847
0.001,1900,1.0980007648468018,-0.1728605031967163,152000,1856,2.306905298610218e-05,0.02701964124571532
0.001,2000,1.0982887744903564,-0.7344412803649902,160000,1861,4.9143487558467314e-05,-0.0020416570245288313
0.001,2100,1.098487138748169,-2.5642731189727783,168000,1855,4.419681499712169e-05,0.019367306935600938
0.001,2200,1.098412275314331,-1.2779262065887451,176000,1860,3.354140790179372e-05,0.00790193980865297
0.001,2300,1.0983779430389404,-0.23619675636291504,184000,1864,2.9434251700877212e-05,6.238493006094359e-05
0.001,2400,1.0985172986984253,-1.2388181686401367,192000,1867,2.995367322000675e-05,-0.0061198136259918105
0.001,2500,1.0983586311340332,-0.052275657653808594,200000,1856,1.9587396309361793e-05,0.002546074204656179
0.001,2600,1.0985392332077026,-0.4558030366897583,208000,1862,2.6811536372406408e-05,0.009736553546099458
0.001,2700,1.0985206365585327,0.044723689556121826,216000,1866,2.756337562459521e-05,0.023084789607673885
0.001,2800,1.098375916481018,-0.6948263645172119,224000,1870,3.233791358070448e-05,-0.004270188890222926
0.001,2900,1.0982636213302612,-0.4500432014465332,232000,1862,2.6741568944999017e-05,-0.0018625549942953511
0.001,3000,1.0983487367630005,-0.0658268928527832,240000,1864,2.1822144844918512e-05,0.008616811418323777
0.001,3100,1.0984480381011963,-1.0812749862670898,248000,1865,1.9513925508363172e-05,-0.01217828633962199
0.001,3200,1.0984320640563965,-0.8523738384246826,256000,1868,2.4468632545904256e-05,-0.02465234063565731
0.001,3300,1.098183035850525,-1.5851449966430664,264000,1860,2.1035588360973634e-05,-0.0037629695495525082
0.001,3400,1.0985338687896729,-0.2935248613357544,272000,1862,1.659710324020125e-05,0.02590747781796381
0.001,3500,1.0984561443328857,-1.1922898292541504,280000,1866,1.5919305951683782e-05,-0.02309983631130308
0.001,3600,1.0985188484191895,-0.6806591749191284,288000,1868,2.069738729915116e-05,0.00904613458988024
0.001,3700,1.098461627960205,-4.271137237548828,296000,1862,1.4716677469550632e-05,0.01107195719378069
0.001,3800,1.0985666513442993,-0.6155197620391846,304000,1865,1.664961746428162e-05,-0.001393368911885773
0.001,3900,1.0985915660858154,-0.11626529693603516,312000,1868,2.016817052208353e-05,-0.002992573090159567
0.001,4000,1.0986096858978271,-1.1992762088775635,320000,1870,2.116890755132772e-05,0.01462717576068826
0.001,4100,1.0986064672470093,-0.7530957460403442,328000,1865,1.8800306861521676e-05,0.01633964779903181
0.001,4200,1.09855055809021,-1.1370420455932617,336000,1866,1.64812954608351e-05,-0.02446905169636011
0.001,4300,1.0985534191131592,0.08277744054794312,344000,1868,1.548043655930087e-05,0.0056186191228334795
0.001,4400,1.0983521938323975,-0.9460614919662476,352000,1870,1.0397699043096509e-05,-0.0113578183518257
0.001,4500,1.0984704494476318,-0.15016353130340576,360000,1866,1.1106662896054331e-05,-0.004086841145181097
0.001,4600,1.0985571146011353,-0.3215242624282837,368000,1866,1.5920868463581428e-05,0.005930173268279759
0.001,4700,1.098562240600586,-0.3705432415008545,376000,1869,1.8404211004963145e-05,0.012409315043259993
0.001,4800,1.098523736000061,-0.7388277053833008,384000,1871,1.4207864296622574e-05,-0.005914835456655965
0.001,4900,1.098539113998413,-0.7904797792434692,392000,1873,1.0605220268189441e-05,0.0029747548745945097
0.001,5000,1.0985816717147827,-0.9214602708816528,400000,1868,1.8696446204558015e-05,0.01659548598108813
0.001,5100,1.0985195636749268,-1.5215389728546143,408000,1869,1.574921770952642e-05,-0.0003898678656696575
0.001,5200,1.0985485315322876,-0.8053598403930664,416000,1871,1.1795085811172612e-05,0.012589208188001067
0.001,5300,1.098527193069458,-1.4938225746154785,424000,1872,1.846484883571975e-05,0.006068556041464035
0.001,5400,1.0985641479492188,-0.714783787727356,432000,1867,1.4814873793511651e-05,-0.013854442007141188
0.001,5500,1.0985753536224365,-0.9483428001403809,440000,1868,1.6168189176823944e-05,-0.0063819868380960544
0.001,5600,1.098546028137207,-1.27280592918396,448000,1871,1.2106302165193483e-05,-0.0015286660913261586
0.001,5700,1.0985041856765747,-2.6713716983795166,456000,1873,8.515942681697197e-06,-0.011057463474571705
0.001,5800,1.0985530614852905,-0.8950868844985962,464000,1868,1.825089566409588e-05,0.011788560167769902
0.001,5900,1.098591685295105,-6.132630825042725,472000,1870,9.467759809922427e-06,0.008793099346803501
0.001,6000,1.0985934734344482,-0.5039125680923462,480000,1871,1.1830352377728559e-05,0.006914158307336038
0.001,6100,1.09859037399292,-1.0510611534118652,488000,1873,1.3253348697617184e-05,-0.0029023641605363084
0.001,6200,1.098581075668335,0.26774078607559204,496000,1868,1.365679781883955e-05,-0.007750740453047911
0.001,6300,1.098574161529541,-0.912199854850769,504000,1870,1.2510106898844242e-05,-0.007057398455799557
0.001,6400,1.09844172000885,0.24238073825836182,512000,1872,2.037014564848505e-05,-0.004822505322749748
0.001,6500,1.09856379032135,-0.3659634590148926,520000,1873,1.9916533346986398e-05,-0.007380179216852412
0.001,6600,1.098604679107666,-1.8656752109527588,528000,1868,2.767500154732261e-05,0.015217486501205713
0.001,6700,1.0985875129699707,-1.1553199291229248,536000,1869,7.640548574272543e-06,0.019258737459313124
0.001,6800,1.0985676050186157,-0.6549249887466431,544000,1871,1.571686334500555e-05,0.015117340977303684
0.001,6900,1.0986000299453735,-0.5402004718780518,552000,1872,1.255428924196167e-05,0.0063448727494687775
0.001,7000,1.0985801219940186,-0.6187796592712402,560000,1868,9.032819434651174e-06,-0.011960040224948898
0.001,7100,1.0985904932022095,-0.9569363594055176,568000,1869,1.3177166692912579e-05,-0.007604975064168684
0.001,7200,1.0985987186431885,-0.31062090396881104,576000,1871,1.3301018043421209e-05,-0.004373129867235548
0.001,7300,1.0985934734344482,-2.232778787612915,584000,1872,9.850911737885326e-06,-0.006362996336247306
0.001,7400,1.0985939502716064,-1.272562026977539,592000,1868,1.5336341675720178e-05,-0.00035155804507667197
0.001,7500,1.0985896587371826,-0.41569221019744873,600000,1869,1.9688415704877116e-05,-0.00656503254576819
0.001,7600,1.0986063480377197,-1.7219674587249756,608000,1870,7.289367204066366e-06,-0.006513572164112702
0.001,7700,1.098611831665039,-1.422111988067627,616000,1871,1.3055195267952513e-05,-0.008251297133392654
0.001,7800,1.0986011028289795,-0.43933820724487305,624000,1868,1.274612259294372e-05,-0.006066410608764272
