#{"t_start": 1525898174.2575111, "env_id": "FreewayNoFrameskip-v0"}
r,l,t
0.0,2048,29.366838
0.0,2046,47.263256
0.0,2047,65.49103
0.0,2043,83.613418
0.0,2044,101.643798
0.0,2046,120.092154
0.0,2048,138.257669
0.0,2042,156.095203
0.0,2042,173.987812
0.0,2047,191.816635
0.0,2044,209.659196
0.0,2046,227.584794
0.0,2041,245.338828
0.0,2043,262.888312
0.0,2046,280.563176
0.0,2043,298.377838
0.0,2044,316.097963
0.0,2042,333.97045
0.0,2045,351.939374
0.0,2047,370.076882
0.0,2041,387.680205
0.0,2045,405.72036
0.0,2042,423.23308
0.0,2045,441.597798
0.0,2047,459.762882
0.0,2042,477.547418
0.0,2048,495.316003
0.0,2043,513.241078
0.0,2048,531.322195
0.0,2042,549.280079
0.0,2043,567.091011
0.0,2042,584.798475
0.0,2048,602.623515
0.0,2047,620.432923
0.0,2046,638.399191
0.0,2041,656.479389
0.0,2045,674.720372
0.0,2042,692.430835
0.0,2042,710.11422
0.0,2048,728.228627
0.0,2042,746.200477
0.0,2043,764.034428
0.0,2044,781.959287
0.0,2041,799.8247
0.0,2042,817.92027
0.0,2042,835.889037
0.0,2045,854.074121
0.0,2044,871.86677
0.0,2046,889.913392
0.0,2042,907.987113
0.0,2041,925.601847
0.0,2048,943.496048
0.0,2044,961.238323
0.0,2042,979.103182
0.0,2047,996.87009
0.0,2044,1014.402442
0.0,2045,1032.303982
0.0,2042,1050.056606
0.0,2044,1068.021339
0.0,2046,1086.192351
0.0,2045,1104.045053
0.0,2044,1121.76002
0.0,2044,1139.679198
0.0,2046,1157.732105
0.0,2041,1175.567989
0.0,2047,1193.642534
0.0,2045,1211.830054
0.0,2047,1230.092851
0.0,2043,1248.020258
0.0,2047,1265.951015
0.0,2043,1284.113902
0.0,2045,1301.962685
0.0,2047,1320.044411
0.0,2046,1337.926869
0.0,2044,1356.112801
0.0,2045,1374.128405
0.0,2048,1392.053981
0.0,2045,1409.783442
0.0,2043,1427.828432
0.0,2042,1445.469058
0.0,2042,1463.098204
0.0,2041,1481.177735
0.0,2045,1499.094107
0.0,2047,1517.213539
0.0,2042,1535.035542
0.0,2042,1552.95148
0.0,2047,1571.082277
0.0,2043,1588.971043
0.0,2044,1606.695821
0.0,2043,1624.596937
0.0,2042,1642.39979
0.0,2047,1660.736991
0.0,2044,1678.575528
0.0,2043,1696.411329
0.0,2047,1714.26811
0.0,2048,1732.326768
0.0,2047,1750.273303
0.0,2046,1768.219049
0.0,2047,1786.156394
0.0,2042,1804.086701
0.0,2043,1822.013504
0.0,2047,1839.744123
0.0,2044,1857.458235
0.0,2045,1875.457881
0.0,2045,1893.547905
0.0,2046,1911.45077
0.0,2043,1929.331557
0.0,2045,1947.099535
0.0,2046,1965.090386
0.0,2044,1983.156802
0.0,2047,2001.283309
0.0,2042,2019.318588
0.0,2045,2037.096691
0.0,2042,2055.000186
0.0,2047,2072.85985
0.0,2047,2090.750125
0.0,2046,2108.807363
0.0,2047,2126.50079
0.0,2043,2144.387039
0.0,2043,2162.366249
0.0,2045,2180.484018
0.0,2042,2198.337817
0.0,2046,2216.101107
0.0,2047,2234.007021
0.0,2042,2251.906677
0.0,2041,2269.628403
0.0,2047,2287.508346
0.0,2047,2305.38425
0.0,2047,2323.333462
0.0,2041,2341.366977
0.0,2045,2359.402023
0.0,2045,2377.664328
0.0,2043,2395.632048
0.0,2046,2413.850053
0.0,2041,2431.692821
0.0,2044,2449.776333
0.0,2041,2467.754424
0.0,2046,2485.659991
0.0,2043,2503.683958
0.0,2046,2521.397666
0.0,2042,2539.186385
0.0,2042,2557.064029
0.0,2043,2574.915859
0.0,2047,2592.73271
0.0,2043,2610.593415
0.0,2042,2628.350668
0.0,2047,2646.301908
0.0,2047,2664.201082
0.0,2048,2681.953017
0.0,2043,2699.954494
0.0,2043,2718.460294
0.0,2047,2736.308071
0.0,2041,2753.792861
0.0,2046,2771.788035
0.0,2042,2789.471487
0.0,2041,2807.093419
0.0,2047,2825.247078
0.0,2046,2843.332161
0.0,2044,2861.331268
0.0,2041,2879.051811
0.0,2046,2897.114818
0.0,2045,2915.041632
0.0,2044,2932.539081
0.0,2046,2950.600771
0.0,2044,2968.682624
0.0,2043,2986.494825
0.0,2047,3004.234751
0.0,2044,3022.572288
0.0,2042,3040.504292
0.0,2044,3058.428841
0.0,2048,3076.437784
0.0,2042,3094.452778
0.0,2047,3112.296499
