nupdates,fps,explained_variance,policy_entropy,total_timesteps,value_loss,avg reward,learning rate
1,61,-326.6136474609375,1.098589301109314,80,0.04845195263624191,-0.5504368126392365,0.001
100,1403,-0.6546626091003418,1.0986049175262451,8000,0.000541102490387857,-0.02514463364641415,0.001
200,1629,-0.8739440441131592,1.098503589630127,16000,0.00015372541383840144,-0.012326698050583219,0.001
300,1731,-2.923473358154297,1.0978330373764038,24000,0.00035553675843402743,0.054532015975564715,0.001
400,1767,-1.2442989349365234,1.0980007648468018,32000,0.00023011351004242897,0.02972285238211043,0.001
500,1750,-0.12686848640441895,1.0979002714157104,40000,0.00033399072708562016,0.14831622513011097,0.001
600,1766,-3.7166218757629395,1.0965522527694702,48000,0.00013958057388663292,-0.10462220711633563,0.001
700,1783,-0.8597506284713745,1.0970538854599,56000,0.00023313960991799831,0.11069822739809751,0.001
800,1795,-0.46184563636779785,1.0982770919799805,64000,0.0003030132211279124,-0.13285936685279012,0.001
900,1782,-0.9008251428604126,1.0980287790298462,72000,0.0002446779399178922,-0.06057517901062966,0.001
1000,1790,-0.4172511100769043,1.096634864807129,80000,0.00013919106277171522,0.043694075266830626,0.001
1100,1794,-1.2531816959381104,1.0980479717254639,88000,0.00032303688931278884,-0.23818479143083096,0.001
1200,1801,-0.6228172779083252,1.0985605716705322,96000,6.515383574878797e-05,0.019431007755338216,0.001
1300,1787,-0.5215932130813599,1.0980503559112549,104000,9.198811312671751e-05,0.04391295479144901,0.001
1400,1790,-0.5961852073669434,1.0985150337219238,112000,6.111663969932124e-05,0.05079792165197432,0.001
1500,1796,-0.929169774055481,1.0985733270645142,120000,6.92020621499978e-05,0.15378425773233176,0.001
1600,1801,-0.5862076282501221,1.0984281301498413,128000,4.961185186402872e-05,0.11743588596582413,0.001
1700,1792,-0.9343082904815674,1.098440408706665,136000,4.4373937271302566e-05,0.027049197431188075,0.001
1800,1794,-0.4239058494567871,1.0981168746948242,144000,4.8845471610547975e-05,-0.021998349286150187,0.001
1900,1799,-0.9244487285614014,1.0984108448028564,152000,5.350870924303308e-05,-0.0015841519343666732,0.001
2000,1803,-0.7524974346160889,1.0985795259475708,160000,5.692681224900298e-05,0.0069813976471778,0.001
2100,1792,-1.5688855648040771,1.0984262228012085,168000,2.8766857212758623e-05,0.036426986660808326,0.001
2200,1795,-0.5102763175964355,1.0985019207000732,176000,2.7886067982763052e-05,0.02886174531886354,0.001
2300,1798,-0.8902108669281006,1.0985569953918457,184000,3.636767723946832e-05,0.031691115838475524,0.001
2400,1799,-0.6465831995010376,1.0986073017120361,192000,3.140439366688952e-05,-0.017805666557978838,0.001
2500,1789,-0.8400413990020752,1.098596453666687,200000,2.4296106857946143e-05,-0.023918697645422073,0.001
2600,1792,-0.5657424926757812,1.0986117124557495,208000,2.9284992706379853e-05,-0.027457037870772184,0.001
2700,1794,-1.1154839992523193,1.0986011028289795,216000,1.861987402662635e-05,-0.006332120805643627,0.001
2800,1799,-1.4659373760223389,1.098605751991272,224000,3.799578917096369e-05,-0.0018084320941852638,0.001
2900,1791,-1.4552345275878906,1.0986028909683228,232000,3.6157183785689995e-05,0.011774575259187259,0.001
3000,1795,-1.2785043716430664,1.0984861850738525,240000,2.2431238903664052e-05,0.0047678133014414925,0.001
3100,1797,-0.5421719551086426,1.0985996723175049,248000,1.8050730432150885e-05,0.011520454302080907,0.001
3200,1801,-0.37000608444213867,1.098558783531189,256000,2.581141234259121e-05,-0.013170083324075677,0.001
3300,1795,-1.8499653339385986,1.098548412322998,264000,2.7565905838855542e-05,-0.0276600509416312,0.001
3400,1798,-0.5337755680084229,1.098564863204956,272000,1.8610628103488125e-05,0.01827812733827159,0.001
3500,1801,-0.8508496284484863,1.0986086130142212,280000,6.66350097162649e-05,-0.004189588716326398,0.001
3600,1804,-0.9051544666290283,1.0986077785491943,288000,2.972399306599982e-05,0.008020080252026673,0.001
3700,1799,-0.3299781084060669,1.0986096858978271,296000,3.855163959087804e-05,-0.0033728386672009945,0.001
3800,1801,-1.8241403102874756,1.0986049175262451,304000,1.2455787327780854e-05,-0.013087160617578775,0.001
3900,1803,-1.2915318012237549,1.0985653400421143,312000,1.2591381164384075e-05,-0.0028101121959480226,0.001
4000,1807,-1.2461724281311035,1.0986016988754272,320000,1.9654577045002952e-05,-0.013651078811381012,0.001
