#{"t_start": 1525900949.2006636, "env_id": "FreewayNoFrameskip-v0"}
r,l,t
0.0,2044,28.519937
23.0,2042,44.758214
0.0,2046,61.15714
20.0,2044,77.188635
22.0,2044,94.877098
0.0,2046,120.559789
22.0,2042,146.224539
21.0,2044,171.847397
0.0,2043,197.276953
0.0,2045,222.933556
0.0,2046,248.645538
0.0,2044,273.85787
0.0,2041,298.936896
22.0,2041,324.709693
20.0,2044,350.175994
0.0,2045,375.36561
0.0,2048,400.774538
21.0,2046,426.274728
0.0,2042,451.974181
0.0,2043,477.521381
5.0,2047,502.847761
25.0,2048,528.337522
13.0,2048,553.678857
0.0,2046,578.512702
0.0,2046,602.776486
23.0,2045,628.412222
0.0,2046,654.063554
16.0,2046,679.582304
0.0,2047,704.986752
0.0,2047,730.768049
0.0,2044,756.117192
13.0,2042,781.46472
9.0,2043,806.299318
0.0,2042,831.92128
22.0,2045,857.413967
24.0,2046,883.047429
0.0,2045,908.624329
6.0,2047,933.966001
14.0,2042,959.433243
14.0,2044,984.828154
0.0,2041,1010.142262
1.0,2042,1035.581918
1.0,2043,1061.013736
0.0,2042,1086.760221
0.0,2044,1112.415401
0.0,2048,1137.606103
0.0,2046,1163.057395
0.0,2044,1188.246512
0.0,2047,1213.357335
0.0,2043,1238.378801
0.0,2045,1263.664877
0.0,2044,1289.093317
0.0,2044,1314.186946
21.0,2041,1339.607203
12.0,2047,1364.705097
0.0,2042,1389.705765
21.0,2048,1414.896284
0.0,2043,1439.565936
22.0,2043,1464.701413
20.0,2044,1489.768492
13.0,2048,1514.844376
13.0,2046,1540.482467
0.0,2044,1565.639804
17.0,2046,1590.898172
10.0,2046,1616.411311
0.0,2047,1641.834956
9.0,2047,1667.245631
23.0,2047,1692.761734
0.0,2047,1718.405018
23.0,2044,1743.680425
0.0,2041,1769.115246
23.0,2042,1794.067689
8.0,2044,1819.280354
7.0,2041,1844.663718
0.0,2046,1869.835072
1.0,2047,1895.406577
0.0,2044,1920.715744
0.0,2045,1946.136278
18.0,2043,1971.79039
0.0,2041,1997.219133
0.0,2044,2022.609673
0.0,2047,2048.097205
