fps,explained_variance,nupdates,value_loss,total_timesteps,policy_entropy,learning rate,epsilonValue,avg reward,policy_loss
31,-380.51300048828125,1,0.04860493168234825,80,1.098589301109314,0.001,99.9854546512389,-0.5512978911399842,-0.25315454602241516
1172,-1.0405550003051758,100,0.0005705746589228511,8000,1.0985909700393677,0.001,98.54546512388964,-0.04830090030191059,-0.0236669834703207
1463,-0.5705157518386841,200,0.00019095912284683436,16000,1.0984578132629395,0.001,97.09093024777928,-0.040676390621229075,0.009424291551113129
1583,-0.7265912294387817,300,0.0003293624322395772,24000,1.0984327793121338,0.001,95.63639537166893,0.054182698880322275,-0.014663259498775005
1659,-1.1052742004394531,400,0.00017809102428145707,32000,1.0984176397323608,0.001,94.18186049555857,0.03662367621436715,0.010410428047180176
1672,-0.22278976440429688,500,0.00030350196175277233,40000,1.0977740287780762,0.001,92.72732561944821,0.1294238272123039,0.002217346103861928
1696,-1.248464822769165,600,0.00018432640354149044,48000,1.0968067646026611,0.001,91.27279074333785,-0.11741725010797381,0.009229840710759163
1725,-0.6440601348876953,700,0.00024813093477860093,56000,1.0957024097442627,0.001,89.81825586722749,0.0911477048881352,-0.0042215995490550995
1749,-0.13132727146148682,800,0.0002567865885794163,64000,1.093567132949829,0.001,88.36372099111713,-0.173715465888381,0.01163550280034542
1744,-1.390258550643921,900,0.0002395019109826535,72000,1.0968647003173828,0.001,86.90918611500678,-0.07160058887675405,0.0053498027846217155
1759,-0.06497526168823242,1000,0.00016798917204141617,80000,1.0956315994262695,0.001,85.45465123889642,-0.045371144340606406,0.005535565782338381
1772,-1.8629429340362549,1100,0.00016816056449897587,88000,1.097062349319458,0.001,84.00011636278606,-0.06599566899240017,0.008205901831388474
1785,0.07534760236740112,1200,5.342794975149445e-05,96000,1.0976200103759766,0.001,82.5455814866757,-0.006741105595574481,-4.997266296413727e-05
1778,-1.1440017223358154,1300,9.89491818472743e-05,104000,1.0980761051177979,0.001,81.09104661056534,0.07152329813688993,-0.0045521748252213
1790,-0.7603346109390259,1400,5.022924597142264e-05,112000,1.0976067781448364,0.001,79.63651173445498,-0.018653840682236477,-0.0004609730967786163
1800,-2.5071122646331787,1500,8.528865873813629e-05,120000,1.097292184829712,0.001,78.18197685834463,0.044361695740371944,-0.0010438674362376332
1810,-0.41486263275146484,1600,6.139996548881754e-05,128000,1.0984346866607666,0.001,76.72744198223427,0.09255137499421835,-0.0038228847552090883
1803,-0.5191341638565063,1700,5.8635370805859566e-05,136000,1.0983434915542603,0.001,75.27290710612391,0.059763230057433246,-0.0008076252415776253
1811,-0.6494643688201904,1800,3.377380926394835e-05,144000,1.0985020399093628,0.001,73.81837223001355,0.002083079512885888,0.0011045176070183516
1813,-0.11880826950073242,1900,2.580325599410571e-05,152000,1.0983753204345703,0.001,72.3638373539032,0.0071167155125294815,0.0025235775392502546
1820,-0.037276625633239746,2000,4.6713394112885e-05,160000,1.0983834266662598,0.001,70.90930247779283,-0.015545533580734627,0.0025156554765999317
1814,-0.9799087047576904,2100,2.9159014957258478e-05,168000,1.0983617305755615,0.001,69.45476760168248,0.03296133899129927,1.547425017633941e-05
1821,-0.814200758934021,2200,2.5483994249952957e-05,176000,1.098389983177185,0.001,68.00023272557212,-0.0011606229440985771,0.002659860532730818
1825,-0.9297693967819214,2300,2.7891390345757827e-05,184000,1.0984432697296143,0.001,66.54569784946176,0.0042892816173207395,-0.0022946458775550127
1825,-0.27609288692474365,2400,3.174115772708319e-05,192000,1.0985381603240967,0.001,65.0911629733514,0.0030035190717171644,0.001772106857970357
1816,-0.3586766719818115,2500,1.6340918591595255e-05,200000,1.0984084606170654,0.001,63.63662809724122,-0.007681191326491898,-0.0012203191872686148
1821,-0.9230417013168335,2600,2.7808331651613116e-05,208000,1.0982476472854614,0.001,62.182093221131574,0.0033763830213501935,-0.0007419297471642494
1826,0.1742420792579651,2700,2.803719871735666e-05,216000,1.0984723567962646,0.001,60.727558345021926,0.013899180250882636,-0.001370359561406076
1830,-1.7183520793914795,2800,3.071275568800047e-05,224000,1.0984563827514648,0.001,59.27302346891228,-0.00046641090921184514,-0.0008482751436531544
1823,-0.889890193939209,2900,1.9352817616891116e-05,232000,1.0983649492263794,0.001,57.81848859280263,-0.0019246248797117004,-0.0005707523669116199
1824,-0.28733062744140625,3000,1.9024679204449058e-05,240000,1.0983753204345703,0.001,56.36395371669298,4.148487932980061e-05,-0.0007574527407996356
1825,-0.48781144618988037,3100,2.4634024157421663e-05,248000,1.0983868837356567,0.001,54.909418840583335,-0.008344036208291073,-0.00036303847446106374
1825,-0.749849796295166,3200,1.8353650375502184e-05,256000,1.0984885692596436,0.001,53.45488396447369,0.003955685130131314,0.0012015628162771463
1819,-1.0257129669189453,3300,2.6524518034420907e-05,264000,1.098387360572815,0.001,52.00034908836404,-0.015189871250186116,0.001122089335694909
1822,-1.6683011054992676,3400,2.5371715310029685e-05,272000,1.098360300064087,0.001,50.54581421225439,0.016419954842422157,0.0019124250393360853
1825,-1.1859862804412842,3500,1.9738945411518216e-05,280000,1.0983480215072632,0.001,49.091279336144744,-0.010488775226986036,0.001403283909894526
1825,-1.3612895011901855,3600,3.0566443456336856e-05,288000,1.098541021347046,0.001,47.636744460035096,-0.0012136620869569014,0.0019845289643853903
1821,-1.380380392074585,3700,1.5017663827165961e-05,296000,1.0984100103378296,0.001,46.18220958392545,-0.0009007442837173585,0.0017979228869080544
1822,-0.2090378999710083,3800,1.2231181244715117e-05,304000,1.098330020904541,0.001,44.7276747078158,-0.014637935196515173,-0.00022475406876765192
1825,-0.4249330759048462,3900,1.3373671208682936e-05,312000,1.0983526706695557,0.001,43.27313983170615,0.0019313044314912986,-0.000481356808450073
1828,-2.144273042678833,4000,9.673962267697789e-06,320000,1.098426103591919,0.001,41.818604955596506,0.00016545349863008595,-0.0010696600656956434
1824,-1.4222872257232666,4100,1.60404324560659e-05,328000,1.098587989807129,0.001,40.36407007948686,0.01584587008692324,-5.0705111789284274e-05
1824,-1.7826225757598877,4200,7.647293386980891e-06,336000,1.0985721349716187,0.001,38.90953520337721,-0.011676622874801978,0.00164801103528589
1826,-0.2706037759780884,4300,1.4702798580401577e-05,344000,1.0984841585159302,0.001,37.45500032726756,0.004250926343956962,0.0021485660690814257
1829,-1.9686336517333984,4400,1.0753442438726779e-05,352000,1.0985190868377686,0.001,36.000465451157915,-0.005136617182506598,0.0013421314070001245
1826,-0.6678400039672852,4500,1.6359770597773604e-05,360000,1.0984184741973877,0.001,34.54593057504827,0.0004476387679460458,0.0020546731539070606
1827,-1.2653956413269043,4600,1.2567028534249403e-05,368000,1.0984379053115845,0.001,33.09139569893862,0.009505831869319081,0.0012008940102532506
1830,-0.2752418518066406,4700,1.503861858509481e-05,376000,1.09847092628479,0.001,31.636860822828883,0.013113313273061067,-0.002284387359395623
1833,-0.5076451301574707,4800,1.1528980394359678e-05,384000,1.0985790491104126,0.001,30.18232594671888,-0.003105003853670496,-0.0006570174591615796
1836,-1.198441743850708,4900,1.0717865734477527e-05,392000,1.098577857017517,0.001,28.727791070608877,-0.004391308961930918,0.00013007258530706167
1831,-1.988957405090332,5000,1.1604844985413365e-05,400000,1.0985679626464844,0.001,27.273256194498874,0.008696904045064003,-0.0003108640667051077
1830,-0.4583076238632202,5100,1.0384514098404907e-05,408000,1.0985581874847412,0.001,25.81872131838887,0.007622206122323405,-0.0012284477706998587
1832,-1.0335118770599365,5200,1.059272290149238e-05,416000,1.0985548496246338,0.001,24.364186442278868,0.014063381566666066,-0.00039486726745963097
1834,-0.5730785131454468,5300,1.0025081792264245e-05,424000,1.0985286235809326,0.001,22.909651566168865,0.00694848333984055,-0.0013969020219519734
1831,-0.8394584655761719,5400,1.6981161024887115e-05,432000,1.0985572338104248,0.001,21.455116690058862,-0.010772127197560622,0.0020236140117049217
1833,-0.23469650745391846,5500,1.5892273950157687e-05,440000,1.0985743999481201,0.001,20.00058181394886,-0.00973552867608305,0.0008552165818400681
1834,-0.7238601446151733,5600,1.5621799320797436e-05,448000,1.098586082458496,0.001,18.546046937838856,0.00024220741033786908,-0.0012029442004859447
1837,-0.3772953748703003,5700,1.0606211617414374e-05,456000,1.0985262393951416,0.001,17.091512061728853,0.0002697966203413671,-0.00082131486851722
1833,-1.214355707168579,5800,1.3235729056759737e-05,464000,1.0985475778579712,0.001,15.63697718561885,0.009066004838678055,0.000532085367012769
1835,-1.1154372692108154,5900,8.08349886938231e-06,472000,1.0985772609710693,0.001,14.182442309508847,0.00030788099793426226,4.381560574984178e-05
1837,-0.22369420528411865,6000,1.3375973139773123e-05,480000,1.0985034704208374,0.001,12.727907433398844,0.021760265191551297,-0.0022816373966634274
1839,-0.3070979118347168,6100,1.0985590051859617e-05,488000,1.098488450050354,0.001,11.273372557288841,0.008008781480020844,-0.001385111128911376
1835,0.04639250040054321,6200,1.196586981677683e-05,496000,1.0985658168792725,0.001,9.818837681178838,0.0012533764242107282,-0.00048648874508216977
1837,-1.0598621368408203,6300,1.546950443298556e-05,504000,1.0985839366912842,0.001,8.364302805068835,-0.0019166132417012705,-0.0014349052216857672
1839,-0.26943957805633545,6400,1.600802715984173e-05,512000,1.098573923110962,0.001,6.909767928958832,-0.012455614056671038,0.00117607566062361
1841,-1.2759993076324463,6500,1.3112372471368872e-05,520000,1.0985561609268188,0.001,5.455233052848829,-0.006836969559662976,-0.0011321696219965816
1838,-0.8659584522247314,6600,8.543494914192706e-06,528000,1.098592758178711,0.001,4.000698176738826,0.014496018539648502,-0.0014034002088010311
1839,-0.3082081079483032,6700,7.363719305431005e-06,536000,1.0985568761825562,0.001,2.546163300628823,0.006317507373751141,-0.0003247285494580865
1840,-0.5956518650054932,6800,1.0312223821529187e-05,544000,1.0985474586486816,0.001,1.0916284245188201,0.014038671972230077,-0.001987648895010352
1842,-0.07617759704589844,6900,8.854100087773986e-06,552000,1.0985510349273682,0.001,0.0007272674363255627,0.004189794190278917,0.0011119372211396694
1839,-0.5300251245498657,7000,1.3469565601553768e-05,560000,1.0985219478607178,0.001,0.0007272674363255627,-0.013913795561529696,0.00188245321623981
1840,-1.3959755897521973,7100,1.0496439244889189e-05,568000,1.098539113998413,0.001,0.0007272674363255627,-0.006321929823752725,-0.0006389043992385268
1841,-0.07860541343688965,7200,8.517417882103473e-06,576000,1.0985629558563232,0.001,0.0007272674363255627,-0.0060992065598838964,-0.0002560481079854071
1843,-0.9071512222290039,7300,8.574918865633663e-06,584000,1.0985397100448608,0.001,0.0007272674363255627,-0.005721812360570766,-0.0013377044815570116
1839,0.01957082748413086,7400,1.1634658221737482e-05,592000,1.0985387563705444,0.001,0.0007272674363255627,-0.003464367488777498,-0.002490616636350751
1841,-1.1431188583374023,7500,1.3284714441397227e-05,600000,1.0984811782836914,0.001,0.0007272674363255627,-0.004920596030933666,0.002751701045781374
