#{"t_start": 1525897861.0851407, "env_id": "MontezumaRevengeNoFrameskip-v0"}
r,l,t
0.0,593,24.07469
0.0,382,27.596564
0.0,451,31.254998
0.0,549,36.118363
0.0,500,40.355309
0.0,630,46.024899
0.0,409,49.724103
0.0,305,52.409433
0.0,218,54.258968
0.0,398,57.896427
0.0,298,60.510014
0.0,644,66.288704
0.0,279,68.751648
0.0,481,73.315161
0.0,645,79.243076
0.0,392,82.743343
0.0,846,90.383778
0.0,587,96.170133
0.0,394,99.682504
0.0,544,104.343938
0.0,472,108.575136
0.0,240,110.738758
0.0,539,115.393056
0.0,320,118.253284
0.0,496,123.056337
0.0,935,131.319944
0.0,314,134.225963
0.0,545,138.915682
0.0,494,143.549076
0.0,836,150.749688
0.0,506,155.482631
0.0,708,161.659177
0.0,711,168.602277
0.0,601,173.823905
0.0,396,177.492104
0.0,694,183.984489
0.0,413,188.210941
0.0,495,192.847795
0.0,348,195.981485
0.0,494,200.472791
0.0,618,206.159826
0.0,611,211.568858
0.0,1194,222.403725
0.0,315,225.075848
0.0,419,229.071736
0.0,363,232.306414
0.0,637,238.477695
0.0,192,240.252383
0.0,756,247.426377
0.0,654,253.36716
0.0,546,258.149619
0.0,682,264.14279
0.0,560,269.233274
0.0,1046,278.841608
0.0,466,282.844011
0.0,679,289.393617
0.0,801,296.466357
0.0,943,304.810145
0.0,645,310.962245
0.0,320,313.824937
0.0,271,316.127715
0.0,339,319.079385
0.0,601,324.644729
0.0,358,327.649443
0.0,951,335.972072
0.0,304,338.541257
0.0,475,342.755936
0.0,445,346.48855
0.0,246,348.563735
0.0,694,354.493467
0.0,370,357.75347
0.0,281,359.964981
0.0,371,363.462259
0.0,449,367.507519
0.0,580,372.693662
0.0,487,377.159775
0.0,466,381.335264
0.0,642,387.079483
0.0,512,391.47574
0.0,305,394.002182
0.0,707,400.341337
0.0,604,405.724154
0.0,660,411.406183
0.0,1019,421.325243
0.0,333,424.310927
0.0,427,427.894032
0.0,728,434.401001
0.0,296,437.280084
0.0,440,441.407645
0.0,724,448.220115
0.0,352,451.680742
0.0,356,454.778383
0.0,610,460.30886
0.0,391,464.026855
0.0,371,467.916458
0.0,364,471.530011
0.0,278,473.98999
0.0,600,479.889726
0.0,1953,497.726904
0.0,201,499.280655
0.0,299,501.699425
0.0,530,506.472138
0.0,364,509.655704
0.0,652,515.350728
0.0,779,522.260508
0.0,321,525.071879
0.0,261,527.657546
0.0,494,532.364759
0.0,453,536.486169
0.0,734,542.848572
0.0,487,547.18976
0.0,604,552.442233
0.0,321,555.153634
0.0,520,559.622764
0.0,1095,568.977202
0.0,626,575.094927
0.0,678,581.236731
0.0,1328,593.279791
0.0,588,598.386435
0.0,503,603.113054
0.0,731,609.82756
0.0,819,617.171408
0.0,484,621.123438
0.0,688,627.485922
0.0,496,631.82955
0.0,1023,641.038627
0.0,1133,651.270911
0.0,972,659.587595
0.0,323,662.543511
0.0,458,666.850159
0.0,334,669.913839
0.0,493,674.389183
0.0,722,681.062062
0.0,536,685.761177
0.0,673,691.921448
0.0,307,694.752288
0.0,317,697.851604
0.0,1814,714.098197
0.0,512,718.525814
0.0,474,722.550449
0.0,723,728.927586
0.0,307,731.549396
0.0,921,739.757906
0.0,415,743.398201
0.0,326,746.360627
0.0,900,754.811797
0.0,260,757.26296
0.0,194,759.047346
0.0,548,764.233911
0.0,733,770.760514
