#{"t_start": 1525900891.4780447, "env_id": "MontezumaRevengeNoFrameskip-v0"}
r,l,t
0.0,99995,1142.773584
0.0,99997,2319.173465
0.0,100000,3678.880826
0.0,99993,5044.719232
0.0,99993,6414.565356
0.0,99997,7779.080639
0.0,99996,8954.30395
0.0,99995,10316.087483
0.0,99998,11488.39463
0.0,99995,12665.18091
0.0,100000,13839.120227
0.0,99997,15208.323445
0.0,99996,16387.112183
0.0,166,16388.840004
0.0,99999,17565.313327
0.0,100000,18739.989005
0.0,99998,20102.30904
0.0,99999,21267.775284
0.0,201,21269.976673
0.0,99994,22626.493536
0.0,99996,23980.452831
0.0,99993,25144.610477
0.0,99995,26319.06226
0.0,99995,27687.343118
0.0,99999,28860.262786
0.0,99995,30219.78812
0.0,99997,31388.090304
0.0,99997,32743.981494
0.0,99999,34103.904099
0.0,99995,35273.479985
0.0,216,35275.932586
0.0,99998,36444.084889
0.0,99996,37617.854302
0.0,448,37622.939439
0.0,99995,38992.272499
0.0,99994,40168.166262
0.0,99994,41342.293476
0.0,99998,42517.457054
0.0,100000,43889.660905
0.0,100000,45062.0516
0.0,99995,46235.216253
0.0,201,46237.454928
0.0,1106,46250.316311
0.0,99997,47424.534478
0.0,196,47426.627557
0.0,99993,48599.409543
0.0,99998,49773.69032
0.0,99995,50943.569951
0.0,99997,52113.18942
0.0,99996,53282.996442
0.0,100000,54650.325506
0.0,169,54652.153858
0.0,99997,55833.736792
0.0,190,55835.755114
0.0,99994,57009.584586
0.0,198,57011.786005
0.0,99995,58186.015875
0.0,99997,59356.176552
0.0,99996,60529.740605
0.0,100000,61698.24503
0.0,170,61700.119828
0.0,99994,62876.603125
0.0,99999,64050.27885
0.0,269,64053.219791
0.0,99996,65226.363304
0.0,100000,66398.675177
0.0,196,66400.840732
0.0,197,66403.056643
0.0,99993,67762.023947
0.0,99999,68935.72899
0.0,99997,70110.483391
0.0,99995,71288.217599
0.0,99993,72661.292208
0.0,1151,72674.530469
0.0,536,72680.620718
0.0,99995,73849.20458
0.0,99993,75020.439624
0.0,99998,76191.30899
0.0,1885,76213.212955
0.0,99993,77388.245457
0.0,2157,77412.903136
0.0,153,77414.572665
0.0,99993,78590.221303
0.0,99993,79956.92997
0.0,99999,81130.540039
0.0,100000,82305.638827
0.0,664,82313.277402
0.0,99999,83490.706011
0.0,99998,84665.388697
0.0,3422,84705.631876
0.0,99995,85881.715173
0.0,99999,87058.652047
0.0,11222,87190.052721
0.0,99996,88358.341353
0.0,99999,89533.59873
0.0,100000,90706.700103
0.0,99997,91883.658208
0.0,99993,93057.839335
0.0,240,93060.624279
0.0,99997,94237.391798
0.0,99995,95414.165912
0.0,99999,96777.470027
0.0,99993,97952.455305
0.0,99995,99124.226309
0.0,537,99130.326687
0.0,99994,100303.661741
0.0,99995,101474.114928
0.0,99999,102646.23988
0.0,265,102649.215749
0.0,99995,103822.641559
0.0,529,103828.727211
0.0,99995,105001.645845
0.0,100000,106171.813599
0.0,739,106180.216081
0.0,292,106183.528817
0.0,99997,107356.098344
0.0,209,107358.430348
0.0,99993,108532.874284
0.0,99996,109706.584622
0.0,287,109709.82622
0.0,99995,110882.179443
0.0,208,110884.487881
0.0,99996,112060.056377
0.0,252,112062.842375
0.0,99999,113241.681911
0.0,99997,114414.961117
0.0,389,114419.519088
0.0,100000,115592.308923
0.0,430,115597.112741
0.0,99998,116773.173602
0.0,199,116775.261962
0.0,665,116782.675201
0.0,846,116792.320611
0.0,99999,117965.956808
0.0,99995,119135.111325
0.0,857,119144.813433
0.0,99998,120319.818784
