#{"t_start": 1524185397.729721, "env_id": "MsPacmanNoFrameskip-v0"}
r,l,t
250.0,468,7.950037
250.0,527,12.110295
240.0,559,16.550096
230.0,442,20.11906
220.0,431,23.615121
250.0,443,27.077442
200.0,525,31.368761
600.0,706,36.924795
310.0,699,42.417059
230.0,455,45.971248
190.0,391,49.178145
410.0,953,56.453312
240.0,743,62.376495
630.0,730,68.118266
490.0,578,72.577663
680.0,624,77.527581
260.0,482,81.409167
480.0,402,84.659169
670.0,666,89.950425
570.0,880,96.834713
1140.0,670,102.64358
520.0,574,107.045891
340.0,692,112.629796
980.0,770,118.783348
270.0,558,123.142851
340.0,574,127.744331
410.0,667,133.045718
900.0,669,138.420726
430.0,709,143.954907
1070.0,642,148.800131
240.0,469,152.438362
600.0,541,156.726423
390.0,876,163.774967
1040.0,718,169.514692
570.0,711,175.018458
250.0,532,179.066279
570.0,534,183.128597
580.0,666,188.264311
340.0,574,192.768021
410.0,658,197.933908
160.0,391,200.966448
360.0,499,205.00335
640.0,825,211.386526
380.0,557,215.825292
350.0,457,219.396699
550.0,612,224.168366
380.0,773,230.611117
530.0,672,235.755656
600.0,542,240.146821
1070.0,844,246.769775
1450.0,767,252.978231
530.0,563,257.537292
550.0,452,260.963469
560.0,617,265.720378
310.0,432,269.070807
1720.0,620,273.95884
610.0,694,279.446275
1160.0,731,285.077211
760.0,652,290.011387
210.0,330,292.565192
450.0,689,297.891352
200.0,369,301.02942
270.0,356,303.812404
260.0,513,307.725935
190.0,379,310.720205
260.0,468,314.354887
370.0,586,319.463319
550.0,593,324.127478
320.0,485,328.177736
540.0,772,334.205808
480.0,586,338.730117
830.0,873,345.542789
670.0,604,350.238171
320.0,580,354.810209
710.0,664,359.976097
1630.0,1008,368.127183
950.0,796,374.137848
250.0,424,377.766472
400.0,442,381.28278
820.0,566,386.011448
660.0,476,389.639332
680.0,531,393.98074
700.0,670,399.332445
670.0,619,404.223878
210.0,281,406.380398
920.0,694,411.731003
240.0,359,414.586464
280.0,453,418.028145
570.0,520,422.020856
1000.0,567,426.398644
390.0,508,430.423982
470.0,446,433.857116
430.0,421,437.152242
500.0,655,442.457993
560.0,711,448.675072
830.0,766,454.662945
410.0,502,458.62071
780.0,572,463.074168
1960.0,586,467.599093
810.0,769,473.791439
700.0,721,479.407734
630.0,718,485.364087
670.0,455,488.971728
470.0,467,492.705331
940.0,625,497.587531
1310.0,589,502.018218
500.0,469,505.577081
240.0,452,508.983785
230.0,310,511.37269
320.0,396,514.445506
1260.0,745,520.17206
790.0,692,525.612191
760.0,556,530.312241
1560.0,838,536.942626
430.0,590,541.695794
390.0,525,545.900003
530.0,471,549.646828
380.0,428,552.964263
2160.0,749,558.871211
940.0,744,564.685236
630.0,559,569.315872
390.0,379,572.437393
500.0,473,576.067811
1020.0,630,580.880675
570.0,669,586.045443
630.0,644,591.034386
980.0,587,595.660222
510.0,592,600.42893
1400.0,723,606.233461
560.0,526,610.169509
1080.0,898,616.988128
1240.0,831,623.453911
570.0,494,627.206497
720.0,615,632.156392
730.0,810,638.37936
1090.0,995,646.177665
420.0,476,649.790401
470.0,589,654.553098
780.0,696,660.153571
800.0,600,665.119277
490.0,482,668.845004
820.0,594,673.601696
450.0,460,677.49693
860.0,791,683.489931
370.0,395,686.522374
660.0,509,690.420581
990.0,762,696.161485
410.0,515,700.101714
1080.0,747,705.830499
700.0,633,710.694711
370.0,398,713.750714
280.0,326,716.219533
1080.0,916,723.399007
790.0,705,728.742066
740.0,524,732.675252
