#{"t_start": 1525900712.798348, "env_id": "MsPacmanNoFrameskip-v0"}
r,l,t
320.0,563,16.848034
260.0,395,19.855553
250.0,440,23.397342
120.0,612,28.876851
220.0,380,31.853942
430.0,506,35.87307
310.0,427,39.62074
110.0,395,43.201402
110.0,527,47.527634
110.0,396,50.688148
360.0,527,54.708927
460.0,555,59.517442
280.0,415,62.678986
180.0,425,66.063918
250.0,464,70.423557
130.0,379,73.470644
230.0,486,77.57415
180.0,398,80.675203
180.0,574,85.519718
180.0,493,89.377072
310.0,417,92.808384
180.0,450,97.594149
430.0,430,103.049388
280.0,345,107.648574
120.0,340,111.878354
60.0,318,115.920025
260.0,354,121.024278
330.0,391,126.162367
210.0,471,132.206065
190.0,467,137.782941
380.0,713,146.655663
270.0,688,155.051612
550.0,716,163.994897
370.0,647,173.023674
160.0,438,178.589309
410.0,362,183.081511
610.0,601,190.746426
370.0,416,196.059196
150.0,409,200.803134
310.0,341,205.030722
500.0,517,211.464347
250.0,470,217.359836
210.0,724,226.632897
180.0,371,231.210249
390.0,435,236.45869
290.0,455,242.775526
550.0,642,250.836931
280.0,420,256.151884
490.0,494,262.771775
270.0,415,268.232906
410.0,518,274.444046
700.0,609,281.655035
320.0,616,289.45579
210.0,282,293.330733
340.0,531,300.050892
350.0,418,305.42829
500.0,607,312.769594
270.0,710,321.377861
460.0,404,326.844115
150.0,374,331.606225
180.0,544,339.106396
250.0,317,343.13157
260.0,413,348.175826
180.0,541,355.497742
160.0,495,361.793365
230.0,358,365.996637
850.0,516,372.52403
400.0,504,379.397813
110.0,397,384.724123
130.0,334,388.894461
320.0,336,392.989426
160.0,470,398.837023
310.0,367,404.119933
390.0,402,409.346384
280.0,557,415.980119
260.0,909,427.017987
450.0,487,433.092353
570.0,650,440.985815
290.0,488,446.771659
120.0,381,451.404045
130.0,456,456.991025
180.0,571,464.022422
150.0,372,468.451216
170.0,441,473.81995
660.0,835,484.37205
440.0,522,490.97449
680.0,611,498.26758
240.0,916,509.990497
80.0,386,514.628054
160.0,516,522.414926
680.0,562,529.325377
370.0,396,534.347253
210.0,422,539.82885
170.0,378,544.542645
390.0,354,548.753132
410.0,645,556.89753
390.0,545,564.043121
780.0,729,572.687502
340.0,461,578.612048
90.0,259,582.153079
790.0,737,591.842052
450.0,481,597.642327
210.0,655,605.47087
250.0,475,611.294189
510.0,873,622.074614
190.0,374,626.541509
130.0,439,631.816437
280.0,420,637.405445
280.0,476,643.824352
260.0,493,650.133306
180.0,435,655.474581
210.0,376,660.046025
300.0,614,667.433266
380.0,559,674.577722
160.0,427,679.72613
180.0,471,685.472223
390.0,538,692.167217
340.0,512,698.646561
230.0,355,703.048207
390.0,451,709.112208
270.0,548,716.06515
550.0,561,723.446327
1780.0,645,731.78282
120.0,406,736.736299
500.0,663,745.419659
350.0,330,749.5218
650.0,564,756.596516
450.0,597,764.536166
240.0,514,770.84303
430.0,789,780.781373
520.0,548,787.364895
330.0,461,793.553208
320.0,645,802.340214
410.0,748,811.424056
340.0,542,818.411302
110.0,260,821.976273
320.0,422,827.673029
510.0,472,833.715883
260.0,832,844.399797
410.0,459,850.333932
350.0,457,856.341197
960.0,643,864.826509
230.0,516,871.336358
190.0,557,878.605415
190.0,417,884.439874
590.0,719,893.144005
160.0,382,897.684683
490.0,621,904.962737
470.0,518,911.66174
210.0,347,916.27686
220.0,463,922.358048
200.0,408,927.834265
620.0,509,934.066748
400.0,588,941.464139
430.0,449,946.688384
350.0,496,953.610637
200.0,428,958.977971
200.0,401,963.812744
280.0,466,970.127298
1020.0,698,978.824752
220.0,278,982.709038
560.0,478,988.724567
410.0,443,994.758726
350.0,575,1002.406591
1290.0,711,1011.48471
230.0,403,1016.603314
640.0,703,1026.59831
300.0,669,1035.115426
490.0,636,1043.008299
340.0,638,1051.069974
110.0,310,1054.884913
250.0,527,1061.726221
520.0,625,1069.585542
120.0,419,1074.999079
470.0,459,1080.408862
240.0,406,1085.398284
360.0,447,1091.207779
290.0,345,1095.434143
250.0,462,1101.054333
200.0,301,1104.622266
530.0,755,1114.770631
170.0,328,1119.229061
1080.0,725,1128.89866
390.0,473,1134.674303
430.0,436,1140.177276
410.0,666,1148.397563
980.0,563,1155.40949
220.0,404,1160.754203
350.0,615,1168.293062
270.0,531,1174.876356
90.0,397,1180.041897
350.0,702,1188.846348
420.0,704,1197.457042
130.0,337,1201.407062
290.0,704,1210.575159
320.0,580,1217.813981
170.0,440,1223.124834
330.0,356,1227.188077
310.0,629,1234.918899
350.0,501,1241.323577
300.0,656,1249.272718
110.0,437,1254.298984
420.0,570,1261.047101
330.0,518,1267.26481
290.0,431,1272.732738
460.0,395,1277.668887
330.0,638,1285.468638
530.0,968,1297.604712
720.0,659,1305.804793
160.0,422,1311.256372
440.0,616,1319.121942
950.0,705,1328.252283
680.0,609,1336.451785
300.0,551,1342.972955
380.0,469,1348.760974
310.0,548,1355.700375
240.0,570,1363.225448
300.0,532,1370.223904
390.0,521,1376.721499
1020.0,530,1383.406355
930.0,536,1389.78117
330.0,470,1395.772676
610.0,662,1404.00831
220.0,390,1408.918668
200.0,430,1414.521178
270.0,367,1419.36155
200.0,390,1423.999876
360.0,454,1430.193568
340.0,352,1434.733151
260.0,646,1443.015802
220.0,460,1449.187922
1000.0,652,1458.261498
140.0,326,1462.329
1530.0,876,1473.470997
210.0,430,1478.810618
470.0,629,1486.52631
250.0,396,1491.524197
580.0,565,1499.020519
160.0,367,1504.192575
930.0,550,1511.518613
710.0,888,1523.741965
180.0,398,1529.079436
480.0,562,1536.876393
270.0,386,1541.424677
280.0,532,1548.16937
560.0,846,1558.953857
230.0,463,1564.968177
550.0,597,1572.340522
530.0,563,1579.650244
330.0,563,1587.161663
300.0,404,1592.151883
800.0,796,1603.12218
300.0,458,1609.055679
710.0,639,1617.161819
500.0,565,1624.898226
250.0,647,1633.909525
420.0,490,1639.752452
380.0,402,1644.982347
520.0,614,1652.592676
990.0,578,1659.430784
250.0,489,1665.968278
700.0,875,1676.906573
310.0,548,1684.117455
270.0,572,1691.878616
300.0,741,1701.778724
220.0,507,1708.168048
390.0,474,1713.786165
320.0,433,1719.572748
240.0,653,1728.084293
920.0,492,1734.330571
560.0,693,1742.630105
310.0,917,1754.412831
330.0,415,1760.381033
350.0,435,1765.777913
340.0,559,1772.687807
540.0,608,1780.269534
680.0,578,1788.032924
990.0,807,1798.130951
380.0,487,1804.340983
320.0,477,1810.648716
330.0,480,1816.373357
270.0,635,1824.986599
250.0,429,1830.457756
410.0,664,1838.703303
830.0,924,1851.61839
360.0,490,1857.666652
530.0,588,1865.737415
1110.0,624,1873.374379
790.0,843,1883.977222
360.0,438,1890.253529
320.0,585,1897.254464
280.0,465,1903.198197
390.0,438,1908.784345
340.0,650,1916.763196
230.0,345,1920.887173
150.0,493,1927.031534
140.0,443,1932.979531
650.0,725,1943.210543
340.0,505,1949.685911
380.0,487,1955.613627
640.0,595,1963.165373
320.0,626,1971.010821
620.0,590,1978.583693
270.0,588,1987.080993
240.0,402,1992.598792
630.0,569,1999.902906
250.0,472,2005.755208
200.0,371,2010.426805
290.0,446,2016.079134
440.0,441,2021.403615
340.0,550,2028.936532
800.0,569,2036.527862
170.0,440,2041.791771
1060.0,833,2052.638043
770.0,969,2064.94302
350.0,434,2070.499521
230.0,498,2076.707459
1040.0,612,2084.393292
1070.0,660,2093.361697
570.0,501,2100.218769
460.0,588,2108.387648
830.0,635,2116.427377
520.0,620,2125.00533
910.0,736,2134.252049
220.0,412,2139.766639
340.0,563,2147.197777
880.0,815,2157.593392
250.0,452,2163.190319
340.0,563,2170.572755
440.0,660,2178.693491
360.0,712,2188.017166
110.0,267,2191.123842
500.0,493,2197.129952
370.0,450,2202.645339
530.0,653,2210.535628
230.0,307,2214.214304
380.0,459,2219.887091
390.0,587,2227.479249
200.0,415,2233.460196
560.0,626,2242.091341
440.0,520,2248.432552
740.0,608,2256.098166
510.0,822,2266.137339
250.0,467,2272.595083
370.0,513,2278.847777
280.0,420,2284.185152
430.0,560,2291.442689
540.0,616,2299.482894
190.0,366,2303.843444
650.0,755,2313.451019
240.0,381,2318.415071
280.0,377,2323.106556
270.0,441,2329.182969
300.0,407,2334.718369
270.0,526,2341.351264
440.0,552,2348.754059
190.0,570,2355.588298
1030.0,626,2363.506372
540.0,537,2370.016406
220.0,371,2374.696211
110.0,395,2379.987323
460.0,552,2387.747725
210.0,708,2396.677337
660.0,624,2404.714281
220.0,515,2411.277072
280.0,381,2416.323794
240.0,619,2424.176504
450.0,638,2431.839199
310.0,451,2438.460867
120.0,375,2443.337334
310.0,357,2448.75619
610.0,776,2459.07738
