mean 100 episode reward,steps,episodes,% time spent exploring
8.2,15390,100,98
9.6,31320,200,96
9.5,48248,300,95
10.1,65691,400,93
10.6,82671,500,91
9.7,99904,600,90
10.6,117470,700,88
12.3,136510,800,86
12.0,155380,900,84
11.9,174167,1000,82
11.4,191321,1100,81
11.1,209336,1200,79
10.9,226892,1300,77
12.0,245169,1400,75
12.1,263992,1500,73
12.0,281924,1600,72
12.7,300753,1700,70
12.9,319268,1800,68
12.0,337963,1900,66
12.5,357918,2000,64
12.7,377330,2100,62
12.3,395671,2200,60
12.3,415043,2300,58
11.5,433144,2400,57
12.6,451267,2500,55
12.9,470866,2600,53
14.3,491665,2700,51
12.8,510953,2800,49
13.7,531243,2900,47
12.1,550295,3000,45
13.2,569885,3100,43
13.8,589778,3200,41
12.5,607704,3300,39
13.7,626862,3400,37
14.8,646022,3500,36
12.5,663222,3600,34
15.0,683672,3700,32
14.1,703143,3800,30
15.6,723226,3900,28
13.2,742102,4000,26
16.1,762256,4100,24
14.8,782596,4200,22
14.4,802550,4300,20
15.7,823218,4400,18
15.5,843507,4500,16
14.9,864121,4600,14
15.1,883464,4700,12
16.4,904632,4800,10
17.5,926780,4900,8
17.7,948996,5000,6
20.6,972866,5100,3
18.8,994129,5200,1
23.3,1019377,5300,1
21.4,1041911,5400,1
23.4,1066041,5500,1
25.0,1091513,5600,1
24.1,1115216,5700,1
24.9,1141503,5800,1
26.3,1167689,5900,1
27.8,1194359,6000,1
28.2,1221580,6100,1
27.4,1247340,6200,1
27.9,1273869,6300,1
27.3,1298424,6400,1
26.3,1323213,6500,1
28.5,1349309,6600,1
30.2,1376034,6700,1
28.0,1401806,6800,1
29.2,1428180,6900,1
29.2,1455377,7000,1
28.3,1480087,7100,1
28.1,1505328,7200,1
28.4,1530721,7300,1
27.7,1556056,7400,1
30.9,1584413,7500,1
30.5,1610723,7600,1
33.1,1640388,7700,1
29.4,1667195,7800,1
31.1,1694385,7900,1
28.6,1719969,8000,1
29.0,1745798,8100,1
33.9,1775293,8200,1
32.9,1803709,8300,1
31.9,1831311,8400,1
30.1,1857707,8500,1
34.4,1886533,8600,1
28.9,1911292,8700,1
33.7,1939470,8800,1
32.9,1966873,8900,1
32.8,1995119,9000,1
31.5,2022620,9100,1
32.3,2050074,9200,1
32.9,2077493,9300,1
33.8,2105975,9400,1
35.4,2134876,9500,1
35.2,2165280,9600,1
34.8,2193072,9700,1
35.5,2222058,9800,1
36.3,2251972,9900,1
32.5,2278725,10000,1
34.4,2306173,10100,1
34.4,2334285,10200,1
34.5,2363027,10300,1
34.5,2391314,10400,1
32.6,2417579,10500,1
35.4,2446671,10600,1
35.8,2475678,10700,1
35.2,2504799,10800,1
36.0,2534091,10900,1
35.0,2562735,11000,1
34.8,2590870,11100,1
33.5,2617941,11200,1
33.5,2645156,11300,1
35.8,2674669,11400,1
34.8,2704002,11500,1
35.9,2735374,11600,1
34.0,2764855,11700,1
32.5,2792371,11800,1
34.3,2820999,11900,1
34.7,2849803,12000,1
34.1,2878079,12100,1
33.2,2906950,12200,1
35.4,2936427,12300,1
33.2,2964246,12400,1
34.1,2992848,12500,1
35.1,3020937,12600,1
31.5,3047028,12700,1
33.6,3076059,12800,1
33.9,3104721,12900,1
33.4,3132157,13000,1
35.0,3161676,13100,1
35.9,3190744,13200,1
34.6,3218352,13300,1
34.4,3247486,13400,1
32.2,3274794,13500,1
34.5,3303798,13600,1
35.8,3332721,13700,1
34.4,3360665,13800,1
33.2,3389388,13900,1
32.7,3416869,14000,1
32.6,3445616,14100,1
31.9,3473841,14200,1
32.9,3501399,14300,1
31.4,3528919,14400,1
32.5,3556234,14500,1
35.3,3584556,14600,1
33.9,3613822,14700,1
35.5,3642978,14800,1
35.0,3671229,14900,1
35.6,3700110,15000,1
34.4,3728652,15100,1
36.1,3759286,15200,1
35.2,3788959,15300,1
36.3,3818568,15400,1
35.8,3848395,15500,1
38.3,3879602,15600,1
35.2,3909582,15700,1
34.4,3937682,15800,1
33.0,3965932,15900,1
32.0,3992282,16000,1
33.7,4021110,16100,1
33.8,4050643,16200,1
33.9,4080299,16300,1
36.6,4110110,16400,1
33.5,4139272,16500,1
32.6,4167216,16600,1
33.0,4194491,16700,1
30.2,4221041,16800,1
30.1,4247865,16900,1
30.1,4275345,17000,1
33.0,4303350,17100,1
34.4,4331830,17200,1
34.5,4361126,17300,1
28.8,4387554,17400,1
33.3,4417125,17500,1
34.1,4444867,17600,1
36.5,4475087,17700,1
32.8,4502924,17800,1
34.8,4532431,17900,1
33.5,4560099,18000,1
34.3,4589415,18100,1
32.0,4618060,18200,1
31.5,4644616,18300,1
31.7,4673857,18400,1
34.4,4702950,18500,1
32.8,4732612,18600,1
34.8,4762935,18700,1
34.5,4793216,18800,1
32.7,4821665,18900,1
32.8,4850667,19000,1
31.8,4878304,19100,1
34.3,4907555,19200,1
33.4,4936407,19300,1
32.7,4964342,19400,1
32.0,4992433,19500,1
31.7,5020614,19600,1
34.9,5049340,19700,1
33.7,5076562,19800,1
33.0,5103913,19900,1
34.9,5133557,20000,1
31.9,5160694,20100,1
31.8,5188246,20200,1
34.7,5217537,20300,1
32.2,5247136,20400,1
29.6,5274580,20500,1
32.1,5301606,20600,1
29.3,5327602,20700,1
31.1,5354661,20800,1
