nupdates,value_loss,policy_entropy,explained_variance,total_timesteps,avg reward,fps
1,3.6993773392168805e-05,1.7917592525482178,-3.8388991355895996,80,-0.003516492372727953,73
100,0.04185531288385391,1.7917591333389282,0.013545453548431396,8000,0.12732509856577962,1453
200,0.02471444383263588,1.7917591333389282,0.05555063486099243,16000,0.1534901690436527,1620
300,0.029575884342193604,1.7917587757110596,0.1916813850402832,24000,0.2912146685644984,1655
400,0.019874533638358116,1.7917556762695312,0.24812191724777222,32000,0.4735244784504175,1717
500,0.03817801922559738,1.791731834411621,0.2948231101036072,40000,0.7852571584284306,1764
600,0.023972898721694946,1.7917314767837524,0.08662712574005127,48000,0.995806846767664,1770
700,0.03655233234167099,1.7914505004882812,0.32711637020111084,56000,1.026729755103588,1769
800,0.016308482736349106,1.787743330001831,0.6277757585048676,64000,1.3297051995992661,1770
900,0.04315376654267311,1.783032774925232,0.6581332683563232,72000,1.9374970927834512,1782
1000,0.07076729089021683,1.7844696044921875,0.37100929021835327,80000,1.3358188815414906,1789
1100,0.04046221822500229,1.7870327234268188,0.31435972452163696,88000,1.348659336566925,1804
1200,0.037585146725177765,1.7824013233184814,0.45328354835510254,96000,1.076033966243267,1813
1300,0.014507132582366467,1.7817974090576172,0.7562591582536697,104000,1.3191362276673317,1821
1400,0.059285081923007965,1.7828181982040405,0.49575769901275635,112000,1.4658467426896096,1824
1500,0.054903436452150345,1.778398871421814,0.45855623483657837,120000,1.0787073411047459,1833
1600,0.03723540157079697,1.7791811227798462,0.4547213912010193,128000,1.0872972778975964,1839
1700,0.053305406123399734,1.7686431407928467,0.4086694121360779,136000,2.3037834987044334,1841
1800,0.09392762929201126,1.7462377548217773,-0.10021412372589111,144000,1.67115675508976,1849
1900,0.07637982070446014,1.7768644094467163,0.27302420139312744,152000,0.7618209671229124,1852
2000,0.07604682445526123,1.7368030548095703,0.412983238697052,160000,1.377839258313179,1857
2100,0.01553516834974289,1.7704236507415771,0.7747412472963333,168000,0.954613421857357,1856
2200,0.005875344853848219,1.7764259576797485,0.8712923526763916,176000,0.895502994582057,1862
2300,0.004285926930606365,1.7780044078826904,0.9650630317628384,184000,0.9083679437637329,1862
2400,0.0314636267721653,1.771999716758728,0.755350723862648,192000,1.1003143686801196,1858
2500,0.06701073050498962,1.75870680809021,0.790618285536766,200000,1.6952214017510414,1858
2600,0.0183444544672966,1.782239556312561,0.8614102900028229,208000,1.1070656955242157,1858
2700,0.0017837935592979193,1.7800861597061157,0.9726164061576128,216000,1.0348320852965116,1861
2800,0.001002564444206655,1.7843189239501953,0.9839590061455965,224000,0.8736406557261944,1866
