% time spent exploring,episodes,mean 100 episode reward,steps
98,100,3.6,18158
96,200,2.9,34688
94,300,3.0,51041
93,400,3.0,67711
91,500,3.0,83750
90,600,3.5,100812
88,700,3.5,119738
86,800,3.9,138986
84,900,3.3,155342
82,1000,4.2,173853
81,1100,3.5,191498
79,1200,4.3,210519
77,1300,4.4,231026
75,1400,4.3,251292
73,1500,5.1,271843
71,1600,4.4,291155
69,1700,5.1,311705
67,1800,4.6,330884
65,1900,4.8,351204
63,2000,4.0,369982
61,2100,4.8,389606
59,2200,4.6,410972
57,2300,5.4,433274
55,2400,5.1,453322
53,2500,4.7,472975
51,2600,5.7,494017
49,2700,5.2,514234
47,2800,5.6,534228
45,2900,5.4,554504
43,3000,5.8,575174
41,3100,5.4,595672
38,3200,5.7,616191
37,3300,4.7,635635
34,3400,5.3,657267
32,3500,5.8,678823
30,3600,5.8,699276
28,3700,5.9,721232
26,3800,6.0,743203
24,3900,5.8,765741
21,4000,6.5,790015
19,4100,6.6,812758
17,4200,6.1,834639
15,4300,5.6,855829
12,4400,6.5,880049
10,4500,7.0,903293
8,4600,6.4,925522
5,4700,7.5,951655
3,4800,6.3,973697
1,4900,7.6,1000202
1,5000,7.2,1024421
1,5100,7.6,1049370
1,5200,7.5,1074611
1,5300,8.0,1100701
1,5400,8.5,1128483
1,5500,7.8,1155637
1,5600,7.3,1180809
1,5700,7.1,1204958
1,5800,7.2,1228618
1,5900,8.0,1253469
1,6000,7.2,1277273
1,6100,7.8,1301756
1,6200,6.8,1324813
1,6300,8.7,1353353
1,6400,8.5,1379223
1,6500,7.1,1401961
1,6600,8.6,1429504
1,6700,8.8,1456953
1,6800,8.1,1483501
1,6900,9.5,1513202
1,7000,9.1,1539603
1,7100,8.5,1565957
1,7200,8.7,1591810
1,7300,9.5,1621028
1,7400,9.2,1649913
1,7500,9.2,1679139
1,7600,8.5,1707303
1,7700,9.6,1737568
1,7800,9.6,1766674
1,7900,8.0,1792530
1,8000,8.7,1820340
1,8100,9.3,1848962
1,8200,8.5,1874695
1,8300,8.6,1900726
1,8400,7.3,1924274
1,8500,8.6,1950925
1,8600,9.7,1980603
1,8700,9.6,2011363
1,8800,9.5,2041020
1,8900,8.8,2068612
