#{"t_start": 1524101883.7193172, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
5.0,693,7.936724
0.0,490,11.558186
10.0,686,16.287405
215.0,846,22.410668
50.0,687,27.424638
110.0,600,31.611817
115.0,535,35.371206
180.0,847,41.334399
475.0,764,46.646408
190.0,814,52.472421
15.0,486,55.92495
50.0,490,59.476624
30.0,291,61.626294
125.0,695,66.619817
135.0,970,73.525665
105.0,306,76.01888
190.0,527,82.195965
150.0,516,88.013206
75.0,492,93.731418
30.0,496,99.625295
130.0,513,105.639727
40.0,376,109.938519
105.0,490,115.670188
165.0,511,121.618167
170.0,440,126.823375
155.0,469,132.357557
90.0,537,138.594589
105.0,715,147.025083
5.0,286,150.35656
45.0,678,158.171765
115.0,515,164.144048
155.0,594,171.120903
105.0,482,176.458241
155.0,729,184.960348
285.0,548,191.380059
120.0,915,202.238225
110.0,496,208.16283
90.0,689,216.258885
75.0,409,221.020297
160.0,667,228.886399
60.0,258,231.92993
385.0,705,239.964072
265.0,518,246.09761
60.0,275,249.332468
185.0,705,257.646164
115.0,623,264.930658
30.0,337,268.894654
130.0,478,274.495742
95.0,539,280.783544
375.0,930,291.637666
100.0,466,297.092199
200.0,522,303.232977
75.0,478,308.809862
255.0,635,316.753426
300.0,852,326.768549
160.0,716,335.213539
50.0,312,338.843538
135.0,627,346.278283
105.0,501,352.160103
105.0,358,356.136826
180.0,604,363.111338
95.0,525,369.117013
180.0,603,376.138396
380.0,941,386.977557
110.0,490,392.657139
105.0,469,398.076319
260.0,744,406.938251
65.0,492,412.734286
75.0,465,418.126934
100.0,487,423.707258
80.0,485,429.452652
100.0,480,435.413513
135.0,639,442.989496
410.0,939,454.057255
210.0,511,460.016644
50.0,493,465.654394
165.0,513,471.684882
135.0,479,477.326574
925.0,1095,490.062407
55.0,301,493.387502
250.0,689,501.391005
15.0,380,505.80871
455.0,822,515.4179
110.0,394,520.036739
185.0,918,530.841085
50.0,509,536.737342
0.0,285,540.084426
125.0,459,545.48615
145.0,575,552.498148
175.0,477,558.132862
200.0,491,563.878363
55.0,447,569.087484
135.0,485,574.749603
105.0,318,578.408069
330.0,743,587.097852
225.0,806,596.342136
390.0,630,603.943379
55.0,460,609.311354
210.0,705,617.546823
75.0,282,620.794345
90.0,707,629.31013
165.0,676,637.24848
5.0,308,640.754913
90.0,504,646.765499
205.0,505,652.641961
230.0,960,663.901774
90.0,589,671.319055
365.0,494,677.098138
210.0,615,684.27714
115.0,711,692.42827
25.0,713,700.740409
235.0,784,709.847202
85.0,695,717.956667
175.0,535,724.091656
160.0,1058,736.508216
220.0,698,744.742446
70.0,597,751.51767
145.0,506,757.446852
85.0,494,762.809087
80.0,291,766.101888
40.0,336,770.00148
190.0,514,776.051992
75.0,507,782.00236
230.0,455,787.341905
270.0,729,795.737422
105.0,299,799.258475
0.0,366,803.302287
105.0,492,808.845015
125.0,676,816.638183
135.0,530,822.843755
105.0,936,833.991118
110.0,472,839.515314
15.0,289,842.836962
395.0,767,851.63476
20.0,414,856.490426
120.0,305,860.044753
160.0,824,869.751267
165.0,546,876.227329
455.0,975,887.572839
95.0,619,894.80334
35.0,491,900.53445
115.0,464,906.216995
165.0,513,912.302397
175.0,503,918.271398
75.0,401,922.835745
105.0,380,927.109697
160.0,607,934.181051
120.0,468,939.619797
75.0,635,947.188335
190.0,717,955.350463
220.0,928,966.10917
175.0,962,977.391935
315.0,673,985.187359
70.0,1203,999.266731
105.0,344,1003.189502
170.0,592,1010.376154
365.0,867,1020.601174
80.0,687,1028.674761
110.0,447,1033.932062
175.0,946,1044.81299
5.0,363,1048.971961
80.0,599,1055.963748
300.0,800,1065.332367
105.0,501,1071.21333
110.0,491,1076.876769
90.0,535,1083.220303
200.0,791,1092.208635
305.0,762,1100.986141
125.0,687,1108.984449
85.0,657,1116.482531
460.0,1016,1128.04638
80.0,327,1131.87185
85.0,452,1137.152902
120.0,910,1147.49962
5.0,478,1153.186217
235.0,932,1164.066592
40.0,499,1169.829909
