mean 100 episode reward,% time spent exploring,steps,episodes
2.6,98,18572,100
3.3,96,37448,200
3.8,94,55895,300
3.3,92,74731,400
3.6,90,95234,500
3.5,88,114398,600
3.4,86,134760,700
3.2,84,152752,800
2.9,83,170194,900
3.7,81,189292,1000
4.1,79,209556,1100
3.8,77,229911,1200
3.7,75,250674,1300
3.8,73,271439,1400
3.5,71,289984,1500
3.1,69,308882,1600
3.7,67,329440,1700
4.0,65,349306,1800
4.0,63,371429,1900
3.4,61,389649,2000
3.8,59,408427,2100
4.3,57,430027,2200
3.6,55,449308,2300
4.0,53,468887,2400
3.2,51,487075,2500
4.0,49,508023,2600
3.9,47,528605,2700
3.9,45,549049,2800
3.9,43,570739,2900
3.8,41,591482,3000
4.0,39,611901,3100
4.1,37,634041,3200
3.9,35,655070,3300
4.0,32,678007,3400
3.9,30,698130,3500
3.9,28,718391,3600
4.1,26,738512,3700
4.5,24,761154,3800
4.2,22,783555,3900
4.8,20,805860,4000
4.7,17,829950,4100
4.2,15,851789,4200
4.2,13,873462,4300
4.1,11,894252,4400
4.0,9,916079,4500
5.2,7,939247,4600
5.5,4,965494,4700
5.6,2,988019,4800
4.8,1,1010996,4900
6.2,1,1038641,5000
6.5,1,1063668,5100
5.4,1,1088266,5200
6.2,1,1113964,5300
6.4,1,1141698,5400
6.1,1,1166025,5500
6.0,1,1191602,5600
5.7,1,1215316,5700
6.6,1,1240850,5800
6.3,1,1265929,5900
5.0,1,1288160,6000
6.3,1,1313870,6100
6.8,1,1339742,6200
5.5,1,1365245,6300
5.8,1,1390340,6400
5.6,1,1416448,6500
5.6,1,1441539,6600
6.5,1,1468908,6700
5.1,1,1491061,6800
5.2,1,1513545,6900
5.7,1,1539496,7000
5.7,1,1562776,7100
5.6,1,1586542,7200
6.1,1,1614135,7300
5.7,1,1639275,7400
5.8,1,1665967,7500
5.7,1,1692585,7600
5.8,1,1718874,7700
5.1,1,1743161,7800
6.0,1,1771713,7900
5.2,1,1797303,8000
5.6,1,1821063,8100
6.0,1,1847767,8200
6.1,1,1874589,8300
5.6,1,1900393,8400
5.7,1,1925730,8500
5.7,1,1950834,8600
5.6,1,1976499,8700
5.4,1,2001842,8800
5.8,1,2027902,8900
6.2,1,2053252,9000
5.9,1,2079773,9100
5.7,1,2106752,9200
5.9,1,2132842,9300
6.8,1,2160329,9400
6.1,1,2185777,9500
5.7,1,2211461,9600
5.9,1,2237419,9700
5.4,1,2262208,9800
5.8,1,2287583,9900
6.2,1,2314917,10000
5.6,1,2341034,10100
6.3,1,2367927,10200
5.7,1,2391863,10300
