#{"t_start": 1524260309.587352, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
135.0,513,16.45228
575.0,966,24.994087
135.0,488,29.489279
105.0,395,33.109787
410.0,635,38.618065
55.0,457,42.298774
180.0,528,47.150437
105.0,381,50.621066
215.0,692,56.794967
70.0,383,60.11994
260.0,838,67.334079
80.0,382,70.486646
20.0,290,73.094225
55.0,315,75.694421
240.0,767,82.216143
210.0,575,87.106948
105.0,385,90.286341
735.0,812,97.552144
185.0,536,102.344245
105.0,339,105.245667
45.0,308,107.893397
75.0,511,112.121767
45.0,357,115.104131
90.0,392,118.705729
335.0,773,125.46366
395.0,958,133.905425
110.0,536,138.52282
75.0,309,141.07148
210.0,705,147.155211
155.0,569,151.922468
180.0,604,157.360865
105.0,479,161.448316
105.0,464,165.360516
210.0,632,171.0932
215.0,750,177.40131
185.0,592,182.425323
180.0,664,188.134229
135.0,580,193.265125
105.0,475,197.24446
155.0,592,202.168679
345.0,813,209.203822
210.0,596,214.243715
135.0,587,219.467714
210.0,621,224.880405
80.0,307,227.51668
180.0,618,233.007758
570.0,1087,242.583446
180.0,598,247.695168
210.0,635,253.237113
135.0,584,258.386141
165.0,581,263.226882
155.0,590,268.129662
435.0,682,273.742393
210.0,607,278.717486
160.0,585,283.504639
180.0,600,288.390118
180.0,603,293.474156
180.0,600,298.888909
105.0,479,302.872978
210.0,638,308.118811
155.0,595,313.042923
335.0,583,318.152368
210.0,626,323.440102
180.0,619,328.641318
105.0,489,332.999838
105.0,481,337.22805
140.0,585,342.219173
155.0,603,347.100341
180.0,640,352.60503
155.0,593,357.400452
180.0,598,362.482233
180.0,597,367.42964
135.0,587,372.625806
105.0,490,376.810203
180.0,661,382.324022
165.0,590,387.47152
305.0,484,391.511946
75.0,310,394.001824
210.0,641,399.236141
180.0,608,404.322438
210.0,645,409.79702
180.0,618,414.741567
180.0,612,419.907464
335.0,601,424.992559
180.0,613,430.278811
180.0,605,435.177495
165.0,587,440.228503
80.0,308,442.832114
410.0,609,447.821944
105.0,470,451.719975
120.0,586,456.517575
135.0,589,461.685471
135.0,585,466.415373
180.0,612,471.726024
180.0,607,476.718247
180.0,610,481.74149
490.0,823,488.502109
75.0,309,491.0837
180.0,614,496.115022
155.0,602,501.119529
135.0,595,506.044893
180.0,609,511.196511
105.0,491,515.251551
135.0,593,520.338644
180.0,608,525.372503
180.0,610,530.558619
180.0,611,535.866817
165.0,588,541.046002
210.0,617,546.475869
180.0,608,551.538718
180.0,611,556.553035
135.0,589,561.239489
180.0,610,566.113217
180.0,662,571.505694
180.0,608,576.545852
180.0,612,581.514913
355.0,609,586.597658
180.0,610,591.692314
180.0,608,596.832392
180.0,608,602.105684
180.0,608,607.009227
180.0,609,612.159012
180.0,607,617.187951
180.0,610,622.031805
180.0,609,626.989487
180.0,614,632.274094
180.0,607,637.454586
180.0,612,642.656159
180.0,613,647.611468
180.0,613,652.664525
180.0,612,657.822884
180.0,609,662.912013
180.0,609,667.869468
180.0,613,672.662553
180.0,607,677.734069
180.0,610,682.681807
180.0,608,687.724158
500.0,810,694.651771
180.0,603,699.635261
180.0,458,703.309494
305.0,829,709.928852
295.0,653,715.442237
105.0,486,719.639239
160.0,595,725.051383
105.0,355,728.209926
75.0,376,731.401345
155.0,598,736.37111
75.0,319,739.040081
115.0,587,743.881114
150.0,582,748.810045
355.0,580,753.46195
75.0,510,757.612246
210.0,612,762.844164
260.0,653,768.660238
80.0,428,772.473449
105.0,447,776.472656
260.0,729,782.648666
380.0,614,787.634982
30.0,296,790.071159
265.0,755,796.691795
