#{"t_start": 1525807878.0353847, "env_id": "PongNoFrameskip-v0"}
r,l,t
-21.0,757,19.553832
-20.0,942,27.782502
-21.0,939,35.763136
-20.0,970,43.751256
-20.0,840,50.337322
-20.0,984,58.289386
-20.0,836,65.209576
-20.0,901,72.721937
-19.0,933,80.184929
-20.0,1066,88.502268
-21.0,846,94.93711
-18.0,1026,103.059216
-20.0,839,109.944227
-21.0,820,116.07482
-19.0,1070,124.145929
-19.0,989,132.521134
-20.0,864,139.967654
-21.0,836,147.076154
-21.0,814,153.805131
-19.0,1093,162.82594
-20.0,840,169.534321
-21.0,845,176.585598
-20.0,930,183.985725
-20.0,834,190.790262
-21.0,779,197.454393
-19.0,1019,206.420422
-21.0,867,213.968361
-21.0,785,220.61498
-20.0,852,227.514042
-19.0,986,235.153924
-21.0,838,241.80283
-19.0,1263,252.020088
-21.0,833,259.166132
-21.0,792,265.977769
-21.0,869,273.30333
-20.0,999,281.560074
-20.0,960,289.138811
-21.0,905,296.53779
-20.0,841,303.572344
-21.0,908,311.01272
-19.0,1172,320.76027
-21.0,821,327.716338
-21.0,820,334.671433
-21.0,865,341.730965
-21.0,840,348.47441
-21.0,1097,357.177025
-21.0,863,363.737739
-21.0,818,369.779724
-19.0,959,377.287384
-21.0,823,383.312631
-20.0,838,390.062381
-20.0,926,397.949611
-20.0,961,405.651203
-20.0,939,413.321399
-21.0,945,421.294279
-21.0,846,428.293668
-20.0,837,434.874484
-21.0,822,441.636982
-21.0,835,448.358162
-19.0,1145,457.645665
-21.0,842,464.601464
-20.0,1000,472.42555
-18.0,1299,482.439708
-20.0,920,489.248331
-21.0,816,495.514354
-20.0,1019,504.226101
-20.0,833,511.28759
-20.0,837,518.312167
-19.0,1083,527.312724
-21.0,1022,535.624081
-20.0,886,542.650511
-20.0,1056,551.184655
-21.0,785,557.842567
-20.0,1070,567.024483
-18.0,1054,575.969344
-20.0,1012,584.137513
-20.0,897,591.590643
-19.0,932,599.105421
-20.0,898,606.884534
-21.0,946,614.843143
-20.0,962,622.899228
-19.0,1061,631.667642
-18.0,1160,641.365134
-19.0,1252,651.557549
-21.0,950,659.198905
-21.0,886,666.651084
-19.0,932,674.387061
-20.0,947,682.122725
-21.0,844,689.223841
-21.0,896,696.882649
-21.0,999,705.545115
-21.0,837,712.28681
-19.0,1120,721.166205
-21.0,819,727.37958
-20.0,835,733.963772
-20.0,869,740.876443
-21.0,1018,748.753957
-20.0,984,756.468423
-19.0,1212,766.260105
-19.0,1022,774.380082
-20.0,839,781.240077
-20.0,868,787.986813
-20.0,865,794.686759
-20.0,1042,803.362488
-20.0,835,810.497373
-20.0,973,818.090748
-20.0,1046,826.349846
-21.0,818,833.138598
-20.0,1104,842.319534
-21.0,1023,851.053935
-21.0,936,858.978257
-20.0,974,866.96107
-21.0,1083,876.028475
-20.0,923,883.737758
-21.0,848,890.704193
-21.0,826,897.351572
-19.0,948,904.523541
-21.0,906,911.469955
-21.0,897,918.290928
-21.0,780,924.255249
-20.0,868,930.74263
-19.0,935,937.757729
-21.0,907,944.897581
-21.0,876,952.095306
-18.0,1194,962.108497
-19.0,1007,970.255838
-21.0,881,977.543986
-21.0,849,984.825532
-21.0,777,991.369937
-21.0,805,998.232663
-21.0,907,1006.168694
-19.0,1049,1014.789405
-19.0,939,1022.312091
-20.0,992,1030.44966
-21.0,970,1038.745333
-19.0,1045,1047.567232
-20.0,888,1055.040638
-20.0,1168,1064.875856
-20.0,840,1071.621084
-20.0,988,1079.940464
-21.0,841,1086.922253
