total_timesteps,policy_entropy,learning rate,explained_variance,nupdates,fps,avg reward,value_loss
80,1.791757345199585,0.0007,-337.76983642578125,1,38,-0.4094150558114052,0.01834132894873619
8000,1.7917293310165405,0.0007,-0.007686495780944824,100,1335,-0.9905797801911831,0.05045279860496521
16000,1.7915652990341187,0.0007,0.0043662190437316895,200,1545,-1.3503835633397103,0.03471069782972336
24000,1.7915483713150024,0.0007,0.004434108734130859,300,1661,-1.509250819683075,0.055509187281131744
32000,1.7910064458847046,0.0007,0.007151126861572266,400,1689,-1.4824381902813912,0.02736806310713291
40000,1.7896512746810913,0.0007,-0.1987980604171753,500,1741,-1.9937692187726497,0.04529300332069397
48000,1.7883498668670654,0.0007,-0.029945731163024902,600,1763,-1.5478452250361443,0.0014903058763593435
56000,1.7731157541275024,0.0007,0.02646869421005249,700,1789,-1.307047565281391,0.027238359674811363
64000,1.785125494003296,0.0007,-0.017183899879455566,800,1812,-1.5439605589956045,0.06448059529066086
72000,1.7323764562606812,0.0007,0.028711140155792236,900,1836,-1.8936279565095901,0.058846365660429
80000,1.7678442001342773,0.0007,0.033123552799224854,1000,1850,-1.321937045454979,0.006143985316157341
88000,1.7790485620498657,0.0007,0.0065506696701049805,1100,1858,-1.0480300262570381,0.04453473165631294
96000,1.7572017908096313,0.0007,0.041481077671051025,1200,1862,-2.307167801260948,0.065641388297081
104000,1.7755244970321655,0.0007,0.02508699893951416,1300,1869,-1.6714757621288299,0.04480864107608795
112000,1.7540382146835327,0.0007,0.043451905250549316,1400,1872,-1.9432125382125378,0.02488972619175911
120000,1.7784334421157837,0.0007,0.16305327415466309,1500,1876,-1.5795068621635437,0.05073680356144905
128000,1.7794969081878662,0.0007,0.28847527503967285,1600,1884,-2.031539885699749,0.030678555369377136
136000,1.7845666408538818,0.0007,0.5744520127773285,1700,1891,-1.5377534985542298,0.0015389224281534553
144000,1.7781107425689697,0.0007,0.39469796419143677,1800,1904,-2.5205601274967195,0.004309649579226971
