total_timesteps,explained_variance,value_loss,fps,avg reward,policy_entropy,nupdates,learning rate
80,-337.76983642578125,0.01834132894873619,46,-0.4094150558114052,1.791757345199585,1,0.01
8000,-0.004355669021606445,0.04994276165962219,1388,-1.6321218743920327,1.7905696630477905,100,0.01
16000,0.005895435810089111,0.04345081374049187,1590,-0.878924167715013,1.7818100452423096,200,0.01
24000,-0.010822296142578125,0.061493951827287674,1738,-0.5846809212118387,1.7651926279067993,300,0.01
32000,0.03104865550994873,0.038169920444488525,1804,-2.5848637521266937,1.6402992010116577,400,0.01
40000,0.029440462589263916,0.07527042180299759,1861,-2.467219811677933,1.7613388299942017,500,0.01
48000,0.04312574863433838,0.034293096512556076,1880,-5.859854274988175,1.3954050540924072,600,0.01
56000,0.02690267562866211,0.00635102903470397,1909,-1.397987613081932,1.7837234735488892,700,0.01
64000,0.005230963230133057,0.08311197906732559,1929,-1.5871931329369544,1.7441787719726562,800,0.01
72000,0.0001289844512939453,0.03561065346002579,1945,-1.347482430562377,1.7593399286270142,900,0.01
80000,0.0010730624198913574,0.01182495802640915,1963,-1.1989878818392754,1.7878366708755493,1000,0.01
88000,0.0420762300491333,0.0020091289188712835,1975,-1.8800792425870896,1.776305913925171,1100,0.01
96000,0.0008005499839782715,0.02288801595568657,1980,-1.586926905810833,1.7894458770751953,1200,0.01
104000,0.0027356743812561035,0.028482835739850998,1986,-1.7811277568340302,1.7226879596710205,1300,0.01
112000,0.00033158063888549805,0.04816665127873421,1996,-2.1953798860311506,1.7254045009613037,1400,0.01
120000,0.0028136372566223145,0.033600494265556335,1997,-2.646580898761749,1.6408491134643555,1500,0.01
128000,1.1920928955078125e-07,0.029083237051963806,2002,-2.707118821144104,1.4876844882965088,1600,0.01
136000,-1.1086463928222656e-05,0.004219598602503538,2006,-2.729641151428223,1.647486925125122,1700,0.01
144000,-8.344650268554688e-07,0.03887956961989403,2004,-1.7740329936146737,1.759634017944336,1800,0.01
152000,0.00017827749252319336,0.01225906703621149,2009,-1.9176747396588325,1.7663614749908447,1900,0.01
160000,0.0005320310592651367,0.07170343399047852,2014,-1.9458845607936381,1.7730438709259033,2000,0.01
168000,-0.0008984804153442383,0.06720142066478729,2020,-2.3430357672274114,1.7747455835342407,2100,0.01
176000,8.344650268554688e-07,0.044108450412750244,2026,-1.9666140541434287,1.7739641666412354,2200,0.01
184000,-1.1920928955078125e-07,0.02319824881851673,2028,-2.292051076889038,1.7806947231292725,2300,0.01
192000,0.00331801176071167,0.11773209273815155,2029,-2.50036079287529,1.7691751718521118,2400,0.01
