#{"t_start": 1526055890.4848502, "env_id": "PongNoFrameskip-v0"}
r,l,t
-21.0,762,20.149137
-21.0,762,26.644339
-21.0,757,32.969325
-21.0,758,38.723568
-21.0,760,44.116021
-21.0,757,50.111836
-21.0,760,56.382922
-21.0,763,62.630546
-21.0,758,68.283845
-21.0,764,74.485854
-21.0,762,80.382506
-21.0,762,86.596864
-21.0,758,92.752756
-21.0,763,101.874461
-21.0,762,111.709351
-21.0,759,120.852358
-21.0,764,130.125281
-21.0,763,139.54095
-21.0,764,149.009323
-20.0,960,161.423366
-21.0,764,171.545349
-21.0,763,180.764556
-21.0,937,192.326748
-21.0,757,201.69103
-21.0,763,211.302411
-21.0,762,220.486513
-21.0,761,229.966284
-21.0,761,239.397143
-20.0,866,250.69796
-21.0,759,260.156908
-21.0,761,269.954693
-21.0,764,280.1941
-21.0,760,289.502888
-21.0,761,299.554655
-21.0,762,308.687797
-21.0,763,318.101783
-21.0,764,327.208126
-21.0,761,337.531383
-19.0,918,349.869875
-21.0,759,360.676508
-21.0,762,370.988433
-21.0,814,381.791316
-21.0,762,390.91719
-21.0,761,400.573415
-21.0,900,411.605513
-20.0,833,422.207545
-21.0,758,431.743889
-21.0,760,441.838246
-21.0,760,451.678035
-21.0,759,462.315696
-20.0,920,475.582947
-20.0,836,486.362617
-21.0,760,495.653103
-21.0,759,504.7611
-21.0,760,514.11931
-21.0,761,524.663198
-21.0,757,534.737026
-21.0,759,544.652798
-21.0,761,554.273794
-21.0,760,563.961048
-21.0,820,574.431049
-21.0,762,584.125118
-21.0,761,593.441623
-21.0,762,603.81999
-21.0,819,613.777926
-21.0,757,623.544106
-21.0,760,633.806575
-21.0,762,643.841688
-21.0,759,652.976323
-21.0,759,662.723496
-21.0,758,672.085653
-21.0,826,682.431904
-21.0,764,691.44662
-21.0,761,700.615509
-21.0,758,710.23749
-21.0,787,719.438617
-21.0,817,729.272712
-21.0,763,738.778248
-21.0,885,750.026958
-21.0,764,759.643872
-21.0,762,769.032292
-21.0,764,778.226314
-21.0,764,788.47798
-21.0,763,798.379668
-21.0,762,807.584909
-20.0,831,818.18143
-21.0,759,828.409549
-21.0,762,837.731037
-21.0,821,849.399427
-21.0,757,858.962504
-21.0,788,869.238698
-21.0,763,878.899912
-21.0,762,889.007854
-21.0,758,898.970252
-21.0,764,908.301167
-21.0,758,917.635996
-21.0,761,928.705891
-21.0,760,938.22051
-21.0,760,947.459886
-21.0,759,956.837119
-21.0,760,967.111551
-21.0,823,977.627291
-21.0,764,987.798606
-21.0,871,998.786536
-21.0,758,1008.098802
-21.0,757,1017.468616
-21.0,760,1026.80521
-21.0,764,1036.36841
-21.0,758,1045.778018
-21.0,759,1056.427734
-21.0,760,1065.8125
-21.0,763,1076.234952
-21.0,819,1086.098389
-20.0,836,1097.025214
-21.0,757,1108.086102
-21.0,760,1117.484335
-21.0,760,1126.831699
-21.0,758,1137.256915
-21.0,761,1147.225588
-21.0,759,1157.213053
-21.0,945,1169.931428
-21.0,757,1179.799446
-21.0,760,1189.565896
-21.0,759,1199.534272
-21.0,763,1209.817705
-20.0,841,1220.99153
-21.0,1069,1234.143297
-21.0,757,1245.255269
-21.0,760,1255.894816
-21.0,759,1266.963892
-21.0,758,1276.248728
-21.0,760,1285.729815
-21.0,758,1295.312475
-21.0,788,1306.266319
-21.0,758,1316.947587
-21.0,760,1326.334778
-21.0,760,1336.02182
-21.0,879,1347.499174
-21.0,758,1357.201223
-21.0,757,1366.989546
-21.0,758,1377.799242
-21.0,824,1388.335917
-21.0,760,1397.61458
-21.0,760,1407.151049
-21.0,758,1416.483189
-21.0,763,1426.002601
-21.0,757,1435.520312
-21.0,786,1444.968597
-21.0,760,1454.983383
-21.0,760,1464.068636
-20.0,866,1475.399672
-21.0,760,1485.170679
-21.0,764,1494.384832
-21.0,762,1504.183027
-21.0,764,1513.635482
-21.0,762,1523.317027
-21.0,763,1533.440704
-21.0,763,1543.065006
-21.0,758,1552.404746
-21.0,852,1563.594791
-21.0,937,1576.806459
-21.0,762,1586.493425
-20.0,835,1597.917959
-21.0,788,1607.870861
-21.0,760,1617.974042
-21.0,760,1628.416903
-21.0,759,1638.081764
-21.0,757,1649.456802
-21.0,759,1660.336253
-21.0,819,1670.883571
-21.0,758,1680.818555
-21.0,757,1690.499726
-21.0,762,1699.734221
-21.0,758,1708.811323
-21.0,762,1718.979649
-21.0,758,1728.834492
-21.0,757,1739.094094
-21.0,757,1748.907692
-21.0,764,1758.689445
-21.0,759,1768.002787
-20.0,857,1778.07596
-21.0,759,1788.137061
-21.0,760,1797.65723
-21.0,882,1808.587778
-20.0,835,1819.336707
-20.0,868,1829.89417
-21.0,763,1839.266433
-21.0,757,1848.988425
-21.0,759,1858.568528
-21.0,824,1869.01503
-21.0,760,1878.355037
-21.0,763,1887.766942
-21.0,757,1896.923066
-21.0,758,1906.265382
-21.0,819,1916.048453
