nupdates,avg reward,policy_entropy,policy_loss,total_timesteps,learning rate,fps,explained_variance,value_loss
1,-0.4104832526296377,1.791757345199585,-0.07660869508981705,80,0.001,47,-537.7349853515625,0.01837797835469246
100,-0.8362888596951962,1.7917143106460571,-0.07011205703020096,8000,0.001,1483,-0.0018138885498046875,0.030065130442380905
200,-1.1382767006754875,1.7913105487823486,-0.07638530433177948,16000,0.001,1708,0.005273759365081787,0.0344056710600853
300,-1.9180164694786073,1.7909300327301025,0.11128155887126923,24000,0.001,1818,-0.24425923824310303,0.0025291903875768185
400,-1.5589133188128472,1.7881114482879639,-0.059150852262973785,32000,0.001,1877,0.01656472682952881,0.033026646822690964
500,-1.8446987465023994,1.7875961065292358,-0.09766718000173569,40000,0.001,1934,-0.007476210594177246,0.05054783076047897
600,-1.6648638561367988,1.7886043787002563,-0.05534721165895462,48000,0.001,1956,0.015422701835632324,0.06770569086074829
700,-2.546903795003891,1.7714710235595703,-0.07148195803165436,56000,0.001,1984,0.011452138423919678,0.052673112601041794
800,-2.2398707047104836,1.7410576343536377,0.06993377208709717,64000,0.001,1992,0.027281880378723145,0.06020563840866089
900,-1.6666367799043655,1.782618761062622,0.09039638936519623,72000,0.001,2008,0.14936035871505737,0.0016958614578470588
1000,-1.4841718047857284,1.7882312536239624,-0.08181487023830414,80000,0.001,2019,0.013966560363769531,0.039731793105602264
1100,-1.4993760854005813,1.694994330406189,-0.005270733498036861,88000,0.001,2030,0.0191422700881958,0.022979341447353363
1200,-1.6645609766244889,1.7525027990341187,-6.729513552272692e-05,96000,0.001,2037,0.0370212197303772,0.022029299288988113
1300,-1.7084192663431168,1.779117226600647,-0.1950996369123459,104000,0.001,2044,0.05275529623031616,0.0691777914762497
1400,-1.5002449285238981,1.7676289081573486,-0.17430898547172546,112000,0.001,2040,0.02835911512374878,0.07083538174629211
1500,-1.5989685900509358,1.7498966455459595,-0.14085319638252258,120000,0.001,2042,0.0625411868095398,0.08304973691701889
1600,-1.3591854721307755,1.7834829092025757,0.05865274742245674,128000,0.001,2044,0.1019408106803894,0.0011837451020255685
1700,-1.3588436737656593,1.7862650156021118,-0.07505469769239426,136000,0.001,2049,0.0830303430557251,0.03835456818342209
1800,-1.1923698499798774,1.7875359058380127,-0.18324263393878937,144000,0.001,2054,0.10493773221969604,0.058427758514881134
1900,-1.7797360181808473,1.7648594379425049,0.16016685962677002,152000,0.001,2058,-0.06757950782775879,0.05880405381321907
2000,-1.6263831868767737,1.7781684398651123,-0.08151964843273163,160000,0.001,2064,0.48253172636032104,0.02387162670493126
2100,-2.54242742061615,1.7718664407730103,0.06678970158100128,168000,0.001,2065,0.4621097445487976,0.019793983548879623
2200,-1.6131797417998315,1.7871519327163696,0.06236119195818901,176000,0.001,2065,0.43015050888061523,0.01687978208065033
2300,-1.7582420781254768,1.7797797918319702,-0.015143419615924358,184000,0.001,2063,0.5298836529254913,0.009284600615501404
2400,-1.7943123951554298,1.7801154851913452,-0.031992364674806595,192000,0.001,2067,0.5160588920116425,0.03669256716966629
2500,-1.516702987253666,1.7816245555877686,-0.06161133199930191,200000,0.001,2069,0.29199647903442383,0.0274524986743927
2600,-1.7832173801958562,1.786797285079956,0.1448037177324295,208000,0.001,2074,0.3162493109703064,0.025819679722189903
2700,-1.9590265095233916,1.7844009399414062,-0.20496399700641632,216000,0.001,2073,0.41638779640197754,0.050801802426576614
2800,-1.5977506622672082,1.7831575870513916,-0.050391532480716705,224000,0.001,2073,0.08133822679519653,0.02221592143177986
2900,-2.7513415575027467,1.7516272068023682,0.07625609636306763,232000,0.001,2075,0.7240745425224304,0.019456813111901283
3000,-1.5771419197320937,1.7569589614868164,-0.11048869788646698,240000,0.001,2075,0.6769111454486847,0.019120309501886368
3100,-1.6471915736794471,1.7699775695800781,-0.06223060563206673,248000,0.001,2078,0.3918461799621582,0.022648517042398453
3200,-2.7000149518251417,1.7520277500152588,0.04730580374598503,256000,0.001,2078,0.8314176201820374,0.012257387861609459
3300,-2.499037656188011,1.7596021890640259,0.005119481589645147,264000,0.001,2076,0.7908768653869629,0.012226126156747341
3400,-2.5112592741847037,1.7601697444915771,-0.035703420639038086,272000,0.001,2076,0.6951449811458588,0.026976997032761574
3500,-2.6985709398984907,1.7675249576568604,-0.02324189431965351,280000,0.001,2077,0.6924936175346375,0.015633076429367065
3600,-2.481934478878975,1.7771257162094116,0.24389174580574036,288000,0.001,2077,0.5055574774742126,0.07201606035232544
3700,-2.3384572103619576,1.7828155755996704,0.0021613440476357937,296000,0.001,2079,0.7213564813137054,0.006194139830768108
3800,-1.7833655968308448,1.7880334854125977,-0.0016254063230007887,304000,0.001,2078,0.8157238811254501,0.004572979640215635
3900,-1.677313232421875,1.7871310710906982,0.08069533109664917,312000,0.001,2077,0.26773256063461304,0.008766989223659039
4000,-1.9328804939985276,1.7889604568481445,0.017424436286091805,320000,0.001,2078,0.8607787489891052,0.009446104988455772
4100,-2.609781043231487,1.7862354516983032,-0.009788639843463898,328000,0.001,2080,0.8781446740031242,0.007197005208581686
4200,-2.2660166367888452,1.788487195968628,-0.02167792059481144,336000,0.001,2080,0.8858865275979042,0.006997006479650736
4300,-2.20234300494194,1.7862823009490967,0.07110115885734558,344000,0.001,2082,0.8014123439788818,0.006867178715765476
4400,-2.0083069413900376,1.7864627838134766,-0.05647454783320427,352000,0.001,2082,0.8619147837162018,0.011157544329762459
4500,-1.512528019398451,1.7879127264022827,-0.08278394490480423,360000,0.001,2085,0.9234578385949135,0.005451572127640247
4600,-2.194496288895607,1.7883684635162354,8.26716423034668e-05,368000,0.001,2083,0.9539182409644127,0.0026950836181640625
4700,-1.9205807238817214,1.786360502243042,0.0423956960439682,376000,0.001,2084,0.9312852546572685,0.0056875599548220634
4800,-1.647284184396267,1.7848678827285767,0.024837907403707504,384000,0.001,2084,0.8317297995090485,0.003994474187493324
4900,-1.7384326599538327,1.7833296060562134,0.06894678622484207,392000,0.001,2083,0.6323325932025909,0.013486804440617561
5000,-2.272080586850643,1.7817447185516357,-0.10174622386693954,400000,0.001,2084,0.6957620680332184,0.020395739004015923
5100,-1.8470129087567329,1.7842133045196533,0.0015036941040307283,408000,0.001,2084,0.8022805154323578,0.008711273781955242
5200,-2.206830385327339,1.7785415649414062,0.007860864512622356,416000,0.001,2084,0.8847695216536522,0.0069570839405059814
5300,-2.1144897028803826,1.7690517902374268,0.138697549700737,424000,0.001,2084,-0.01751875877380371,0.018176797777414322
5400,-2.244401329755783,1.775936484336853,0.004127496387809515,432000,0.001,2086,0.6158604025840759,0.019628364592790604
5500,-2.3170351766049864,1.7635924816131592,0.00912714097648859,440000,0.001,2087,0.9808124769479036,0.0031521269120275974
5600,-1.4150243036448955,1.7778284549713135,0.000724729907233268,448000,0.001,2086,0.9562627412378788,0.0032914176117628813
5700,-1.84671441167593,1.7738538980484009,0.012447739951312542,456000,0.001,2086,0.9331738650798798,0.008528808131814003
5800,-1.6488661736249923,1.7754096984863281,0.018530618399381638,464000,0.001,2086,0.9125653207302094,0.003837443422526121
5900,-1.6792285934090614,1.7776321172714233,0.02796914055943489,472000,0.001,2087,0.9430184960365295,0.004041536245495081
6000,-2.3965388596057893,1.7686821222305298,-0.02237360179424286,480000,0.001,2087,0.7073960900306702,0.018460731953382492
6100,-2.8287821412086487,1.7534862756729126,-0.023832574486732483,488000,0.001,2087,0.9117917567491531,0.004128208849579096
6200,-1.9953984417021275,1.780146837234497,0.07675135135650635,496000,0.001,2088,0.8901282250881195,0.014429581351578236
6300,-1.9410580098628998,1.7799108028411865,-0.012977659702301025,504000,0.001,2088,0.9380001313984394,0.006346649490296841
6400,-2.0220835372805595,1.7782871723175049,-0.017798474058508873,512000,0.001,2089,0.788295641541481,0.016374953091144562
6500,-2.434319946169853,1.7651128768920898,0.02095305360853672,520000,0.001,2090,0.8675422817468643,0.0064698876813054085
6600,-2.2258758366107942,1.7735464572906494,-0.06083158403635025,528000,0.001,2090,0.8272104561328888,0.00801829807460308
6700,-2.2931277148425577,1.7783117294311523,0.08522453904151917,536000,0.001,2090,0.881114661693573,0.018494093790650368
6800,-2.250595508515835,1.7863000631332397,0.096255362033844,544000,0.001,2091,0.8040918707847595,0.03674575313925743
6900,-2.655018463730812,1.7839930057525635,-0.00950052123516798,552000,0.001,2092,0.9231453537940979,0.008751781657338142
7000,-1.6386090397834778,1.7899982929229736,-0.06382115930318832,560000,0.001,2094,0.9027735888957977,0.006123778410255909
7100,-2.703176771104336,1.7901363372802734,0.08049973845481873,568000,0.001,2094,0.6007387638092041,0.050567708909511566
7200,-2.112918624281883,1.7903848886489868,0.01875198259949684,576000,0.001,2094,0.9345542937517166,0.01083799172192812
7300,-2.1649829298257828,1.7912896871566772,0.1249861940741539,584000,0.001,2095,0.6403027474880219,0.02231762371957302
7400,-2.3097245022654533,1.7911255359649658,-0.06232426315546036,592000,0.001,2095,0.8443920314311981,0.013119721785187721
7500,-2.416695509850979,1.7902454137802124,0.02384638413786888,600000,0.001,2096,0.940770398825407,0.005471966695040464
7600,-2.0312286257743835,1.7904369831085205,-0.020436789840459824,608000,0.001,2096,0.7333690822124481,0.010022063739597797
7700,-1.937178973853588,1.7891727685928345,-0.03588657081127167,616000,0.001,2095,0.881555825471878,0.008023388683795929
7800,-1.4383676305413247,1.786029577255249,0.053654152899980545,624000,0.001,2094,0.6936269700527191,0.004900448955595493
7900,-1.9707236796617509,1.782617211341858,0.004620072431862354,632000,0.001,2095,0.753492459654808,0.010042536072432995
8000,-2.1411525420844555,1.7805370092391968,0.09933441877365112,640000,0.001,2094,0.5734306573867798,0.03055371716618538
8100,-1.7574897572398185,1.7769958972930908,0.0002327561378479004,648000,0.001,2095,0.8811028152704239,0.012941730208694935
8200,-1.5272667318582536,1.7782459259033203,-0.005942524876445532,656000,0.001,2096,0.9084886536002159,0.007068069186061621
8300,-2.6555539041757585,1.7740024328231812,-0.03343070298433304,664000,0.001,2095,0.9514524266123772,0.0031799294520169497
8400,-1.8726355299353599,1.777316689491272,-0.008515815250575542,672000,0.001,2095,0.8823673874139786,0.005102051887661219
8500,-2.3420978799462318,1.7725805044174194,0.002450787927955389,680000,0.001,2095,0.8561034500598907,0.013167893514037132
8600,-1.9442956298589706,1.7712430953979492,-0.07188329845666885,688000,0.001,2095,0.9736600667238235,0.005826285108923912
8700,-2.5659087002277374,1.7681446075439453,0.09015057981014252,696000,0.001,2095,0.6811062097549438,0.01652623899281025
8800,-1.9762392789125443,1.7800323963165283,-0.022389627993106842,704000,0.001,2095,0.9605676047503948,0.003960425965487957
8900,-1.6994276881217956,1.7806886434555054,-0.04127740114927292,712000,0.001,2094,0.9521103166043758,0.011155357584357262
9000,-2.3691305235028266,1.7793598175048828,-0.032213591039180756,720000,0.001,2095,0.9427159987390041,0.007176396436989307
9100,-2.009261927008629,1.7835540771484375,-0.08968888968229294,728000,0.001,2096,0.9152379855513573,0.015428749844431877
9200,-2.5283788293600082,1.7855209112167358,0.02455545961856842,736000,0.001,2095,0.9784209448844194,0.003619816619902849
9300,-1.8101582571864128,1.7886508703231812,0.053742051124572754,744000,0.001,2094,0.9706534072756767,0.004465300124138594
9400,-2.4653670310974123,1.7864831686019897,-0.027374332770705223,752000,0.001,2094,0.921480655670166,0.006742037832736969
9500,-1.764176996052265,1.7889035940170288,0.03257080167531967,760000,0.001,2095,0.8390138000249863,0.015279566869139671
9600,-2.13669635951519,1.7863044738769531,0.06182790920138359,768000,0.001,2095,0.8433133661746979,0.010453177616000175
9700,-1.7728738725185393,1.7880594730377197,-0.08625435084104538,776000,0.001,2094,0.7765668630599976,0.016101380810141563
9800,-1.8925175443291664,1.7877012491226196,-0.0729178637266159,784000,0.001,2095,0.9371631890535355,0.006090215407311916
9900,-1.9235761135816574,1.7848632335662842,-0.07470634579658508,792000,0.001,2095,0.8475964665412903,0.011236388236284256
10000,-2.009124196320772,1.783538579940796,0.07416870445013046,800000,0.001,2095,0.7883197516202927,0.01730971224606037
10100,-2.109430009126663,1.7854814529418945,0.0034236323554068804,808000,0.001,2095,0.9837534353137016,0.005249623209238052
10200,-1.8585403211414815,1.7862077951431274,-0.07568465173244476,816000,0.001,2095,0.9486133083701134,0.005964797921478748
10300,-2.1911045238375664,1.7835357189178467,-0.05574265867471695,824000,0.001,2095,0.8699926733970642,0.007871958427131176
10400,-1.9997116804122925,1.7837200164794922,-0.077236607670784,832000,0.001,2095,0.9447493366897106,0.006536225788295269
10500,-2.143895669281483,1.7864106893539429,-0.09801343083381653,840000,0.001,2096,0.736283928155899,0.016447588801383972
10600,-2.149390183389187,1.7862656116485596,-0.09870556741952896,848000,0.001,2096,0.8961578086018562,0.01105543877929449
10700,-2.077863658219576,1.7834405899047852,0.008988511748611927,856000,0.001,2096,0.9114411845803261,0.007243743631988764
10800,-2.088269117474556,1.7843681573867798,-0.04791666567325592,864000,0.001,2096,0.9659558944404125,0.0032983142882585526
10900,-2.26334882825613,1.7759195566177368,-0.023275533691048622,872000,0.001,2096,0.9307149350643158,0.0073808059096336365
11000,-2.034235028922558,1.7779709100723267,-0.041590023785829544,880000,0.001,2096,0.9653901197016239,0.004231913480907679
11100,-2.3956984519958495,1.760297179222107,0.022688817232847214,888000,0.001,2096,0.9615403302013874,0.004477046430110931
11200,-2.3057033985853197,1.766282320022583,-0.014179132878780365,896000,0.001,2096,0.955989271402359,0.005423418246209621
11300,-1.683270125091076,1.775892972946167,0.006762981414794922,904000,0.001,2097,0.8184683322906494,0.009885531850159168
11400,-2.239296481013298,1.7711846828460693,0.09484536945819855,912000,0.001,2097,0.8638643473386765,0.014703581109642982
11500,-1.3322922632098197,1.783128023147583,0.0044084591791033745,920000,0.001,2098,0.9605618678033352,0.0046220580115914345
11600,-1.8941567525267602,1.776230812072754,0.08999532461166382,928000,0.001,2098,0.9125492423772812,0.01215158961713314
11700,-2.070409271121025,1.7817014455795288,0.051135867834091187,936000,0.001,2098,0.9072345867753029,0.006890071090310812
11800,-2.2092826679348945,1.7781232595443726,-0.008477757684886456,944000,0.001,2098,0.8633115291595459,0.007243518717586994
11900,-2.005039554834366,1.7823486328125,-0.018933359533548355,952000,0.001,2098,0.8899249881505966,0.006093665491789579
12000,-1.9953506872057916,1.7815744876861572,0.03914234787225723,960000,0.001,2099,0.9088679105043411,0.00527518754824996
12100,-1.5100561559200287,1.7828853130340576,0.07179196178913116,968000,0.001,2100,0.8557084053754807,0.013031655922532082
12200,-1.5262840129435062,1.7827905416488647,-0.04100104421377182,976000,0.001,2100,0.6434145569801331,0.028834765776991844
