#{"t_start": 1524173196.367482, "env_id": "QbertNoFrameskip-v0"}
r,l,t
50.0,305,15.319489
125.0,289,18.163356
100.0,333,21.545712
150.0,353,25.14989
25.0,285,27.681109
200.0,332,30.577592
50.0,292,33.259978
50.0,261,35.716864
525.0,410,39.801059
150.0,317,42.861831
75.0,269,45.396023
50.0,299,48.119776
125.0,279,51.047059
175.0,327,54.209972
225.0,449,58.413127
175.0,312,61.529155
150.0,395,65.21138
100.0,281,68.021883
50.0,291,71.145551
575.0,529,76.269382
75.0,310,79.108189
0.0,287,81.807333
50.0,291,84.409214
75.0,311,87.320856
200.0,339,90.559885
150.0,273,93.256783
400.0,435,97.218504
100.0,330,100.189486
225.0,345,103.81356
125.0,369,107.42285
125.0,348,110.539381
200.0,339,113.67232
175.0,320,116.670192
50.0,251,119.136074
125.0,285,121.78165
50.0,300,124.802891
450.0,399,128.601336
100.0,345,132.076116
0.0,292,134.978713
300.0,377,138.773105
200.0,351,142.459072
75.0,312,145.470546
50.0,300,148.266679
25.0,293,151.190477
625.0,465,156.003321
200.0,292,158.777807
175.0,398,162.935062
75.0,321,166.189767
625.0,449,170.792808
450.0,386,174.607758
275.0,442,178.858499
225.0,357,182.060842
100.0,313,184.921708
25.0,291,187.695359
250.0,409,191.951204
50.0,303,194.93933
0.0,280,197.887455
100.0,306,201.080114
225.0,399,205.530194
25.0,290,208.046503
100.0,316,210.948321
50.0,306,213.592987
150.0,345,216.832018
125.0,332,220.26753
25.0,302,223.160821
175.0,348,226.694745
50.0,309,229.463368
50.0,292,232.210163
50.0,301,235.115164
0.0,278,237.944293
50.0,255,240.379985
50.0,299,243.125721
75.0,313,246.101952
25.0,294,248.804118
275.0,426,252.644805
350.0,379,256.395201
300.0,376,259.711459
175.0,330,262.829644
50.0,288,265.355766
500.0,375,268.672553
200.0,411,272.715082
425.0,333,275.928429
75.0,321,278.898975
75.0,310,281.875131
75.0,310,284.703504
175.0,381,288.117933
75.0,322,291.423749
75.0,328,294.621966
75.0,314,297.967656
175.0,299,301.027766
100.0,326,304.051891
350.0,452,308.324894
100.0,347,311.947225
125.0,274,314.699432
100.0,331,317.865426
175.0,389,321.3712
75.0,328,324.256718
250.0,417,327.889166
125.0,314,330.960841
0.0,288,333.869196
100.0,345,337.768247
50.0,264,340.406975
575.0,427,344.749895
75.0,306,347.515229
125.0,354,350.743505
175.0,370,354.357192
200.0,432,358.488695
250.0,364,361.834691
275.0,482,366.403997
