#{"t_start": 1525900218.993987, "env_id": "QbertNoFrameskip-v0"}
r,l,t
0.0,711,17.037107
125.0,518,20.758113
125.0,633,25.369691
125.0,333,27.717264
125.0,413,30.563676
250.0,390,33.454252
125.0,810,39.359943
0.0,581,43.680882
0.0,839,49.632424
125.0,597,53.835386
125.0,595,58.101397
50.0,563,62.159899
50.0,522,65.821611
0.0,1037,73.244832
125.0,495,76.915648
0.0,454,80.195777
250.0,405,83.127955
125.0,516,88.143721
125.0,293,91.331545
250.0,432,96.350701
125.0,623,103.585331
250.0,402,108.159426
150.0,410,112.86938
125.0,661,120.91229
125.0,404,125.576391
125.0,631,132.954924
125.0,614,140.270414
250.0,587,147.301637
575.0,535,153.657436
125.0,666,161.360232
250.0,433,166.451336
125.0,313,170.070626
0.0,467,175.598806
100.0,730,184.250753
125.0,593,191.160515
50.0,456,196.574241
150.0,402,201.175455
75.0,589,208.699062
75.0,264,211.732089
0.0,401,216.285121
225.0,452,221.648042
150.0,456,226.9094
150.0,525,233.131862
125.0,636,240.767777
450.0,744,249.576183
125.0,595,256.407309
25.0,244,259.24064
125.0,776,268.322165
250.0,509,274.294944
150.0,407,279.002258
150.0,401,283.619441
125.0,490,289.26563
25.0,777,298.390271
50.0,318,302.142854
0.0,601,309.149044
125.0,401,313.831827
0.0,887,324.040399
225.0,362,328.208223
250.0,404,332.941573
125.0,741,341.715419
50.0,742,350.341958
50.0,295,353.700097
150.0,628,361.057446
125.0,550,367.444344
0.0,585,374.481711
125.0,598,381.539294
250.0,493,387.442083
125.0,491,393.202384
0.0,343,397.256272
50.0,338,401.174329
125.0,324,404.757456
150.0,466,410.013114
100.0,571,416.74133
25.0,488,422.335611
0.0,562,428.802256
0.0,286,432.141635
75.0,454,437.298397
50.0,322,441.12283
125.0,456,446.405425
25.0,595,453.365855
150.0,407,458.166082
125.0,511,464.155066
125.0,322,467.992717
0.0,454,473.294967
150.0,363,477.418408
0.0,558,483.845295
125.0,584,490.673967
50.0,696,498.833715
150.0,328,502.627229
175.0,528,508.709287
75.0,452,513.989683
0.0,868,524.103383
125.0,298,527.473696
300.0,347,531.41895
150.0,580,538.11474
100.0,265,541.100218
25.0,390,545.463597
250.0,521,551.537004
