mean 100 episode reward,% time spent exploring,steps,episodes
1.2,98,13299,100
1.3,97,26066,200
1.0,96,38651,300
1.0,95,49827,400
1.0,93,62009,500
1.3,92,76816,600
1.1,91,90556,700
1.0,89,102932,800
1.1,88,116078,900
1.5,87,128112,1000
1.3,86,141326,1100
1.3,84,153466,1200
1.5,83,168499,1300
1.4,81,182051,1400
1.3,80,195522,1500
1.4,79,209150,1600
1.4,77,225293,1700
1.5,76,240407,1800
1.5,74,255752,1900
1.4,73,270743,2000
1.4,71,284845,2100
1.7,70,297999,2200
1.8,69,312577,2300
1.5,67,325835,2400
1.6,66,342285,2500
1.5,64,357050,2600
1.7,63,370971,2700
1.8,61,387539,2800
1.6,59,404128,2900
1.9,57,430963,3000
1.8,55,451536,3100
2.0,53,467614,3200
2.1,51,486791,3300
1.9,49,509033,3400
2.0,47,529297,3500
2.0,45,549248,3600
2.0,43,571092,3700
1.9,41,592341,3800
2.2,38,616778,3900
2.2,36,639715,4000
2.1,34,658258,4100
2.8,31,693596,4200
2.3,28,717279,4300
2.2,26,743402,4400
2.2,24,766435,4500
1.9,21,790307,4600
2.2,19,817460,4700
2.3,16,846611,4800
1.9,14,868579,4900
2.3,11,890805,5000
2.4,8,920131,5100
2.6,6,947606,5200
2.7,3,971652,5300
2.8,1,997020,5400
3.3,1,1021995,5500
3.7,1,1057167,5600
3.4,1,1081285,5700
3.7,1,1111562,5800
3.1,1,1133524,5900
3.9,1,1158391,6000
4.0,1,1181331,6100
3.9,1,1201522,6200
3.4,1,1224083,6300
3.6,1,1249970,6400
3.5,1,1275327,6500
3.2,1,1297221,6600
3.8,1,1326622,6700
3.2,1,1352088,6800
3.1,1,1374601,6900
3.6,1,1394370,7000
3.6,1,1417369,7100
3.8,1,1442737,7200
3.5,1,1466431,7300
3.8,1,1493803,7400
3.5,1,1516991,7500
3.1,1,1538854,7600
3.9,1,1561037,7700
3.6,1,1586586,7800
3.5,1,1604659,7900
3.6,1,1623657,8000
4.0,1,1644468,8100
3.8,1,1670839,8200
3.4,1,1691680,8300
3.9,1,1713222,8400
4.2,1,1737043,8500
3.6,1,1755087,8600
3.5,1,1774769,8700
4.0,1,1796412,8800
3.8,1,1814832,8900
3.8,1,1834857,9000
3.8,1,1856726,9100
3.9,1,1875020,9200
3.9,1,1893560,9300
3.3,1,1912258,9400
3.8,1,1931449,9500
3.8,1,1949315,9600
4.0,1,1971388,9700
3.7,1,1992078,9800
3.8,1,2013095,9900
3.4,1,2033128,10000
3.2,1,2050841,10100
3.5,1,2067637,10200
4.0,1,2087476,10300
3.5,1,2108159,10400
3.8,1,2129840,10500
3.4,1,2148184,10600
3.9,1,2167930,10700
3.7,1,2187497,10800
3.6,1,2207184,10900
3.2,1,2227162,11000
3.2,1,2244532,11100
3.3,1,2261760,11200
3.6,1,2279363,11300
3.6,1,2298456,11400
3.7,1,2318558,11500
3.5,1,2337606,11600
3.5,1,2355050,11700
3.6,1,2374137,11800
3.7,1,2391261,11900
3.6,1,2408842,12000
3.8,1,2429406,12100
4.1,1,2451309,12200
3.8,1,2471542,12300
3.6,1,2492332,12400
3.5,1,2512126,12500
3.7,1,2531269,12600
3.7,1,2550899,12700
3.8,1,2570298,12800
4.1,1,2588633,12900
3.8,1,2607062,13000
3.5,1,2627994,13100
3.6,1,2646688,13200
3.4,1,2668162,13300
3.5,1,2686859,13400
3.4,1,2704830,13500
3.8,1,2722438,13600
3.3,1,2740480,13700
3.8,1,2760516,13800
3.2,1,2778762,13900
3.4,1,2799831,14000
3.4,1,2819823,14100
3.6,1,2841760,14200
3.4,1,2859499,14300
3.6,1,2882116,14400
3.6,1,2905118,14500
3.6,1,2923653,14600
3.5,1,2942070,14700
3.9,1,2959873,14800
3.6,1,2979431,14900
3.5,1,2998142,15000
3.8,1,3016752,15100
3.5,1,3035990,15200
3.6,1,3055297,15300
4.0,1,3075907,15400
3.9,1,3097289,15500
3.9,1,3117753,15600
3.5,1,3138154,15700
3.9,1,3157568,15800
3.7,1,3178223,15900
3.6,1,3196850,16000
3.7,1,3219379,16100
3.4,1,3239223,16200
3.5,1,3259021,16300
3.9,1,3277335,16400
3.6,1,3294732,16500
3.5,1,3314427,16600
3.3,1,3334681,16700
3.5,1,3354120,16800
3.0,1,3373436,16900
3.3,1,3393919,17000
3.0,1,3413361,17100
3.5,1,3431131,17200
3.1,1,3448233,17300
3.4,1,3467625,17400
3.1,1,3484847,17500
3.5,1,3503357,17600
3.3,1,3521155,17700
3.1,1,3537709,17800
3.2,1,3555691,17900
3.2,1,3575982,18000
3.0,1,3592354,18100
3.4,1,3607502,18200
3.5,1,3623440,18300
3.6,1,3640904,18400
3.5,1,3658342,18500
3.6,1,3679608,18600
3.4,1,3695690,18700
3.2,1,3713585,18800
3.4,1,3730871,18900
3.6,1,3747703,19000
3.3,1,3764981,19100
3.2,1,3781236,19200
3.4,1,3798401,19300
3.4,1,3816078,19400
3.3,1,3833878,19500
3.4,1,3852784,19600
3.5,1,3871582,19700
3.1,1,3887473,19800
3.7,1,3903831,19900
3.6,1,3922857,20000
3.4,1,3940389,20100
3.4,1,3957807,20200
3.6,1,3975265,20300
3.4,1,3995390,20400
3.2,1,4012616,20500
3.2,1,4030321,20600
3.0,1,4047495,20700
2.9,1,4065502,20800
3.4,1,4084029,20900
3.2,1,4105206,21000
3.3,1,4126268,21100
3.0,1,4142348,21200
3.4,1,4161626,21300
3.5,1,4180784,21400
3.3,1,4197742,21500
3.4,1,4216322,21600
3.6,1,4232707,21700
3.4,1,4251453,21800
3.5,1,4269250,21900
3.4,1,4288086,22000
3.7,1,4304927,22100
3.3,1,4320557,22200
3.6,1,4338346,22300
3.5,1,4355002,22400
3.4,1,4371867,22500
3.6,1,4389888,22600
3.6,1,4408150,22700
3.4,1,4427042,22800
3.4,1,4445466,22900
3.4,1,4461746,23000
3.3,1,4479429,23100
3.5,1,4497066,23200
3.2,1,4513151,23300
3.5,1,4533027,23400
3.4,1,4550157,23500
3.7,1,4568901,23600
3.7,1,4586665,23700
3.7,1,4609083,23800
3.6,1,4628062,23900
3.6,1,4647568,24000
3.5,1,4667264,24100
3.3,1,4685492,24200
3.5,1,4702108,24300
3.5,1,4720495,24400
3.4,1,4736240,24500
3.4,1,4752969,24600
3.2,1,4769851,24700
3.4,1,4785881,24800
3.8,1,4803339,24900
3.4,1,4821355,25000
3.4,1,4838570,25100
3.7,1,4856298,25200
3.2,1,4873796,25300
3.5,1,4892336,25400
3.8,1,4911591,25500
3.3,1,4930124,25600
3.4,1,4945619,25700
3.6,1,4966698,25800
3.6,1,4983991,25900
3.2,1,4998872,26000
3.3,1,5016801,26100
3.9,1,5035548,26200
3.7,1,5051953,26300
3.7,1,5069948,26400
3.5,1,5087081,26500
3.3,1,5103910,26600
3.4,1,5120780,26700
3.6,1,5137136,26800
3.7,1,5154102,26900
