mean 100 episode reward,episodes,% time spent exploring,steps
3.4,100,99,18131
3.0,200,99,34517
2.8,300,99,50100
2.9,400,99,65987
3.3,500,99,83318
3.0,600,99,100350
3.0,700,99,116613
3.2,800,99,133639
2.8,900,98,148690
3.2,1000,98,166153
3.2,1100,98,182578
2.9,1200,98,197926
3.2,1300,98,214624
3.9,1400,98,233475
2.9,1500,98,250965
3.0,1600,98,267970
3.4,1700,97,285723
3.2,1800,97,301509
3.1,1900,97,317974
3.2,2000,97,334754
3.4,2100,97,352720
3.8,2200,97,371533
3.3,2300,97,388969
3.1,2400,97,405754
3.6,2500,96,422899
3.3,2600,96,440189
3.0,2700,96,455722
3.5,2800,96,472452
3.2,2900,96,489214
3.5,3000,96,507423
3.6,3100,96,524783
3.7,3200,96,542753
3.0,3300,95,559397
4.1,3400,95,578673
3.6,3500,95,596878
3.3,3600,95,614269
3.0,3700,95,630803
3.8,3800,95,649214
3.4,3900,95,667798
3.5,4000,95,685620
3.2,4100,94,702881
3.3,4200,94,720576
3.1,4300,94,736700
3.8,4400,94,754683
3.2,4500,94,771518
3.1,4600,94,786048
3.6,4700,94,803424
4.0,4800,94,822166
3.4,4900,93,839598
3.6,5000,93,856720
3.8,5100,93,874579
3.6,5200,93,891465
3.5,5300,93,908656
3.3,5400,93,925128
3.7,5500,93,943264
3.4,5600,93,960246
3.6,5700,92,978065
3.2,5800,92,993622
3.4,5900,92,1010191
3.3,6000,92,1026544
3.3,6100,92,1043413
3.6,6200,92,1062697
3.7,6300,92,1080597
3.7,6400,92,1098461
3.8,6500,91,1116444
3.6,6600,91,1133196
3.7,6700,91,1150645
3.4,6800,91,1166385
3.2,6900,91,1182430
4.2,7000,91,1201753
3.5,7100,91,1218231
3.4,7200,91,1234458
4.0,7300,90,1252808
3.4,7400,90,1268966
3.6,7500,90,1285848
3.2,7600,90,1301807
3.5,7700,90,1318635
3.8,7800,90,1336733
4.1,7900,90,1355726
3.7,8000,90,1372750
4.0,8100,89,1390993
3.7,8200,89,1408030
3.4,8300,89,1425776
4.0,8400,89,1443858
3.8,8500,89,1460868
4.0,8600,89,1478818
3.8,8700,89,1496306
3.6,8800,89,1512992
3.9,8900,88,1530511
3.6,9000,88,1547281
3.8,9100,88,1564456
3.9,9200,88,1582536
3.6,9300,88,1599393
3.8,9400,88,1615938
4.1,9500,88,1634818
3.7,9600,88,1651830
3.9,9700,87,1669630
3.7,9800,87,1686051
3.6,9900,87,1702155
3.3,10000,87,1717526
3.3,10100,87,1733469
4.0,10200,87,1751225
3.8,10300,87,1768304
4.2,10400,87,1786664
3.8,10500,87,1803796
4.1,10600,86,1821266
3.9,10700,86,1837653
3.8,10800,86,1855362
3.5,10900,86,1871989
3.3,11000,86,1888164
3.9,11100,86,1905149
3.6,11200,86,1921528
3.6,11300,86,1937748
3.8,11400,85,1955108
3.5,11500,85,1970543
3.7,11600,85,1987861
4.0,11700,85,2005185
4.1,11800,85,2023516
3.3,11900,85,2039462
4.2,12000,85,2057014
3.5,12100,85,2073335
3.9,12200,84,2090157
4.1,12300,84,2108101
3.9,12400,84,2124849
4.5,12500,84,2144017
4.2,12600,84,2161422
3.7,12700,84,2177443
3.7,12800,84,2194816
3.7,12900,84,2211793
4.3,13000,83,2230665
4.3,13100,83,2249787
3.6,13200,83,2267022
4.4,13300,83,2285157
4.3,13400,83,2303568
4.4,13500,83,2322167
4.8,13600,83,2342349
4.0,13700,83,2360210
3.6,13800,82,2376391
4.1,13900,82,2394467
3.6,14000,82,2410282
3.8,14100,82,2427160
3.8,14200,82,2444171
3.7,14300,82,2461161
3.9,14400,82,2479779
4.4,14500,82,2498839
4.1,14600,81,2516188
4.2,14700,81,2533872
3.7,14800,81,2550190
4.5,14900,81,2569145
3.9,15000,81,2585063
4.4,15100,81,2604097
4.0,15200,81,2620376
3.5,15300,81,2637210
3.4,15400,80,2654240
4.5,15500,80,2673022
4.4,15600,80,2690602
4.6,15700,80,2709263
4.0,15800,80,2726146
4.1,15900,80,2746186
3.8,16000,80,2763411
3.7,16100,79,2779997
4.2,16200,79,2798226
3.8,16300,79,2816069
4.5,16400,79,2834062
4.3,16500,79,2852217
4.5,16600,79,2871274
4.1,16700,79,2889177
4.2,16800,79,2907384
4.2,16900,78,2923755
4.1,17000,78,2940772
4.2,17100,78,2958208
4.4,17200,78,2976338
4.1,17300,78,2993051
3.9,17400,78,3008853
4.5,17500,78,3026870
4.6,17600,78,3045729
4.0,17700,77,3063228
3.7,17800,77,3079116
4.1,17900,77,3095846
4.1,18000,77,3114318
4.0,18100,77,3133132
4.1,18200,77,3151484
3.9,18300,77,3170234
3.7,18400,77,3187361
3.8,18500,76,3203710
4.7,18600,76,3222893
4.1,18700,76,3240547
4.1,18800,76,3257331
4.5,18900,76,3275528
4.9,19000,76,3296303
3.7,19100,76,3313333
3.5,19200,76,3330492
4.9,19300,75,3349778
4.8,19400,75,3368587
4.6,19500,75,3387900
5.0,19600,75,3408208
5.0,19700,75,3428108
5.0,19800,75,3448869
4.9,19900,75,3468000
4.2,20000,74,3486177
4.2,20100,74,3504302
4.9,20200,74,3524636
4.8,20300,74,3546300
4.3,20400,74,3567201
4.9,20500,74,3589453
5.4,20600,73,3613223
4.0,20700,73,3632261
4.6,20800,73,3654001
4.5,20900,73,3673710
4.1,21000,73,3690982
4.6,21100,73,3710127
4.8,21200,73,3729232
4.9,21300,73,3747983
5.8,21400,72,3769732
4.7,21500,72,3788908
4.4,21600,72,3808058
4.8,21700,72,3827845
4.1,21800,72,3846884
4.9,21900,72,3868197
4.6,22000,72,3888107
4.8,22100,71,3907572
5.3,22200,71,3929208
4.5,22300,71,3950083
4.8,22400,71,3972533
4.6,22500,71,3993820
4.3,22600,71,4014251
4.7,22700,70,4035977
4.7,22800,70,4056248
4.1,22900,70,4075358
5.0,23000,70,4096970
5.6,23100,70,4120662
5.2,23200,70,4142475
4.7,23300,70,4165119
4.8,23400,69,4187448
4.1,23500,69,4206035
4.8,23600,69,4228014
5.0,23700,69,4250190
4.9,23800,69,4271371
4.8,23900,69,4292868
4.0,24000,68,4313677
5.0,24100,68,4336693
4.7,24200,68,4358775
4.8,24300,68,4380390
5.2,24400,68,4403902
4.9,24500,68,4427426
5.8,24600,67,4449924
5.2,24700,67,4472503
4.4,24800,67,4492823
4.8,24900,67,4516692
4.9,25000,67,4537871
5.5,25100,67,4562137
4.8,25200,66,4583376
5.8,25300,66,4606600
5.3,25400,66,4629858
5.6,25500,66,4654583
4.9,25600,66,4675859
4.7,25700,66,4696605
5.5,25800,66,4718548
6.0,25900,65,4743236
5.7,26000,65,4767279
5.6,26100,65,4788835
5.4,26200,65,4810581
5.2,26300,65,4832254
5.4,26400,65,4853657
5.6,26500,64,4877391
5.4,26600,64,4899533
5.4,26700,64,4920767
5.7,26800,64,4942981
6.0,26900,64,4966761
5.3,27000,64,4987580
5.4,27100,63,5009946
5.7,27200,63,5033578
5.5,27300,63,5056429
5.5,27400,63,5076567
5.3,27500,63,5096511
6.3,27600,63,5120622
5.5,27700,62,5142191
5.1,27800,62,5161105
6.2,27900,62,5184612
5.3,28000,62,5206099
5.4,28100,62,5225665
6.1,28200,62,5250988
5.5,28300,62,5273069
5.1,28400,61,5293640
5.0,28500,61,5315285
4.9,28600,61,5336305
5.1,28700,61,5356441
6.1,28800,61,5380822
5.2,28900,61,5402012
6.4,29000,60,5427441
5.1,29100,60,5450091
5.7,29200,60,5472940
6.4,29300,60,5497266
4.7,29400,60,5518741
6.0,29500,60,5543666
5.1,29600,59,5567468
5.6,29700,59,5591949
6.2,29800,59,5617704
5.4,29900,59,5641508
4.9,30000,59,5663762
5.5,30100,59,5687664
5.5,30200,58,5711907
5.1,30300,58,5733982
5.5,30400,58,5756875
6.0,30500,58,5780665
5.0,30600,58,5802341
6.0,30700,58,5827265
5.2,30800,57,5850311
6.0,30900,57,5873802
5.9,31000,57,5897785
6.4,31100,57,5923660
5.7,31200,57,5949122
5.2,31300,57,5972074
5.2,31400,56,5996160
5.0,31500,56,6016141
5.5,31600,56,6039842
6.2,31700,56,6064458
6.0,31800,56,6087682
5.8,31900,56,6108397
5.5,32000,55,6129395
5.6,32100,55,6151805
5.5,32200,55,6174398
5.8,32300,55,6199211
5.5,32400,55,6220638
6.3,32500,55,6245368
5.7,32600,54,6266809
6.0,32700,54,6290531
6.5,32800,54,6314197
6.1,32900,54,6337598
5.7,33000,54,6359882
6.3,33100,54,6384411
6.1,33200,53,6408701
6.5,33300,53,6436303
5.9,33400,53,6461039
6.0,33500,53,6484968
6.5,33600,53,6507756
6.3,33700,52,6530567
6.2,33800,52,6554533
5.3,33900,52,6575312
6.5,34000,52,6599475
7.2,34100,52,6625461
7.2,34200,52,6653166
7.2,34300,51,6679323
7.0,34400,51,6705120
6.3,34500,51,6728556
6.7,34600,51,6752769
7.0,34700,51,6777110
6.8,34800,51,6800467
6.4,34900,50,6823585
