episodes,mean 100 episode reward,% time spent exploring,steps
100,2.8,99,16248
200,3.1,99,33248
300,2.8,98,49749
400,3.1,98,66501
500,3.2,97,83161
600,3.2,97,99973
700,3.2,97,117569
800,3.1,96,134592
900,3.1,96,150951
1000,3.4,95,169219
1100,3.2,95,185785
1200,3.0,94,202219
1300,3.2,94,218782
1400,3.5,94,236493
1500,3.3,93,253386
1600,3.0,93,270008
1700,3.8,92,289813
1800,4.0,92,308322
1900,3.1,91,324984
2000,3.7,91,344067
2100,3.9,91,361965
2200,2.8,90,377200
2300,3.9,90,395035
2400,3.9,89,414599
2500,3.6,89,433481
2600,4.1,88,452851
2700,3.5,88,469318
2800,4.1,87,488082
2900,4.1,87,509328
3000,4.0,86,528185
3100,4.2,86,547425
3200,3.9,85,567027
3300,4.2,85,586727
3400,4.2,85,605665
3500,4.6,84,625314
3600,4.5,84,644357
3700,4.0,83,663126
3800,3.4,83,680609
3900,3.8,82,698338
4000,4.0,82,716275
4100,4.3,81,735575
4200,4.5,81,755445
4300,4.3,80,775178
4400,4.0,80,793819
4500,4.2,79,811194
4600,4.1,79,827858
4700,3.2,79,844439
4800,4.6,78,862276
4900,5.2,78,882581
5000,4.8,77,902640
5100,4.7,77,922454
5200,4.2,76,940835
5300,4.1,76,959153
5400,3.8,75,977143
5500,3.7,75,994352
5600,4.5,74,1012737
5700,3.5,74,1029228
5800,4.1,74,1046598
5900,3.7,73,1064126
6000,4.2,73,1081065
6100,4.3,72,1097603
6200,3.5,72,1112965
6300,3.5,72,1128232
6400,3.4,71,1143978
6500,4.4,71,1161419
6600,3.7,70,1176480
6700,3.5,70,1192761
6800,3.6,70,1210905
6900,4.0,69,1227691
7000,4.2,69,1244816
7100,3.6,68,1263909
7200,4.5,68,1283292
7300,4.1,67,1302377
7400,4.0,67,1321065
7500,4.7,66,1341677
7600,4.8,66,1361393
7700,4.0,65,1381011
7800,3.7,65,1401044
7900,4.8,64,1421800
8000,4.4,64,1441322
8100,5.0,63,1461037
8200,4.5,63,1479783
8300,4.5,62,1498692
8400,4.9,62,1519419
8500,4.9,61,1540167
8600,4.9,61,1559486
8700,4.9,60,1580836
8800,5.2,60,1603270
8900,5.4,59,1624978
9000,4.6,59,1645483
9100,5.1,58,1666419
9200,5.2,58,1688168
9300,5.5,57,1711511
9400,5.5,57,1733733
9500,4.7,56,1754118
9600,5.7,55,1777840
9700,5.4,55,1801293
9800,5.7,54,1824132
9900,5.6,54,1846721
10000,5.1,53,1866684
10100,5.4,53,1889801
10200,4.9,52,1910255
10300,4.5,52,1931298
10400,5.5,51,1955968
10500,4.7,51,1976960
10600,6.4,50,2001662
10700,5.3,49,2022793
10800,5.3,49,2043850
10900,5.6,48,2066680
11000,5.0,48,2086909
11100,6.1,47,2109769
11200,5.9,47,2132257
11300,5.4,46,2155701
11400,5.0,46,2175695
11500,6.6,45,2200236
11600,5.4,45,2221792
11700,5.6,44,2242393
11800,6.2,43,2265488
11900,6.6,43,2288557
12000,6.2,42,2311187
12100,6.9,42,2335250
12200,5.8,41,2356180
12300,6.0,41,2377721
12400,6.6,40,2402881
12500,6.5,39,2425157
12600,5.9,39,2446531
12700,5.8,38,2466963
12800,7.4,38,2491287
12900,6.4,37,2513186
13000,6.2,37,2535156
13100,7.1,36,2560958
13200,7.5,36,2584364
13300,6.9,35,2607263
13400,6.6,34,2630952
13500,7.4,34,2656837
13600,7.4,33,2681579
13700,7.7,33,2706059
13800,6.9,32,2730713
13900,6.8,31,2754630
14000,7.0,31,2780558
14100,5.8,30,2803353
14200,6.4,29,2828492
14300,6.9,29,2855233
14400,6.6,28,2880488
14500,6.2,28,2903735
14600,6.1,27,2927419
14700,5.9,26,2950579
14800,6.4,26,2974836
14900,5.9,25,2996346
15000,5.9,25,3018329
15100,6.3,24,3041340
15200,7.0,24,3066243
15300,7.8,23,3091295
15400,8.0,22,3117508
15500,6.7,22,3141244
15600,8.1,21,3166613
15700,7.8,20,3191967
15800,7.1,20,3217073
15900,8.2,19,3245533
16000,7.1,19,3270879
16100,7.7,18,3296469
16200,7.3,17,3323696
16300,6.1,17,3348431
16400,7.0,16,3374471
16500,6.8,15,3399017
16600,7.8,15,3425294
16700,7.3,14,3448944
16800,8.1,13,3475070
16900,8.9,13,3505147
17000,8.0,12,3531625
17100,8.7,11,3558302
17200,7.8,11,3583231
17300,9.4,10,3611617
17400,8.0,9,3636567
17500,8.7,9,3665525
17600,8.1,8,3694002
17700,8.1,7,3719408
17800,8.6,7,3747404
17900,8.7,6,3773380
18000,9.1,5,3801508
18100,9.1,5,3828782
18200,9.2,4,3857916
18300,9.8,3,3889511
18400,8.6,3,3918980
18500,8.6,2,3949173
18600,9.0,1,3979297
18700,9.4,1,4010423
18800,8.8,1,4038899
18900,8.7,1,4066653
19000,9.5,1,4099727
19100,8.4,1,4129225
19200,9.7,1,4160793
19300,9.0,1,4189081
19400,8.2,1,4215330
19500,8.3,1,4241536
19600,9.1,1,4271057
19700,8.7,1,4299381
19800,9.0,1,4327929
19900,9.5,1,4358623
20000,9.8,1,4390734
20100,9.2,1,4420237
20200,9.5,1,4451299
20300,7.8,1,4477231
20400,7.9,1,4503903
20500,8.5,1,4532870
20600,8.8,1,4562896
