#{"t_start": 1520716140.88079, "env_id": "SpaceInvadersNoFrameskip-v0"}
r,l,t
85.0,541,13.996281
80.0,385,15.194978
75.0,449,16.675335
305.0,614,19.32403
105.0,379,21.37975
135.0,475,23.346146
260.0,1115,28.06163
305.0,558,30.503867
70.0,300,31.432222
55.0,443,33.363339
385.0,751,36.934366
35.0,358,38.680659
35.0,310,40.024331
645.0,1208,45.81717
135.0,593,48.693022
145.0,474,50.972304
180.0,428,52.648103
35.0,249,53.408878
65.0,310,54.429005
140.0,478,57.850173
120.0,305,60.526332
350.0,623,66.42104
60.0,368,70.024253
260.0,707,76.947649
135.0,506,82.051445
140.0,563,87.861595
135.0,388,91.875036
135.0,483,96.465185
110.0,428,100.591738
60.0,324,103.739201
20.0,361,107.422332
170.0,598,113.194707
80.0,371,116.893402
260.0,781,124.60547
110.0,480,129.503218
210.0,666,136.172692
140.0,418,140.468354
80.0,286,143.29086
120.0,562,149.074539
115.0,561,154.596722
135.0,484,159.92767
60.0,364,163.691593
50.0,290,166.449979
120.0,500,171.174081
280.0,647,177.482138
120.0,492,182.428106
225.0,669,189.229651
90.0,509,194.461266
490.0,825,203.027682
210.0,470,207.877864
135.0,565,213.622885
20.0,379,217.523342
180.0,482,222.740324
215.0,582,229.014567
65.0,284,231.461654
155.0,490,236.421451
185.0,823,244.845765
110.0,538,250.454254
120.0,520,255.652895
305.0,827,264.23083
105.0,384,268.210085
240.0,585,274.308502
200.0,547,279.981933
120.0,488,284.999674
180.0,595,290.883261
135.0,542,295.765906
120.0,534,300.967468
115.0,614,306.362775
380.0,593,311.637653
75.0,472,315.999559
130.0,487,320.627853
120.0,597,326.17029
110.0,522,331.52189
45.0,319,334.68726
345.0,888,343.766652
210.0,567,349.502067
35.0,453,353.700605
45.0,299,356.583888
230.0,651,363.242881
210.0,641,369.472593
120.0,520,374.819147
40.0,292,377.716297
95.0,280,380.312682
50.0,428,384.657148
110.0,755,392.330927
135.0,475,397.071962
180.0,527,402.484295
65.0,447,406.485805
60.0,321,409.47068
155.0,336,412.398374
65.0,465,416.68443
135.0,585,422.166883
155.0,584,427.900342
65.0,292,430.795503
210.0,611,436.740371
100.0,482,441.386709
45.0,367,445.014513
105.0,475,449.617355
55.0,291,452.511064
180.0,592,458.809861
70.0,456,463.67862
155.0,527,469.253456
65.0,310,471.943305
135.0,504,476.951592
80.0,267,479.492022
110.0,415,483.629766
410.0,594,489.014284
260.0,699,495.489024
50.0,451,499.63193
100.0,280,501.969013
355.0,586,507.446476
105.0,546,512.479185
110.0,478,517.163895
105.0,403,521.426316
60.0,484,526.367755
105.0,476,531.217289
175.0,523,536.134044
105.0,323,539.554506
30.0,399,543.587358
155.0,727,551.099953
75.0,380,554.818439
80.0,423,559.113138
210.0,595,565.132186
170.0,526,570.451457
160.0,488,575.307219
260.0,694,582.137191
50.0,274,584.883643
70.0,409,588.868406
45.0,422,592.53641
225.0,596,598.169432
160.0,476,602.48403
105.0,493,606.844222
265.0,463,611.279573
285.0,956,620.8405
50.0,315,623.960497
185.0,795,631.860432
20.0,299,634.878507
100.0,479,639.795566
110.0,526,645.236453
