% time spent exploring,mean 100 episode reward,steps,episodes
99,3.2,17139,100
99,3.1,34599,200
99,3.0,50865,300
99,3.0,67675,400
99,2.8,84004,500
98,3.7,103015,600
98,3.7,121918,700
98,3.1,137601,800
98,3.6,155585,900
98,3.5,173013,1000
98,3.7,192040,1100
97,3.3,210394,1200
97,3.3,226890,1300
97,3.3,243933,1400
97,3.2,259686,1500
97,3.2,276050,1600
97,3.2,293577,1700
96,3.3,311507,1800
96,3.0,327678,1900
96,3.3,343949,2000
96,3.0,359484,2100
96,3.4,376373,2200
96,3.1,392678,2300
95,3.0,409441,2400
95,3.1,426854,2500
95,3.4,444272,2600
95,3.4,461317,2700
95,3.6,479119,2800
95,3.3,496651,2900
94,3.4,514500,3000
94,3.4,532583,3100
94,4.0,551966,3200
94,4.0,570864,3300
94,3.2,588516,3400
94,3.0,605077,3500
93,3.8,624193,3600
93,4.0,644511,3700
93,3.7,661943,3800
93,3.4,678808,3900
93,3.4,694875,4000
92,4.0,714070,4100
92,3.7,732616,4200
92,4.2,753627,4300
92,3.7,772224,4400
92,3.6,791316,4500
91,3.7,809844,4600
91,3.6,828845,4700
91,3.6,846781,4800
91,3.5,863934,4900
91,3.6,882016,5000
91,3.6,899368,5100
90,3.6,915924,5200
90,3.7,933340,5300
90,3.6,950253,5400
90,3.3,967579,5500
90,3.8,984705,5600
90,4.0,1003697,5700
89,3.8,1021578,5800
89,3.5,1038161,5900
89,3.0,1053467,6000
89,3.2,1070925,6100
89,3.6,1089387,6200
89,4.2,1107094,6300
88,3.5,1123272,6400
88,3.8,1140965,6500
88,4.5,1159633,6600
88,4.4,1177737,6700
88,3.4,1194235,6800
87,3.8,1212129,6900
87,3.3,1229511,7000
87,3.7,1248185,7100
87,3.9,1267263,7200
87,3.6,1285551,7300
87,3.5,1302439,7400
86,3.6,1320025,7500
86,3.2,1337168,7600
86,4.0,1356173,7700
86,4.1,1374379,7800
86,3.4,1390982,7900
86,4.0,1409477,8000
85,3.3,1426114,8100
85,3.6,1443603,8200
85,3.5,1461155,8300
85,3.8,1478350,8400
85,3.8,1495871,8500
85,4.1,1513501,8600
84,4.2,1531153,8700
84,3.8,1547906,8800
84,3.9,1567334,8900
84,3.6,1583733,9000
84,3.6,1599878,9100
83,4.1,1618402,9200
83,4.2,1637733,9300
83,4.1,1656437,9400
83,4.6,1675980,9500
83,4.0,1693099,9600
83,4.1,1712776,9700
82,4.4,1732512,9800
82,3.9,1751442,9900
82,4.6,1772034,10000
82,4.4,1792316,10100
82,5.0,1813649,10200
81,4.1,1832744,10300
81,4.6,1853389,10400
81,4.1,1872213,10500
81,4.6,1891433,10600
81,3.9,1909171,10700
80,4.6,1930002,10800
80,4.4,1949376,10900
80,4.9,1969618,11000
