steps,mean 100 episode reward,% time spent exploring,episodes
17215,3.3,98,100
33011,3.0,96,200
49193,3.0,95,300
66554,3.7,93,400
83196,3.4,91,500
100961,3.9,90,600
117708,3.5,88,700
135459,3.6,86,800
151563,3.4,84,900
168663,3.5,83,1000
186143,3.6,81,1100
202333,3.5,79,1200
220531,3.6,78,1300
237060,3.4,76,1400
254861,3.8,74,1500
271709,3.9,73,1600
288934,3.8,71,1700
305426,3.7,69,1800
322091,3.7,68,1900
338309,3.6,66,2000
355464,4.0,64,2100
373912,4.6,62,2200
391108,4.4,61,2300
409664,4.2,59,2400
426936,3.7,57,2500
444745,4.4,55,2600
462458,3.8,54,2700
479099,3.6,52,2800
499633,5.2,50,2900
517416,3.8,48,3000
538125,4.7,46,3100
555524,4.2,45,3200
574357,4.3,43,3300
595265,4.2,41,3400
614398,3.8,39,3500
634222,4.3,37,3600
653890,4.1,35,3700
676137,5.3,33,3800
693982,4.0,31,3900
715012,5.1,29,4000
737863,5.1,26,4100
759334,4.1,24,4200
779406,4.4,22,4300
801643,5.1,20,4400
823646,4.7,18,4500
845906,4.6,16,4600
869417,4.8,13,4700
890877,5.2,11,4800
913369,5.1,9,4900
935501,4.8,7,5000
957505,4.9,5,5100
980943,5.1,2,5200
1004039,4.8,1,5300
1028463,4.9,1,5400
1054941,5.7,1,5500
1078816,5.4,1,5600
1103035,4.4,1,5700
1130628,5.6,1,5800
1155147,5.5,1,5900
1180553,5.6,1,6000
1207907,6.1,1,6100
1235319,5.6,1,6200
1260736,5.2,1,6300
1285884,5.5,1,6400
1311445,5.3,1,6500
1335451,5.0,1,6600
1357406,4.7,1,6700
1383792,5.5,1,6800
1409921,5.6,1,6900
1430384,4.3,1,7000
1452438,4.0,1,7100
1477658,5.7,1,7200
1503210,5.3,1,7300
1525775,5.1,1,7400
1551949,5.7,1,7500
1578851,5.2,1,7600
1604231,5.7,1,7700
1628047,4.2,1,7800
1654907,5.3,1,7900
1680590,5.5,1,8000
1701840,4.0,1,8100
1724465,4.3,1,8200
1747161,4.3,1,8300
1774692,5.8,1,8400
1800440,5.2,1,8500
1825547,5.0,1,8600
1849390,5.3,1,8700
1873010,5.0,1,8800
1897614,5.2,1,8900
1922439,5.2,1,9000
1945928,4.9,1,9100
1970660,5.0,1,9200
1994470,5.1,1,9300
2019076,5.0,1,9400
2042848,4.9,1,9500
2065727,5.2,1,9600
2089790,5.2,1,9700
2112431,4.9,1,9800
2136552,5.2,1,9900
2161080,5.0,1,10000
2185233,4.7,1,10100
2212596,5.4,1,10200
2237778,5.4,1,10300
2264535,5.6,1,10400
2287536,4.7,1,10500
2312484,5.4,1,10600
2336460,5.2,1,10700
2361208,5.4,1,10800
2385332,5.3,1,10900
2408139,4.6,1,11000
2431748,5.0,1,11100
2454566,5.3,1,11200
2480216,5.2,1,11300
2506283,5.3,1,11400
2530277,5.2,1,11500
2554081,5.4,1,11600
2580495,6.0,1,11700
2604411,5.1,1,11800
2629875,5.5,1,11900
2651356,4.6,1,12000
2677414,5.4,1,12100
2700697,4.6,1,12200
2726370,5.1,1,12300
2750853,5.2,1,12400
2775582,5.0,1,12500
2800255,5.6,1,12600
2826716,4.9,1,12700
2852679,5.5,1,12800
2877148,5.0,1,12900
2902908,5.3,1,13000
2926628,4.6,1,13100
2951445,4.8,1,13200
2976400,5.2,1,13300
2999473,5.1,1,13400
3025034,5.4,1,13500
3049030,5.4,1,13600
3074948,5.6,1,13700
3098061,4.6,1,13800
3121941,5.5,1,13900
3148419,5.6,1,14000
3171751,5.1,1,14100
3195419,4.2,1,14200
3221035,5.1,1,14300
3242567,4.4,1,14400
3268379,5.4,1,14500
3291834,4.9,1,14600
3316041,5.0,1,14700
3338674,4.5,1,14800
3362128,4.8,1,14900
3385390,5.0,1,15000
3408696,4.9,1,15100
3434086,5.2,1,15200
3458775,4.7,1,15300
3481535,4.7,1,15400
3505884,5.3,1,15500
3533397,5.7,1,15600
3559046,5.8,1,15700
3586607,5.6,1,15800
3608505,4.8,1,15900
3631983,4.9,1,16000
3656238,5.0,1,16100
3679012,5.2,1,16200
3700613,4.4,1,16300
3723771,4.9,1,16400
3747531,4.8,1,16500
3773699,5.0,1,16600
3796578,4.7,1,16700
3819806,5.2,1,16800
3843035,4.9,1,16900
3870574,5.8,1,17000
3892306,4.9,1,17100
3918306,5.4,1,17200
3942515,5.2,1,17300
3965926,4.7,1,17400
3993647,5.2,1,17500
4017645,4.8,1,17600
4038083,3.7,1,17700
4060600,4.3,1,17800
4084418,4.8,1,17900
4109431,5.0,1,18000
4133343,5.0,1,18100
4155623,4.3,1,18200
4178054,4.7,1,18300
4199642,4.4,1,18400
4223724,5.0,1,18500
4246109,5.0,1,18600
4267631,4.5,1,18700
4292094,4.7,1,18800
4313082,4.3,1,18900
4334800,4.8,1,19000
4359429,4.9,1,19100
4385494,5.1,1,19200
4412494,5.1,1,19300
4439720,5.7,1,19400
4465033,5.1,1,19500
4488116,4.8,1,19600
4511317,4.3,1,19700
4537170,5.6,1,19800
4561922,5.0,1,19900
4588369,5.3,1,20000
4614446,5.5,1,20100
4640672,5.5,1,20200
4666668,5.0,1,20300
4692283,4.9,1,20400
4716136,4.9,1,20500
4739887,4.9,1,20600
4762060,4.6,1,20700
4786861,5.1,1,20800
4810394,4.9,1,20900
4833442,4.6,1,21000
4857714,5.0,1,21100
4882835,5.8,1,21200
4907745,4.9,1,21300
4932174,5.2,1,21400
4955756,5.4,1,21500
4980162,5.2,1,21600
5006406,5.5,1,21700
5032370,5.1,1,21800
5056962,5.4,1,21900
5083185,5.4,1,22000
5108123,5.0,1,22100
5132838,4.9,1,22200
5154886,4.8,1,22300
5180134,5.5,1,22400
5206364,5.0,1,22500
5230434,5.2,1,22600
5256419,5.7,1,22700
5282754,5.7,1,22800
5308215,4.9,1,22900
5331890,5.0,1,23000
5356650,4.8,1,23100
5379641,4.8,1,23200
5403007,4.8,1,23300
5429026,5.0,1,23400
5454392,5.3,1,23500
5478696,5.0,1,23600
5502070,4.8,1,23700
5528079,5.2,1,23800
5551123,5.6,1,23900
5574896,4.7,1,24000
5597720,5.0,1,24100
5621803,4.9,1,24200
5648460,5.4,1,24300
5672051,4.6,1,24400
5696537,5.2,1,24500
5719406,4.8,1,24600
5742698,4.9,1,24700
5766120,4.7,1,24800
5791265,5.1,1,24900
5816260,5.2,1,25000
5841699,5.4,1,25100
5868511,5.1,1,25200
5891901,5.0,1,25300
5914039,4.9,1,25400
5939026,5.4,1,25500
5963427,5.1,1,25600
5986486,4.6,1,25700
6011252,5.4,1,25800
6035056,4.7,1,25900
6059947,4.8,1,26000
6082176,4.4,1,26100
6108471,5.6,1,26200
6130796,4.9,1,26300
6154464,4.8,1,26400
6177842,5.2,1,26500
6200234,4.9,1,26600
6226905,5.3,1,26700
6251685,5.0,1,26800
6274323,4.8,1,26900
6299297,5.0,1,27000
6322985,5.1,1,27100
6348011,4.9,1,27200
6373492,5.6,1,27300
6397883,5.5,1,27400
6420823,4.3,1,27500
6442872,4.7,1,27600
6465613,4.9,1,27700
6489968,5.2,1,27800
6514940,5.4,1,27900
6538698,5.2,1,28000
6561872,5.7,1,28100
6584909,4.9,1,28200
6609934,5.6,1,28300
6634365,5.2,1,28400
6659036,5.2,1,28500
6684849,5.3,1,28600
6709836,5.3,1,28700
6732233,5.0,1,28800
6758921,5.6,1,28900
6782432,5.2,1,29000
6805952,5.4,1,29100
6828615,4.7,1,29200
6852322,4.7,1,29300
6879281,5.3,1,29400
6905232,5.1,1,29500
6927097,4.7,1,29600
6949102,4.8,1,29700
6973543,4.7,1,29800
6998503,5.6,1,29900
7019689,3.8,1,30000
7044120,5.1,1,30100
7068204,4.9,1,30200
7093290,5.4,1,30300
7117619,5.1,1,30400
7140712,4.8,1,30500
7165478,5.0,1,30600
7189359,5.1,1,30700
7213693,5.4,1,30800
7239439,5.5,1,30900
7265461,5.2,1,31000
7289962,5.1,1,31100
7310992,4.5,1,31200
7335610,6.2,1,31300
7357957,5.0,1,31400
7382331,4.9,1,31500
7403892,4.2,1,31600
7428995,5.3,1,31700
7453026,5.1,1,31800
7477183,4.6,1,31900
7504490,5.3,1,32000
7526570,5.1,1,32100
7549622,5.2,1,32200
7574112,5.3,1,32300
7600624,5.0,1,32400
7626049,5.5,1,32500
7648235,5.1,1,32600
7673402,5.1,1,32700
7696852,4.6,1,32800
7724124,5.5,1,32900
7749117,4.8,1,33000
7771580,5.1,1,33100
7795769,4.8,1,33200
7816709,3.8,1,33300
7841154,5.0,1,33400
7865974,5.2,1,33500
7891938,4.8,1,33600
7914357,4.6,1,33700
7939808,4.9,1,33800
7963355,5.0,1,33900
7988576,5.1,1,34000
8013462,5.4,1,34100
8036354,4.7,1,34200
8062459,5.4,1,34300
8088460,5.5,1,34400
8109329,3.8,1,34500
8133782,5.3,1,34600
8157202,5.0,1,34700
8179845,5.2,1,34800
8202409,4.4,1,34900
8225154,4.5,1,35000
8249116,5.4,1,35100
8274760,5.2,1,35200
8297675,4.8,1,35300
8322868,5.1,1,35400
8345482,5.2,1,35500
8367922,4.9,1,35600
8390711,5.1,1,35700
8415587,5.8,1,35800
8439835,5.4,1,35900
8462559,4.6,1,36000
8486707,5.1,1,36100
8510830,4.8,1,36200
8533907,4.3,1,36300
8557762,4.7,1,36400
8583379,5.4,1,36500
8606550,5.0,1,36600
8631936,5.1,1,36700
8653133,4.5,1,36800
8680917,5.7,1,36900
8703826,4.9,1,37000
8728235,5.0,1,37100
8750798,5.2,1,37200
8775589,5.0,1,37300
8800757,5.5,1,37400
8824982,4.8,1,37500
8848166,4.7,1,37600
8872385,5.0,1,37700
8892205,3.9,1,37800
8913335,3.8,1,37900
8939329,5.4,1,38000
8967094,5.4,1,38100
8992126,5.0,1,38200
9018833,5.4,1,38300
9039024,4.7,1,38400
9063342,4.4,1,38500
9087124,4.7,1,38600
9114055,5.3,1,38700
9140661,4.9,1,38800
9161635,4.0,1,38900
9186990,5.1,1,39000
9210538,5.1,1,39100
9234211,4.7,1,39200
9261170,5.6,1,39300
9286038,4.9,1,39400
9310774,5.2,1,39500
9333873,4.7,1,39600
9359241,5.3,1,39700
9384186,5.3,1,39800
9406658,5.0,1,39900
9429392,5.1,1,40000
9452898,4.8,1,40100
9474137,4.3,1,40200
9497280,4.2,1,40300
9521346,5.0,1,40400
9544607,4.4,1,40500
9569543,5.2,1,40600
9593981,5.0,1,40700
9619606,5.6,1,40800
9643832,5.0,1,40900
9666211,4.9,1,41000
9692480,5.5,1,41100
9716153,5.2,1,41200
9739658,4.7,1,41300
9761379,4.1,1,41400
9786349,5.4,1,41500
9810588,4.9,1,41600
9836324,5.5,1,41700
9862456,5.8,1,41800
9884921,4.3,1,41900
9908760,4.5,1,42000
9935910,5.3,1,42100
9962449,5.4,1,42200
9988911,5.3,1,42300
